ef_search,pq_id,mean_recall_exact_at_10,mean_recall_pq_at_10,mean_delta_recall_at_10,median_delta_recall_at_10,p90_delta_recall_at_10,p95_delta_recall_at_10,p99_delta_recall_at_10,fraction_delta_equal_zero,fraction_delta_greater_zero,fraction_delta_less_zero,positive_loss_query_count,total_positive_loss,positive_query_count_for_50_percent_loss,positive_query_fraction_for_50_percent_loss,positive_query_count_for_80_percent_loss,positive_query_fraction_for_80_percent_loss,positive_query_count_for_90_percent_loss,positive_query_fraction_for_90_percent_loss
16,pq_m16_nbits8,0.4772,0.3556,0.1216,0.09999999999999998,0.39999999999999997,0.4,0.5,0.202,0.65,0.148,325,72.60000000000005,95,0.2923076923076923,197,0.6061538461538462,253,0.7784615384615384
16,pq_m32_nbits8,0.4772,0.4696,0.007600000000000002,0.0,0.10000000000000009,0.20000000000000007,0.5,0.502,0.276,0.222,138,23.000000000000036,36,0.2608695652173913,92,0.6666666666666666,115,0.8333333333333334
16,pq_m8_nbits4,0.4772,0.0708,0.4064,0.4,0.6000000000000001,0.7,0.8,0.026,0.966,0.008,483,203.8000000000001,168,0.34782608695652173,309,0.639751552795031,374,0.7743271221532091
16,pq_m8_nbits8,0.4772,0.19340000000000002,0.2838,0.3,0.5,0.6000000000000001,0.7000000000000001,0.062,0.894,0.044,447,145.19999999999996,137,0.30648769574944074,267,0.5973154362416108,334,0.7472035794183445
32,pq_m16_nbits8,0.6346,0.44,0.1946,0.19999999999999996,0.4,0.5,0.5,0.13,0.812,0.058,406,101.70000000000003,128,0.31527093596059114,254,0.625615763546798,305,0.7512315270935961
32,pq_m32_nbits8,0.6346,0.6146,0.020000000000000004,0.0,0.10000000000000009,0.20000000000000007,0.30000000000000004,0.474,0.334,0.192,167,22.900000000000013,53,0.31736526946107785,122,0.7305389221556886,145,0.8682634730538922
32,pq_m8_nbits4,0.6346,0.0772,0.5574,0.6,0.8,0.8,0.9,0.006,0.994,0.0,497,278.6999999999998,190,0.3822937625754527,340,0.6841046277665996,403,0.8108651911468813
32,pq_m8_nbits8,0.6346,0.229,0.4056,0.39999999999999997,0.6000000000000001,0.7000000000000001,0.8,0.024,0.964,0.012,482,203.50000000000014,168,0.34854771784232363,313,0.6493775933609959,381,0.7904564315352697
64,pq_m16_nbits8,0.7856000000000001,0.4768,0.3088,0.30000000000000004,0.5,0.6,0.7,0.03,0.95,0.02,475,155.40000000000003,160,0.3368421052631579,303,0.6378947368421053,371,0.7810526315789473
64,pq_m32_nbits8,0.7856000000000001,0.7266,0.059000000000000004,0.0,0.20000000000000007,0.20000000000000007,0.4,0.404,0.496,0.1,248,35.90000000000011,76,0.3064516129032258,177,0.7137096774193549,213,0.8588709677419355
64,pq_m8_nbits4,0.7856000000000001,0.0816,0.704,0.7000000000000001,0.9,0.9,1,0.0,1.0,0.0,500,352.0000000000002,206,0.412,361,0.722,420,0.84
64,pq_m8_nbits8,0.7856000000000001,0.2486,0.537,0.5,0.8,0.8,0.9,0.0,0.998,0.002,499,268.6,189,0.3787575150300601,341,0.6833667334669339,408,0.8176352705410822
96,pq_m16_nbits8,0.859,0.493,0.366,0.39999999999999997,0.6,0.6000000000000001,0.7,0.016,0.982,0.002,491,183.2000000000003,176,0.35845213849287166,333,0.6782077393075356,394,0.8024439918533605
96,pq_m32_nbits8,0.859,0.774,0.085,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.29,0.634,0.076,317,47.2000000000002,100,0.31545741324921134,223,0.7034700315457413,270,0.8517350157728707
96,pq_m8_nbits4,0.859,0.0828,0.7762,0.8,1,1,1,0.0,1.0,0.0,500,388.09999999999985,215,0.43,367,0.734,426,0.852
96,pq_m8_nbits8,0.859,0.2548,0.6042000000000001,0.6000000000000001,0.8,0.9,0.9,0.0,1.0,0.0,500,302.0999999999997,199,0.398,355,0.71,415,0.83
128,pq_m16_nbits8,0.897,0.498,0.399,0.4,0.6,0.6000000000000001,0.7,0.008,0.988,0.004,494,199.80000000000047,184,0.3724696356275304,339,0.6862348178137652,406,0.8218623481781376
128,pq_m32_nbits8,0.897,0.7946,0.1024,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.282,0.69,0.028,345,53.20000000000029,113,0.32753623188405795,239,0.6927536231884058,292,0.8463768115942029
128,pq_m8_nbits4,0.897,0.0804,0.8166,0.8,1,1,1,0.0,1.0,0.0,500,408.2999999999998,219,0.438,372,0.744,430,0.86
128,pq_m8_nbits8,0.897,0.25420000000000004,0.6428,0.6000000000000001,0.8,0.9,1,0.0,1.0,0.0,500,321.39999999999964,206,0.412,360,0.72,421,0.842
160,pq_m16_nbits8,0.9206,0.5028,0.4178,0.4,0.6,0.7,0.7,0.004,0.994,0.002,497,209.10000000000042,185,0.3722334004024145,339,0.682092555331992,407,0.8189134808853119
160,pq_m32_nbits8,0.9206,0.807,0.11359999999999999,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.234,0.738,0.028,369,58.2000000000003,122,0.33062330623306235,253,0.6856368563685636,311,0.8428184281842819
160,pq_m8_nbits4,0.9206,0.07660000000000002,0.844,0.9,1,1,1,0.0,1.0,0.0,500,421.9999999999994,223,0.446,375,0.75,433,0.866
160,pq_m8_nbits8,0.9206,0.2506,0.67,0.7,0.9,0.9,1,0.0,1.0,0.0,500,334.9999999999998,210,0.42,365,0.73,424,0.848
192,pq_m16_nbits8,0.938,0.5068,0.43119999999999997,0.4,0.6,0.7,0.8,0.0,0.998,0.002,499,215.70000000000044,190,0.3807615230460922,347,0.6953907815631263,411,0.8236472945891784
192,pq_m32_nbits8,0.938,0.8132,0.1248,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.186,0.796,0.018,398,63.30000000000033,130,0.32663316582914576,272,0.6834170854271356,335,0.8417085427135679
192,pq_m8_nbits4,0.938,0.0732,0.8648,0.9,1,1,1,0.0,1.0,0.0,500,432.3999999999994,227,0.454,380,0.76,435,0.87
192,pq_m8_nbits8,0.938,0.24659999999999999,0.6914,0.7,0.9,0.9,1,0.0,1.0,0.0,500,345.6999999999999,213,0.426,368,0.736,426,0.852
256,pq_m16_nbits8,0.9572,0.507,0.4502,0.4,0.6000000000000001,0.7,0.8,0.002,0.998,0.0,499,225.10000000000036,194,0.38877755511022044,351,0.7034068136272545,411,0.8236472945891784
256,pq_m32_nbits8,0.9572,0.8222,0.135,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.162,0.83,0.008,415,67.9000000000003,138,0.3325301204819277,280,0.6746987951807228,348,0.8385542168674699
256,pq_m8_nbits4,0.9572,0.0718,0.8854,0.9,1,1,1,0.0,1.0,0.0,500,442.69999999999936,230,0.46,382,0.764,437,0.874
256,pq_m8_nbits8,0.9572,0.24220000000000003,0.715,0.7,0.9,0.9,1,0.0,1.0,0.0,500,357.4999999999997,214,0.428,369,0.738,428,0.856
384,pq_m16_nbits8,0.9783999999999999,0.5074,0.471,0.5,0.6000000000000001,0.7,0.8,0.0,1.0,0.0,500,235.5000000000004,199,0.398,357,0.714,416,0.832
384,pq_m32_nbits8,0.9783999999999999,0.8328000000000001,0.1456,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.128,0.866,0.006,433,73.10000000000021,145,0.3348729792147806,287,0.6628175519630485,360,0.8314087759815243
384,pq_m8_nbits4,0.9783999999999999,0.0684,0.91,0.9,1,1,1,0.0,1.0,0.0,500,454.99999999999903,233,0.466,385,0.77,440,0.88
384,pq_m8_nbits8,0.9783999999999999,0.2338,0.7446,0.8,0.9,0.9,1,0.0,1.0,0.0,500,372.3,218,0.436,372,0.744,431,0.862
512,pq_m16_nbits8,0.9863999999999999,0.5064,0.48,0.5,0.6000000000000001,0.7,0.8,0.0,1.0,0.0,500,240.00000000000034,200,0.4,360,0.72,420,0.84
512,pq_m32_nbits8,0.9863999999999999,0.836,0.15039999999999998,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.126,0.874,0.0,437,75.20000000000019,151,0.34553775743707094,287,0.6567505720823799,362,0.8283752860411899
512,pq_m8_nbits4,0.9863999999999999,0.0664,0.92,0.9,1,1,1,0.0,1.0,0.0,500,459.99999999999886,233,0.466,386,0.772,441,0.882
512,pq_m8_nbits8,0.9863999999999999,0.23120000000000002,0.7552000000000001,0.8,0.9,0.9,1,0.0,1.0,0.0,500,377.6000000000003,219,0.438,374,0.748,431,0.862
