sorted_rank,query_id,delta_recall_at_10
1,461,-0.2
2,481,-0.19999999999999998
3,263,-0.10000000000000003
4,372,-0.1
5,113,0
6,149,0
7,194,0
8,219,0
9,240,0
10,250,0
11,289,0
12,298,0
13,299,0
14,369,0
15,450,0
16,467,0
17,480,0
18,36,0.09999999999999998
19,76,0.09999999999999998
20,82,0.09999999999999998
21,148,0.09999999999999998
22,179,0.09999999999999998
23,280,0.09999999999999998
24,333,0.09999999999999998
25,401,0.09999999999999998
26,8,0.1
27,13,0.1
28,32,0.1
29,96,0.1
30,103,0.1
31,138,0.1
32,159,0.1
33,167,0.1
34,193,0.1
35,209,0.1
36,272,0.1
37,290,0.1
38,303,0.1
39,313,0.1
40,317,0.1
41,336,0.1
42,354,0.1
43,363,0.1
44,390,0.1
45,393,0.1
46,423,0.1
47,425,0.1
48,455,0.1
49,482,0.1
50,368,0.10000000000000003
51,16,0.19999999999999996
52,283,0.19999999999999996
53,7,0.19999999999999998
54,17,0.19999999999999998
55,40,0.19999999999999998
56,74,0.19999999999999998
57,112,0.19999999999999998
58,117,0.19999999999999998
59,127,0.19999999999999998
60,131,0.19999999999999998
61,132,0.19999999999999998
62,143,0.19999999999999998
63,160,0.19999999999999998
64,166,0.19999999999999998
65,188,0.19999999999999998
66,270,0.19999999999999998
67,297,0.19999999999999998
68,316,0.19999999999999998
69,376,0.19999999999999998
70,407,0.19999999999999998
71,421,0.19999999999999998
72,432,0.19999999999999998
73,442,0.19999999999999998
74,468,0.19999999999999998
75,491,0.19999999999999998
76,5,0.2
77,18,0.2
78,20,0.2
79,29,0.2
80,38,0.2
81,60,0.2
82,77,0.2
83,81,0.2
84,93,0.2
85,105,0.2
86,124,0.2
87,147,0.2
88,170,0.2
89,173,0.2
90,213,0.2
91,214,0.2
92,239,0.2
93,269,0.2
94,304,0.2
95,311,0.2
96,312,0.2
97,314,0.2
98,318,0.2
99,322,0.2
100,338,0.2
101,339,0.2
102,343,0.2
103,371,0.2
104,373,0.2
105,388,0.2
106,449,0.2
107,462,0.2
108,498,0.2
109,217,0.29999999999999993
110,1,0.3
111,27,0.3
112,37,0.3
113,41,0.3
114,59,0.3
115,64,0.3
116,79,0.3
117,87,0.3
118,102,0.3
119,107,0.3
120,115,0.3
121,134,0.3
122,183,0.3
123,185,0.3
124,202,0.3
125,220,0.3
126,255,0.3
127,262,0.3
128,273,0.3
129,279,0.3
130,292,0.3
131,295,0.3
132,302,0.3
133,307,0.3
134,309,0.3
135,334,0.3
136,337,0.3
137,340,0.3
138,359,0.3
139,361,0.3
140,381,0.3
141,382,0.3
142,392,0.3
143,403,0.3
144,417,0.3
145,420,0.3
146,424,0.3
147,427,0.3
148,460,0.3
149,465,0.3
150,470,0.3
151,496,0.3
152,52,0.30000000000000004
153,55,0.30000000000000004
154,62,0.30000000000000004
155,72,0.30000000000000004
156,110,0.30000000000000004
157,120,0.30000000000000004
158,130,0.30000000000000004
159,182,0.30000000000000004
160,212,0.30000000000000004
161,221,0.30000000000000004
162,227,0.30000000000000004
163,274,0.30000000000000004
164,275,0.30000000000000004
165,278,0.30000000000000004
166,281,0.30000000000000004
167,308,0.30000000000000004
168,346,0.30000000000000004
169,355,0.30000000000000004
170,356,0.30000000000000004
171,358,0.30000000000000004
172,364,0.30000000000000004
173,374,0.30000000000000004
174,383,0.30000000000000004
175,398,0.30000000000000004
176,399,0.30000000000000004
177,405,0.30000000000000004
178,426,0.30000000000000004
179,429,0.30000000000000004
180,431,0.30000000000000004
181,435,0.30000000000000004
182,446,0.30000000000000004
183,453,0.30000000000000004
184,469,0.30000000000000004
185,14,0.39999999999999997
186,98,0.39999999999999997
187,129,0.39999999999999997
188,150,0.39999999999999997
189,168,0.39999999999999997
190,176,0.39999999999999997
191,203,0.39999999999999997
192,248,0.39999999999999997
193,335,0.39999999999999997
194,345,0.39999999999999997
195,351,0.39999999999999997
196,411,0.39999999999999997
197,428,0.39999999999999997
198,434,0.39999999999999997
199,447,0.39999999999999997
200,492,0.39999999999999997
201,0,0.4
202,3,0.4
203,6,0.4
204,10,0.4
205,15,0.4
206,28,0.4
207,42,0.4
208,45,0.4
209,47,0.4
210,54,0.4
211,58,0.4
212,80,0.4
213,84,0.4
214,85,0.4
215,90,0.4
216,92,0.4
217,100,0.4
218,101,0.4
219,106,0.4
220,114,0.4
221,118,0.4
222,133,0.4
223,136,0.4
224,141,0.4
225,153,0.4
226,154,0.4
227,157,0.4
228,161,0.4
229,163,0.4
230,164,0.4
231,175,0.4
232,177,0.4
233,178,0.4
234,181,0.4
235,184,0.4
236,189,0.4
237,191,0.4
238,192,0.4
239,196,0.4
240,201,0.4
241,210,0.4
242,218,0.4
243,222,0.4
244,226,0.4
245,237,0.4
246,238,0.4
247,244,0.4
248,251,0.4
249,254,0.4
250,259,0.4
251,264,0.4
252,284,0.4
253,285,0.4
254,287,0.4
255,294,0.4
256,301,0.4
257,319,0.4
258,326,0.4
259,328,0.4
260,329,0.4
261,342,0.4
262,347,0.4
263,353,0.4
264,360,0.4
265,365,0.4
266,367,0.4
267,370,0.4
268,377,0.4
269,379,0.4
270,386,0.4
271,387,0.4
272,395,0.4
273,413,0.4
274,430,0.4
275,437,0.4
276,438,0.4
277,452,0.4
278,456,0.4
279,459,0.4
280,476,0.4
281,485,0.4
282,490,0.4
283,494,0.4
284,495,0.4
285,50,0.49999999999999994
286,67,0.49999999999999994
287,123,0.49999999999999994
288,142,0.49999999999999994
289,286,0.49999999999999994
290,348,0.49999999999999994
291,402,0.49999999999999994
292,408,0.49999999999999994
293,439,0.49999999999999994
294,2,0.5
295,19,0.5
296,21,0.5
297,22,0.5
298,23,0.5
299,24,0.5
300,26,0.5
301,31,0.5
302,34,0.5
303,43,0.5
304,49,0.5
305,51,0.5
306,61,0.5
307,63,0.5
308,70,0.5
309,73,0.5
310,75,0.5
311,78,0.5
312,97,0.5
313,99,0.5
314,108,0.5
315,109,0.5
316,135,0.5
317,137,0.5
318,139,0.5
319,140,0.5
320,146,0.5
321,155,0.5
322,156,0.5
323,162,0.5
324,169,0.5
325,172,0.5
326,180,0.5
327,198,0.5
328,200,0.5
329,204,0.5
330,205,0.5
331,206,0.5
332,208,0.5
333,215,0.5
334,225,0.5
335,228,0.5
336,232,0.5
337,233,0.5
338,245,0.5
339,246,0.5
340,252,0.5
341,253,0.5
342,256,0.5
343,257,0.5
344,258,0.5
345,261,0.5
346,265,0.5
347,266,0.5
348,268,0.5
349,271,0.5
350,276,0.5
351,277,0.5
352,300,0.5
353,305,0.5
354,320,0.5
355,323,0.5
356,325,0.5
357,327,0.5
358,331,0.5
359,341,0.5
360,344,0.5
361,349,0.5
362,352,0.5
363,357,0.5
364,366,0.5
365,385,0.5
366,391,0.5
367,400,0.5
368,441,0.5
369,443,0.5
370,445,0.5
371,448,0.5
372,451,0.5
373,457,0.5
374,464,0.5
375,471,0.5
376,475,0.5
377,477,0.5
378,478,0.5
379,479,0.5
380,483,0.5
381,484,0.5
382,489,0.5
383,493,0.5
384,4,0.6
385,12,0.6
386,30,0.6
387,44,0.6
388,46,0.6
389,53,0.6
390,56,0.6
391,65,0.6
392,66,0.6
393,69,0.6
394,88,0.6
395,116,0.6
396,121,0.6
397,125,0.6
398,126,0.6
399,144,0.6
400,152,0.6
401,186,0.6
402,187,0.6
403,190,0.6
404,195,0.6
405,197,0.6
406,199,0.6
407,223,0.6
408,224,0.6
409,229,0.6
410,231,0.6
411,234,0.6
412,235,0.6
413,236,0.6
414,242,0.6
415,247,0.6
416,249,0.6
417,260,0.6
418,267,0.6
419,282,0.6
420,288,0.6
421,296,0.6
422,330,0.6
423,332,0.6
424,350,0.6
425,362,0.6
426,375,0.6
427,378,0.6
428,384,0.6
429,389,0.6
430,396,0.6
431,397,0.6
432,406,0.6
433,410,0.6
434,414,0.6
435,415,0.6
436,416,0.6
437,418,0.6
438,422,0.6
439,433,0.6
440,436,0.6
441,440,0.6
442,463,0.6
443,472,0.6
444,473,0.6
445,486,0.6
446,488,0.6
447,499,0.6
448,11,0.6000000000000001
449,35,0.6000000000000001
450,119,0.6000000000000001
451,158,0.6000000000000001
452,216,0.6000000000000001
453,404,0.6000000000000001
454,419,0.6000000000000001
455,48,0.7
456,57,0.7
457,83,0.7
458,86,0.7
459,94,0.7
460,95,0.7
461,128,0.7
462,145,0.7
463,151,0.7
464,165,0.7
465,207,0.7
466,211,0.7
467,291,0.7
468,315,0.7
469,380,0.7
470,409,0.7
471,412,0.7
472,444,0.7
473,458,0.7
474,466,0.7
475,487,0.7
476,497,0.7
477,9,0.7000000000000001
478,25,0.7000000000000001
479,33,0.7000000000000001
480,39,0.7000000000000001
481,68,0.7000000000000001
482,89,0.7000000000000001
483,171,0.7000000000000001
484,241,0.7000000000000001
485,394,0.7000000000000001
486,71,0.8
487,91,0.8
488,104,0.8
489,122,0.8
490,230,0.8
491,243,0.8
492,293,0.8
493,306,0.8
494,310,0.8
495,321,0.8
496,324,0.8
497,454,0.8
498,111,0.9
499,174,0.9
500,474,0.9
