replicate_id,condition_id,ef_search,mean_exact_recall,selected_matched_ef
0,radial_sigma_2p00,256,0.8405999999999992,1024
0,radial_sigma_2p00,384,0.8877999999999987,1024
0,radial_sigma_2p00,512,0.9201999999999988,1024
0,radial_sigma_2p00,768,0.9471999999999982,1024
0,radial_sigma_2p00,1024,0.9601999999999979,1024
1,radial_sigma_2p00,256,0.839599999999999,1024
1,radial_sigma_2p00,384,0.8923999999999982,1024
1,radial_sigma_2p00,512,0.9203999999999974,1024
1,radial_sigma_2p00,768,0.9469999999999978,1024
1,radial_sigma_2p00,1024,0.9635999999999979,1024
2,radial_sigma_1p50,256,0.8915999999999987,512
2,radial_sigma_1p50,384,0.9303999999999969,512
2,radial_sigma_1p50,512,0.9503999999999974,512
2,radial_sigma_1p50,768,0.9707999999999981,512
2,radial_sigma_1p50,1024,0.9803999999999986,512
2,radial_sigma_2p00,256,0.8339999999999995,1024
2,radial_sigma_2p00,384,0.8817999999999983,1024
2,radial_sigma_2p00,512,0.9125999999999979,1024
2,radial_sigma_2p00,768,0.9441999999999977,1024
2,radial_sigma_2p00,1024,0.9603999999999979,1024
3,mean_alpha_1p00,256,0.8979999999999979,512
3,mean_alpha_1p00,384,0.9371999999999973,512
3,mean_alpha_1p00,512,0.9549999999999974,512
3,mean_alpha_1p00,768,0.973399999999998,512
3,mean_alpha_1p00,1024,0.981199999999999,512
3,radial_sigma_1p50,256,0.893999999999998,512
3,radial_sigma_1p50,384,0.9321999999999983,512
3,radial_sigma_1p50,512,0.9523999999999986,512
3,radial_sigma_1p50,768,0.9707999999999986,512
3,radial_sigma_1p50,1024,0.9787999999999989,512
3,radial_sigma_2p00,256,0.8269999999999991,1024
3,radial_sigma_2p00,384,0.8803999999999992,1024
3,radial_sigma_2p00,512,0.9109999999999979,1024
3,radial_sigma_2p00,768,0.9401999999999985,1024
3,radial_sigma_2p00,1024,0.9573999999999984,1024
