phase,replicate_id,condition_id,shift_family,shift_severity,ef_search,mean_recall_exact_native,mean_recall_pq_native,mean_recall_pq_oracle,rerank_recovery,mean_candidate_coverage_exact,mean_candidate_coverage_pq,mean_evaluated_set_jaccard,mean_exact_unique_distance_evaluations,mean_pq_unique_distance_evaluations,max_absolute_delta_exact_control,mean_delta_total,median_delta_total,p90_delta_total,p95_delta_total,p99_delta_total,mean_delta_discovery,median_delta_discovery,p90_delta_discovery,p95_delta_discovery,p99_delta_discovery,mean_delta_ranking,median_delta_ranking,p90_delta_ranking,p95_delta_ranking,p99_delta_ranking,fraction_delta_discovery_positive,fraction_delta_discovery_zero,fraction_delta_discovery_negative
fixed,0,iid,iid,0,256,0.9668,0.8238000000000001,0.9626,0.9706293706293707,0.9668,0.9626,0.8514674791983561,4232.968,4229.63,0,0.143,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.004199999999999999,0.0,0.0,0.09999999999999998,0.10000000000000009,0.13879999999999998,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.076,0.884,0.04
fixed,0,mean_alpha_0p25,mean,0.25,256,0.9596,0.825,0.9602,1.0044576523031208,0.9596,0.9602,0.8502264518801685,4229.868,4229.11,0,0.1346,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,-0.0005999999999999998,0.0,0.0,0.09999999999999998,0.09999999999999998,0.1352,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.056,0.88,0.064
fixed,0,mean_alpha_0p50,mean,0.5,256,0.9484,0.8158000000000001,0.9462,0.9834087481146306,0.9484,0.9462,0.8513873664721282,4220.298,4215.584,0,0.1326,0.09999999999999998,0.21000000000000235,0.30000000000000004,0.4,0.0022,0.0,0.0,0.09999999999999998,0.09999999999999998,0.13040000000000002,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.08,0.86,0.06
fixed,0,mean_alpha_0p75,mean,0.75,256,0.9282,0.8182,0.9294,1.0109090909090908,0.9282,0.9294,0.8525875423976446,4196.302,4189.284,0,0.11,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,-0.0011999999999999997,0.0,0.0,0.09999999999999998,0.10000000000000009,0.11120000000000001,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.074,0.836,0.09
fixed,0,mean_alpha_1p00,mean,1,256,0.917,0.81,0.917,1.0,0.9172,0.917,0.8540672783179103,4163.18,4157.882,0.10000000000000009,0.107,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.0002000000000000004,0.0,0.0,0.09999999999999998,0.10000000000000009,0.107,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.096,0.816,0.088
fixed,0,radial_sigma_1p25,radial,1.25,256,0.9326,0.8202,0.9324,0.9982206405693952,0.9326,0.9324,0.8552656553740572,4182.864,4180.12,0,0.11239999999999999,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.3009999999999991,0.00019999999999999952,0.0,0.0,0.09999999999999998,0.10000000000000009,0.1122,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.082,0.832,0.086
fixed,0,radial_sigma_1p50,radial,1.5,256,0.9002,0.8058,0.9008,1.0063559322033904,0.9002,0.9008,0.8577256360086536,4129.816,4123.228,0,0.09440000000000001,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,-0.0006000000000000001,0.0,0.0,0.09999999999999998,0.10000000000000009,0.095,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,0.09,0.812,0.098
fixed,0,radial_sigma_2p00,radial,2,256,0.8406,0.772,0.8386,0.9708454810495627,0.8406,0.8386,0.856451851093134,4021.876,4021.614,0,0.06860000000000001,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.30000000000000004,0.002000000000000001,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0666,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.30000000000000004,0.126,0.762,0.112
fixed,1,iid,iid,0,256,0.9662000000000001,0.8218000000000001,0.9633999999999999,0.9806094182825476,0.9662000000000001,0.9633999999999999,0.8500398781151121,4252.116,4252.64,0,0.14439999999999997,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0027999999999999995,0.0,0.0,0.09999999999999998,0.09999999999999998,0.1416,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.068,0.886,0.046
fixed,1,mean_alpha_0p25,mean,0.25,256,0.958,0.8194,0.957,0.9927849927849928,0.958,0.957,0.8518580445194712,4256.676,4257.378,0,0.1386,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0010000000000000002,0.0,0.0,0.09999999999999998,0.09999999999999998,0.1376,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.052,0.906,0.042
fixed,1,mean_alpha_0p50,mean,0.5,256,0.9462,0.8152,0.9442,0.9847328244274809,0.9462,0.9442,0.8503457961851352,4250.794,4251.788,0,0.131,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.002,0.0,0.0,0.09999999999999998,0.10000000000000009,0.129,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.3009999999999991,0.09,0.838,0.072
fixed,1,mean_alpha_0p75,mean,0.75,256,0.9294,0.8138000000000001,0.9292,0.9982698961937718,0.9294,0.9292,0.8516989757407116,4228.362,4229.256,0,0.1156,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.00019999999999999974,0.0,0.0,0.09999999999999998,0.10000000000000009,0.11539999999999999,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.082,0.83,0.088
fixed,1,mean_alpha_1p00,mean,1,256,0.9004,0.7974,0.9034,1.029126213592233,0.9004,0.9034,0.8519209882244256,4196.942,4197.018,0,0.103,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,-0.003,0.0,0.0,0.09999999999999998,0.10000000000000009,0.106,0.09999999999999998,0.20000000000000007,0.20499999999999552,0.30000000000000004,0.084,0.808,0.108
fixed,1,radial_sigma_1p25,radial,1.25,256,0.935,0.8158000000000001,0.9342,0.9932885906040266,0.935,0.9342,0.8552905688310312,4210.566,4207.262,0,0.11919999999999999,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0007999999999999996,0.0,0.0,0.09999999999999998,0.09999999999999998,0.11839999999999999,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.074,0.852,0.074
fixed,1,radial_sigma_1p50,radial,1.5,256,0.903,0.7958,0.8994,0.9664179104477608,0.903,0.8994,0.8555768562680733,4156.262,4154.076,0,0.1072,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.0036000000000000003,0.0,0.09999999999999998,0.09999999999999998,0.10000000000000009,0.10360000000000001,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.136,0.758,0.106
fixed,1,radial_sigma_2p00,radial,2,256,0.8396,0.7734,0.8418000000000001,1.033232628398793,0.8398000000000001,0.8418000000000001,0.8570720528736971,4056.294,4054.074,0.09999999999999998,0.06620000000000001,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,-0.002,0.0,0.09999999999999998,0.09999999999999998,0.20000000000000007,0.0684,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,0.126,0.732,0.142
fixed,2,iid,iid,0,256,0.9594,0.823,0.9572,0.9838709677419356,0.9594,0.9572,0.8495860442175486,4233.614,4238.386,0,0.13639999999999997,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0022,0.0,0.0,0.09999999999999998,0.09999999999999998,0.13419999999999999,0.09999999999999998,0.21000000000000235,0.30000000000000004,0.4,0.072,0.878,0.05
fixed,2,mean_alpha_0p25,mean,0.25,256,0.961,0.8276,0.9594,0.9880059970014997,0.961,0.9594,0.8506212395226591,4229.52,4232.342,0,0.13340000000000002,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0015999999999999992,0.0,0.0,0.09999999999999998,0.09999999999999998,0.13179999999999997,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.062,0.896,0.042
fixed,2,mean_alpha_0p50,mean,0.5,256,0.9462,0.8158000000000001,0.9478,1.0122699386503062,0.9462,0.9478,0.8514656378272116,4216.084,4217.312,0,0.13040000000000002,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,-0.0015999999999999999,0.0,0.0,0.09999999999999998,0.09999999999999998,0.132,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.056,0.876,0.068
fixed,2,mean_alpha_0p75,mean,0.75,256,0.9332,0.8182,0.9296,0.9686956521739126,0.9332,0.9296,0.8514565671440595,4185.568,4187.848,0,0.115,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.0035999999999999986,0.0,0.0,0.09999999999999998,0.10000000000000009,0.11139999999999999,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.098,0.834,0.068
fixed,2,mean_alpha_1p00,mean,1,256,0.9126000000000001,0.8138000000000001,0.9094,0.9676113360323877,0.9126000000000001,0.9094,0.8543850988736228,4148.978,4150.486,0,0.0988,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.0032,0.0,0.0,0.09999999999999998,0.19999999999999996,0.09559999999999999,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.096,0.83,0.074
fixed,2,radial_sigma_1p25,radial,1.25,256,0.9258000000000001,0.815,0.9256,0.9981949458483746,0.9258000000000001,0.9256,0.8532425576076882,4192.986,4194.038,0,0.1108,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.3009999999999991,0.00019999999999999974,0.0,0.010000000000002271,0.09999999999999998,0.10000000000000009,0.11059999999999999,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.1,0.808,0.092
fixed,2,radial_sigma_1p50,radial,1.5,256,0.8916000000000001,0.8018000000000001,0.8928,1.0133630289532292,0.8916000000000001,0.8928,0.8549426059945836,4140.098,4137.798,0,0.08979999999999999,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,-0.0012000000000000001,0.0,0.0,0.09999999999999998,0.10000000000000009,0.091,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,0.09,0.808,0.102
fixed,2,radial_sigma_2p00,radial,2,256,0.834,0.7622000000000001,0.8324,0.9777158774373268,0.834,0.8324,0.8557939174466219,4035.312,4035.304,0,0.07180000000000002,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,0.0015999999999999983,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0702,0.09999999999999998,0.19999999999999996,0.20000000000000007,0.30000000000000004,0.128,0.758,0.114
fixed,3,iid,iid,0,256,0.9673999999999999,0.8326,0.9686,1.008902077151336,0.9673999999999999,0.9686,0.8519237865017344,4248.452,4248.428,0,0.13479999999999998,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,-0.0011999999999999995,0.0,0.0,0.0,0.09999999999999998,0.136,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.3009999999999991,0.036,0.916,0.048
fixed,3,mean_alpha_0p25,mean,0.25,256,0.9646,0.8202,0.9623999999999999,0.9847645429362875,0.9646,0.9623999999999999,0.8529722049852104,4246.894,4244.502,0,0.1444,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0021999999999999993,0.0,0.0,0.09999999999999998,0.09999999999999998,0.1422,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.056,0.914,0.03
fixed,3,mean_alpha_0p50,mean,0.5,256,0.9484,0.8206,0.9472,0.9906103286384979,0.9484,0.9472,0.852101474582404,4231.786,4226.0,0,0.1278,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.3009999999999991,0.0012000000000000001,0.0,0.0,0.09999999999999998,0.09999999999999998,0.1266,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.07,0.87,0.06
fixed,3,mean_alpha_0p75,mean,0.75,256,0.9284,0.8076,0.9268000000000001,0.9867549668874177,0.9284,0.9268000000000001,0.8532900504567325,4197.432,4192.944,0,0.12079999999999999,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,0.001599999999999999,0.0,0.0,0.09999999999999998,0.09999999999999998,0.1192,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.3009999999999991,0.092,0.83,0.078
fixed,3,mean_alpha_1p00,mean,1,256,0.898,0.7994,0.8992,1.0121703853955373,0.898,0.8992,0.8547346963460714,4158.898,4151.522,0,0.0986,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.4,-0.0012000000000000001,0.0,0.0,0.09999999999999998,0.10000000000000009,0.0998,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.3009999999999991,0.086,0.814,0.1
fixed,3,radial_sigma_1p25,radial,1.25,256,0.932,0.815,0.9298,0.9811965811965805,0.932,0.9298,0.8568359353573992,4199.512,4196.522,0,0.117,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.3009999999999991,0.0022,0.0,0.0,0.09999999999999998,0.10099999999999919,0.1148,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.088,0.842,0.07
fixed,3,radial_sigma_1p50,radial,1.5,256,0.894,0.804,0.8932,0.9911111111111108,0.894,0.8932,0.8571638255718893,4140.746,4137.252,0,0.09,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,0.0007999999999999996,0.0,0.09999999999999998,0.09999999999999998,0.10000000000000009,0.0892,0.09999999999999998,0.20000000000000007,0.20000000000000007,0.30000000000000004,0.104,0.798,0.098
fixed,3,radial_sigma_2p00,radial,2,256,0.827,0.7637999999999999,0.8266,0.9936708860759501,0.827,0.8266,0.8554976772844659,4034.094,4031.862,0,0.0632,0.04999999999999999,0.20000000000000007,0.20000000000000007,0.30000000000000004,0.0003999999999999998,0.0,0.09999999999999998,0.09999999999999998,0.10000000000000009,0.06280000000000001,0.0,0.19999999999999996,0.20000000000000007,0.30000000000000004,0.116,0.77,0.114
