shift_family,shift_severity,descriptor,spearman_rho,query_count
mean,0.0,query_l2_norm,0.008972485632365117,2000
mean,0.0,distance_to_database_centroid,0.009017161995699978,2000
mean,0.0,exact_nn_distance_squared,-0.018300807936756827,2000
mean,0.0,exact_10th_distance_squared,0.00690318816578898,2000
mean,0.0,nn_margin_squared,0.03812094513330156,2000
mean,0.0,normalized_nn_margin_by_10th,0.0386718301436522,2000
mean,0.0,nearest_to_10th_distance_ratio,-0.0386718301436522,2000
mean,0.0,projection_onto_mean_shift_direction,-0.024033203807768858,2000
mean,0.25,query_l2_norm,-0.01633555396297134,2000
mean,0.25,distance_to_database_centroid,-0.01596536649741221,2000
mean,0.25,exact_nn_distance_squared,-0.01639369789479693,2000
mean,0.25,exact_10th_distance_squared,-0.016663740741277553,2000
mean,0.25,nn_margin_squared,-0.013030151833870587,2000
mean,0.25,normalized_nn_margin_by_10th,-0.004746973031410529,2000
mean,0.25,nearest_to_10th_distance_ratio,0.004746973031410529,2000
mean,0.25,projection_onto_mean_shift_direction,-0.013296528525964099,2000
mean,0.5,query_l2_norm,0.014814626235997814,2000
mean,0.5,distance_to_database_centroid,0.014557367437082783,2000
mean,0.5,exact_nn_distance_squared,0.00222019346206847,2000
mean,0.5,exact_10th_distance_squared,0.016879161883589632,2000
mean,0.5,nn_margin_squared,0.02195092771558637,2000
mean,0.5,normalized_nn_margin_by_10th,0.020786057223868858,2000
mean,0.5,nearest_to_10th_distance_ratio,-0.020786057223868858,2000
mean,0.5,projection_onto_mean_shift_direction,0.022068908322853725,2000
mean,0.75,query_l2_norm,0.019246446907437022,2000
mean,0.75,distance_to_database_centroid,0.019254155654497885,2000
mean,0.75,exact_nn_distance_squared,0.012064836647980231,2000
mean,0.75,exact_10th_distance_squared,0.02081662716531861,2000
mean,0.75,nn_margin_squared,0.026791320509305397,2000
mean,0.75,normalized_nn_margin_by_10th,0.018481519674565804,2000
mean,0.75,nearest_to_10th_distance_ratio,-0.018481519674565804,2000
mean,0.75,projection_onto_mean_shift_direction,0.01646195028736346,2000
mean,1,query_l2_norm,-0.0042685607641912765,2000
mean,1,distance_to_database_centroid,-0.004046288897576406,2000
mean,1,exact_nn_distance_squared,-0.00336315739799624,2000
mean,1,exact_10th_distance_squared,-0.0014056801077547158,2000
mean,1,nn_margin_squared,0.005142418868912539,2000
mean,1,normalized_nn_margin_by_10th,0.004261266701464024,2000
mean,1,nearest_to_10th_distance_ratio,-0.004261266701464024,2000
mean,1,projection_onto_mean_shift_direction,-0.004659512284403624,2000
radial,1.0,query_l2_norm,0.008972485632365117,2000
radial,1.0,distance_to_database_centroid,0.009017161995699978,2000
radial,1.0,exact_nn_distance_squared,-0.018300807936756827,2000
radial,1.0,exact_10th_distance_squared,0.00690318816578898,2000
radial,1.0,nn_margin_squared,0.03812094513330156,2000
radial,1.0,normalized_nn_margin_by_10th,0.0386718301436522,2000
radial,1.0,nearest_to_10th_distance_ratio,-0.0386718301436522,2000
radial,1.25,query_l2_norm,-0.030505898872351844,2000
radial,1.25,distance_to_database_centroid,-0.030415874548440955,2000
radial,1.25,exact_nn_distance_squared,-0.022096314810312996,2000
radial,1.25,exact_10th_distance_squared,-0.02815904439219457,2000
radial,1.25,nn_margin_squared,-0.027211972605476666,2000
radial,1.25,normalized_nn_margin_by_10th,-0.014333095953270586,2000
radial,1.25,nearest_to_10th_distance_ratio,0.014333095953270586,2000
radial,1.5,query_l2_norm,0.023527946985523733,2000
radial,1.5,distance_to_database_centroid,0.02374101500393807,2000
radial,1.5,exact_nn_distance_squared,0.026321146246236316,2000
radial,1.5,exact_10th_distance_squared,0.024729248519283462,2000
radial,1.5,nn_margin_squared,-0.008724773457128588,2000
radial,1.5,normalized_nn_margin_by_10th,-0.018055353942524142,2000
radial,1.5,nearest_to_10th_distance_ratio,0.018055353942524142,2000
radial,2,query_l2_norm,0.015811819140457133,2000
radial,2,distance_to_database_centroid,0.01582740162245517,2000
radial,2,exact_nn_distance_squared,0.018890226908893127,2000
radial,2,exact_10th_distance_squared,0.016178687888189495,2000
radial,2,nn_margin_squared,-0.013728509090523667,2000
radial,2,normalized_nn_margin_by_10th,-0.020224101503953,2000
radial,2,nearest_to_10th_distance_ratio,0.020224101503953,2000
