replicate_id,rho,ef_search,mean_recall_exact_native,mean_recall_pq_native,mean_recall_pq_L0_oracle,rerank_recovery,mean_coverage_exact_L0,mean_coverage_pq_L0,mean_evaluated_L0_jaccard,mean_exact_L0_unique_distance_evaluations,mean_pq_L0_unique_distance_evaluations,mean_exact_upper_only_unique_distance_evaluations,mean_pq_upper_only_unique_distance_evaluations,fraction_ground_truth_spans_multiple_components,max_absolute_delta_exact_control,mean_delta_total,median_delta_total,p90_delta_total,p95_delta_total,p99_delta_total,mean_delta_discovery,median_delta_discovery,p90_delta_discovery,p95_delta_discovery,p99_delta_discovery,mean_delta_ranking,median_delta_ranking,p90_delta_ranking,p95_delta_ranking,p99_delta_ranking,fraction_delta_discovery_positive,fraction_delta_discovery_zero,fraction_delta_discovery_negative,pq_mean_absolute_distance_error,pq_median_absolute_distance_error,pq_p95_absolute_distance_error,pq_mean_absolute_relative_distance_error,pq_median_absolute_relative_distance_error,pq_pairwise_strict_inversion_rate,pq_pairwise_tie_rate,mean_delta_discovery_lowest_cluster_margin_quartile,mean_delta_discovery_other_cluster_margin_quartiles,mean_delta_discovery_lowest_nn_margin_quartile,mean_delta_discovery_other_nn_margin_quartiles
0,0,256,0.9668,0.8238000000000001,0.9626,0.9706293706293707,0.9668,0.9626,0.851961869266963,4203.81,4200.806,29.158,28.824,1.0,0,0.143,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.004199999999999999,0.0,0.0,0.09999999999999998,0.10000000000000009,0.13879999999999998,0.09999999999999998,0.20000000000000007,0.30000000000000004,0.30000000000000004,0.076,0.884,0.04,2.1046414932250976,1.6655387878417969,5.467907333374023,0.0166582506395323,0.013612458482384682,0.0405,0.0,0.004199999999999999,,0.003999999999999999,0.004266666666666666
0,0.1,256,0.9756,0.8254,0.9752000000000001,0.997336884154461,0.9756,0.9752000000000001,0.8524027014089021,4173.018,4174.706,31.176,31.056,0.998,0,0.1502,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0003999999999999995,0.0,0.0,0.0,0.09999999999999998,0.1498,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.046,0.912,0.042,2.1138641010284425,1.6893653869628906,5.5609413146972635,0.01674435239624745,0.013720373623073101,0.0455,0.0,0.005599999999999998,-0.0013333333333333333,-0.0016000000000000005,0.001066666666666666
0,0.25,256,0.995,0.8398000000000001,0.9957999999999999,1.0051546391752573,0.995,0.9957999999999999,0.8824136049769612,2783.596,2765.936,30.868,30.782,0.448,0,0.15519999999999998,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,-0.0007999999999999998,0.0,0.0,0.0,0.0,0.15599999999999997,0.14999999999999997,0.30000000000000004,0.30000000000000004,0.4,0.002,0.988,0.01,2.093838338088989,1.6350440979003906,5.490697479248044,0.01663224462494295,0.013531560078263283,0.0376,0.0,-0.0023999999999999994,-0.0002666666666666666,0.0007999999999999998,-0.001333333333333333
0,0.5,256,0.9996,0.8262,0.9997999999999999,1.0011534025374849,0.9996,0.9997999999999999,0.9729705524937072,1186.064,1184.782,27.774,27.902,0.0,0,0.17339999999999997,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.4,-0.00019999999999999996,0.0,0.0,0.0,0.0,0.1736,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.4,0.0,0.998,0.002,1.9219484169006347,1.5342330932617188,4.994992828369136,0.015588519960203369,0.012870986945927143,0.0376,0.0,0.0,-0.0002666666666666666,0.0,-0.0002666666666666666
0,0.75,256,0.9996,0.7767999999999999,0.9996,1.0,0.9996,0.9996,0.9693785103996799,1166.64,1165.46,25.086,25.07,0.0,0,0.22279999999999997,0.19999999999999996,0.4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.22279999999999997,0.19999999999999996,0.4,0.4,0.5,0.002,0.996,0.002,1.6754242609024048,1.34783935546875,4.349378585815428,0.014205010011517015,0.011509695090353489,0.0303,0.0,0.0007999999999999998,-0.0002666666666666666,0.0,0.0
0,0.9,256,0.9996,0.7133999999999999,0.9997999999999999,1.0006988120195663,0.9996,0.9997999999999999,0.9642431152144856,1161.782,1161.144,23.746,23.658,0.0,0,0.2862,0.30000000000000004,0.4,0.5,0.6,-0.00019999999999999996,0.0,0.0,0.0,0.0,0.2864,0.30000000000000004,0.4,0.5,0.6,0.0,0.998,0.002,1.2889806121826173,1.0280189514160156,3.4218898773193342,0.011800024069761411,0.009090572129935026,0.0264,0.0,0.0,-0.0002666666666666666,0.0,-0.0002666666666666666
1,0,256,0.9662000000000001,0.8218000000000001,0.9633999999999999,0.9806094182825476,0.9662000000000001,0.9633999999999999,0.8504222877899611,4225.252,4225.9,26.864,26.74,1.0,0,0.14439999999999997,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0027999999999999995,0.0,0.0,0.09999999999999998,0.09999999999999998,0.1416,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.068,0.886,0.046,2.1482885036468504,1.7206878662109375,5.646109771728514,0.016469983707736866,0.013494813349097967,0.0436,0.0,0.0027999999999999995,,-0.0007999999999999998,0.003999999999999999
1,0.1,256,0.9703999999999999,0.8282,0.9702000000000001,0.9985935302391008,0.9703999999999999,0.9702000000000001,0.8544176350147542,4179.08,4179.192,26.928,27.112,0.994,0,0.1422,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.00019999999999999996,0.0,0.0,0.0,0.09999999999999998,0.142,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.3009999999999991,0.044,0.916,0.04,2.135541418838501,1.6968193054199219,5.615383911132811,0.016462779521266974,0.013362751342356205,0.043,0.0,0.0007999999999999998,0.0,0.0031999999999999993,-0.0007999999999999998
1,0.25,256,0.9957999999999999,0.8442000000000001,0.9957999999999999,1.0,0.9957999999999999,0.9957999999999999,0.8860275807080018,2737.374,2720.12,28.852,28.656,0.446,0,0.15159999999999996,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0,0.0,0.0,0.0,0.0,0.15159999999999996,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.002,0.996,0.002,2.060955781173706,1.6269149780273438,5.3689956665039045,0.01600289709994829,0.013044340535998344,0.039,0.0,-0.0007999999999999998,0.0002666666666666666,0.0007999999999999998,-0.0002666666666666666
1,0.5,256,0.9997999999999999,0.8298000000000001,0.9996,0.9988235294117654,0.9997999999999999,0.9996,0.9738239480050274,1188.068,1188.492,27.71,27.336,0.002,0,0.16999999999999998,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.40099999999999913,0.00019999999999999996,0.0,0.0,0.0,0.0,0.16979999999999998,0.19999999999999996,0.30000000000000004,0.30000000000000004,0.40099999999999913,0.002,0.998,0.0,1.9430267589569092,1.553985595703125,5.076156616210937,0.015468273900427612,0.012739079538732767,0.0377,0.0,0.0007999999999999998,0.0,0.0007999999999999998,0.0
1,0.75,256,0.9997999999999999,0.7786000000000001,0.9997999999999999,1.0,0.9997999999999999,0.9997999999999999,0.9705704703771696,1173.494,1174.42,24.736,24.446,0.0,0,0.22119999999999998,0.19999999999999996,0.4,0.4,0.5,0.0,0.0,0.0,0.0,0.0,0.22119999999999998,0.19999999999999996,0.4,0.4,0.5,0.0,1.0,0.0,1.6629388996124268,1.315399169921875,4.335518646240234,0.013786641206914448,0.011056824587285519,0.0377,0.0,0.0,0.0,0.0,0.0
1,0.9,256,0.9997999999999999,0.709,0.9997999999999999,1.0,0.9997999999999999,0.9997999999999999,0.9640040050396367,1169.342,1169.83,21.666,21.446,0.0,0,0.2908,0.30000000000000004,0.4,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.2908,0.30000000000000004,0.4,0.5,0.6,0.0,1.0,0.0,1.2812259683132172,1.0308837890625,3.29102325439453,0.01154631836672591,0.009019467514008284,0.0331,0.0,0.0,0.0,0.0,0.0
2,0,256,0.9594,0.823,0.9572,0.9838709677419356,0.9594,0.9572,0.8495161982524652,4206.022,4211.244,27.592,27.142,1.0,0,0.13639999999999997,0.09999999999999998,0.30000000000000004,0.30000000000000004,0.4,0.0022,0.0,0.0,0.09999999999999998,0.09999999999999998,0.13419999999999999,0.09999999999999998,0.21000000000000235,0.30000000000000004,0.4,0.072,0.878,0.05,2.101055737686157,1.6450462341308594,5.56964302062988,0.016325400630372792,0.013256785925477743,0.0436,0.0,0.0022,,-0.0015999999999999996,0.003466666666666667
