ef_search,descriptor,outcome,spearman
32,query_l2_norm,delta_discovery,0.0009042817058221872
32,query_l2_norm,delta_ranking,0.1349210463431367
32,exact_1nn_distance,delta_discovery,0.0026532847875307347
32,exact_1nn_distance,delta_ranking,-0.19603320204430272
32,exact_10nn_distance,delta_discovery,-0.0014656976359442835
32,exact_10nn_distance,delta_ranking,-0.21805161347479238
32,nn_margin,delta_discovery,-0.015169519645095298
32,nn_margin,delta_ranking,-0.015572141456601797
32,normalized_nn_margin,delta_discovery,-0.013071233401910977
32,normalized_nn_margin,delta_ranking,0.07074279954504073
32,local_distance_concentration,delta_discovery,-0.013071233401910977
32,local_distance_concentration,delta_ranking,0.07074279954504073
64,query_l2_norm,delta_discovery,0.007786468889053866
64,query_l2_norm,delta_ranking,0.07487903249643257
64,exact_1nn_distance,delta_discovery,0.007972296407225342
64,exact_1nn_distance,delta_ranking,-0.0661008325373378
64,exact_10nn_distance,delta_discovery,0.005434876754662966
64,exact_10nn_distance,delta_ranking,-0.11343356333709956
64,nn_margin,delta_discovery,-0.00539379612424585
64,nn_margin,delta_ranking,-0.09713475144361655
64,normalized_nn_margin,delta_discovery,-0.0062641358472530625
64,normalized_nn_margin,delta_ranking,-0.046530082319439205
64,local_distance_concentration,delta_discovery,-0.0062641358472530625
64,local_distance_concentration,delta_ranking,-0.046530082319439205
128,query_l2_norm,delta_discovery,-0.0011303135224577836
128,query_l2_norm,delta_ranking,0.024947867594167446
128,exact_1nn_distance,delta_discovery,0.020087892314753254
128,exact_1nn_distance,delta_ranking,0.023227045236438648
128,exact_10nn_distance,delta_discovery,0.021385985488576342
128,exact_10nn_distance,delta_ranking,-0.03333748663806762
128,nn_margin,delta_discovery,0.0007211046826387813
128,nn_margin,delta_ranking,-0.13613895683436728
128,normalized_nn_margin,delta_discovery,-0.00508850817551527
128,normalized_nn_margin,delta_ranking,-0.11176123615841584
128,local_distance_concentration,delta_discovery,-0.00508850817551527
128,local_distance_concentration,delta_ranking,-0.11176123615841584
