feature,bin,count,mean_x,mean_recovery,query_standard_error
delta_global_mae,0,1000,1003.2896965333886,0.138,0.003956216835772738
delta_global_mae,1,1000,1378.4273103967698,0.14120000000000002,0.0039872871050952
delta_global_mae,2,1000,1579.1613361111606,0.14909999999999998,0.003943950398362629
delta_global_mae,3,1000,1736.6295261740397,0.15040000000000003,0.0038955121633765973
delta_global_mae,4,1000,1887.4413983145585,0.1446,0.003850411103462287
delta_global_mae,5,1000,2042.293911450666,0.1472,0.004194013560987822
delta_global_mae,6,1000,2203.1923193116854,0.146,0.003802427968871792
delta_global_mae,7,1000,2385.7307599309693,0.14950000000000002,0.003838552394390949
delta_global_mae,8,1000,2631.5721273263584,0.156,0.004057149302214606
delta_global_mae,9,1000,3120.9916763678025,0.16950000000000004,0.004011962842032045
delta_cross_boundary_inversion_count,0,997,-1.0872617853560682,-0.007321965897693079,0.0025260920534875483
delta_cross_boundary_inversion_count,1,859,4.536670547147846,0.06321303841676368,0.0024757705559515382
delta_cross_boundary_inversion_count,2,922,8.50759219088937,0.10032537960954446,0.0026202055725471967
delta_cross_boundary_inversion_count,3,1188,12.989057239057239,0.12104377104377105,0.0025085561441097973
delta_cross_boundary_inversion_count,4,1002,17.957085828343313,0.14680638722554892,0.002964523177396065
delta_cross_boundary_inversion_count,5,903,22.980066445182725,0.1635658914728682,0.0032628372248807197
delta_cross_boundary_inversion_count,6,1042,28.858925143953936,0.18742802303262956,0.0032025563481300613
delta_cross_boundary_inversion_count,7,1056,37.71875,0.19962121212121214,0.003447333650275798
delta_cross_boundary_inversion_count,8,997,50.91875626880642,0.23480441323971915,0.0036682856516499617
delta_cross_boundary_inversion_count,9,1034,89.25531914893617,0.2642166344294004,0.003977239272823742
