group,metric,query_count,mean,median,p90,p95,p99,min,max
stable_both,boundary_margin,82,1589.4756097560976,1063.0,3438.0000000000014,4741.400000000001,6267.96,36.0,6336.0
stable_both,relative_boundary_margin,82,0.04228715003908787,0.026572917764754934,0.07208958985260905,0.14364173330358018,0.22304954615040445,0.0011071967790639156,0.24173529752928893
stable_both,boundary_gap_r1,82,1589.4756097560976,1063.0,3438.0000000000014,4741.400000000001,6267.96,36.0,6336.0
stable_both,boundary_gap_r2,82,4068.548780487805,3572.5,6810.0,7870.500000000002,12446.469999999998,433.0,13186.0
stable_both,boundary_gap_r5,82,10795.060975609756,8771.0,19271.7,24166.15,33722.009999999995,2555.0,36783.0
stable_both,d1,82,22593.743902439026,20579.5,42542.000000000015,46360.2,57091.719999999965,957.0,69151.0
stable_both,dk,82,42315.37804878049,41940.0,62299.200000000004,68017.1,80008.08999999998,5786.0,85687.0
stable_both,dk_plus_1,82,43904.85365853659,43296.0,64211.8,68795.3,80651.66999999998,6085.0,86316.0
stable_both,d20,82,50004.30487804878,48089.5,74454.1,81691.25,91524.17,8203.0,93503.0
stable_both,local_distance_concentration,82,2.8944126509720696,1.3376164812020872,7.423023737367077,12.61401092197209,21.822260741287096,0.19399200456881782,27.13184584178499
stable_both,candidate_count,82,852.0975609756098,874.5,1132.8,1200.0,1284.0299999999997,371.0,1395.0
rescued_improved,boundary_margin,5578,512.4159196844747,334.0,1200.3000000000002,1586.1499999999996,2667.9199999999983,0.0,6627.0
rescued_improved,relative_boundary_margin,5578,0.01172251400817793,0.007868788871271355,0.02655548243583201,0.03604178250114316,0.061223447450147066,0.0,0.1567259483492574
rescued_improved,boundary_gap_r1,5578,512.4159196844747,334.0,1200.3000000000002,1586.1499999999996,2667.9199999999983,0.0,6627.0
rescued_improved,boundary_gap_r2,5578,1457.4044460380064,1209.0,2740.6000000000004,3411.899999999998,5145.279999999984,5.0,14903.0
rescued_improved,boundary_gap_r5,5578,4540.435819290068,4065.0,7466.000000000002,8895.899999999998,12871.829999999947,170.0,39738.0
rescued_improved,d1,5578,34240.90641807099,34090.5,55287.3,61614.2,72784.43999999999,433.0,95624.0
rescued_improved,dk,5578,46985.41466475439,47262.0,69365.7,75732.29999999999,87369.29999999996,980.0,119008.0
rescued_improved,dk_plus_1,5578,47497.83058443887,47745.5,70121.6,76497.65,88037.43999999999,1012.0,119842.0
rescued_improved,d20,5578,50571.7441735389,50905.5,74287.0,80699.65,92636.92,1262.0,123586.0
rescued_improved,local_distance_concentration,5578,0.7970390253094941,0.384277971773175,1.5625566774705295,2.942555464973527,7.235790029092327,0.0685879044399625,44.199887387387385
rescued_improved,candidate_count,5578,995.4885263535317,1039.0,1250.3000000000002,1299.0,1399.0,247.0,1581.0
persistent_harmful,boundary_margin,5559,401.2987947472567,278.0,922.1999999999998,1223.0999999999995,1880.8600000000024,0.0,4564.0
persistent_harmful,relative_boundary_margin,5559,0.009312905155568712,0.006555131591820761,0.020864992301286793,0.027094975016619095,0.045572572517342154,0.0,0.09327456277548699
persistent_harmful,boundary_gap_r1,5559,401.2987947472567,278.0,922.1999999999998,1223.0999999999995,1880.8600000000024,0.0,4564.0
persistent_harmful,boundary_gap_r2,5559,1284.7330455117826,1085.0,2413.2,2994.0999999999995,4419.52,5.0,9160.0
persistent_harmful,boundary_gap_r5,5559,4315.108472746897,3903.0,7116.999999999999,8385.099999999995,12278.140000000001,170.0,33749.0
persistent_harmful,d1,5559,34225.766684655515,34318.0,55362.2,61658.09999999999,72533.82000000004,433.0,95624.0
persistent_harmful,dk,5559,46688.381363554596,47258.0,68925.2,75261.69999999995,86779.22000000002,980.0,119008.0
persistent_harmful,dk_plus_1,5559,47089.68015830185,47642.0,69592.6,75823.9,87330.52,1012.0,119842.0
persistent_harmful,d20,5559,50107.85806799784,50703.0,73289.8,79847.2,91286.66,1214.0,123586.0
persistent_harmful,local_distance_concentration,5559,0.7853344039288425,0.37766678092812955,1.49471222979141,2.7785976673938797,7.736503185694756,0.0685879044399625,28.097902097902097
persistent_harmful,candidate_count,5559,989.6576722432092,1032.0,1246.0,1297.0,1392.6800000000003,247.0,1722.0
regressed,boundary_margin,323,410.015479876161,285.0,958.8000000000002,1235.5999999999979,1856.6799999999985,0.0,2560.0
regressed,relative_boundary_margin,323,0.010003712943395722,0.006456170646990718,0.024361888786666848,0.032762775974081636,0.04822740250994149,0.0,0.06909426987060999
regressed,boundary_gap_r1,323,410.015479876161,285.0,958.8000000000002,1235.5999999999979,1856.6799999999985,0.0,2560.0
regressed,boundary_gap_r2,323,1306.5851393188855,1071.0,2536.0000000000005,3472.9999999999964,4993.379999999982,42.0,5812.0
regressed,boundary_gap_r5,323,4691.349845201238,4014.0,7921.600000000003,9634.099999999993,13293.659999999969,319.0,22318.0
regressed,d1,323,31597.50773993808,29805.0,54888.4,59677.79999999999,73292.67999999996,813.0,94108.0
regressed,dk,323,44612.42105263158,45542.0,68475.40000000001,74175.39999999997,89432.39999999997,1464.0,102748.0
regressed,dk_plus_1,323,45022.43653250774,45778.0,69076.0,74320.49999999997,90759.49999999993,1466.0,103244.0
regressed,d20,323,48361.41176470588,48433.0,72870.2,78820.9,95890.83999999994,1794.0,110207.0
regressed,local_distance_concentration,323,0.941181283649466,0.4496949831557862,1.572755702784974,3.341702374697948,11.248406973525999,0.09305805359490954,19.54364694471387
regressed,candidate_count,323,932.2352941176471,974.0,1199.0,1256.3999999999999,1344.12,298.0,1406.0
fully_rescued,boundary_margin,1423,855.5319747013352,610.0,1918.3999999999999,2477.9999999999986,3714.34,0.0,6627.0
fully_rescued,relative_boundary_margin,1423,0.019489120897610412,0.013767432373862274,0.04344650820219799,0.055418669927767984,0.08479747264058761,0.0,0.1567259483492574
fully_rescued,boundary_gap_r1,1423,855.5319747013352,610.0,1918.3999999999999,2477.9999999999986,3714.34,0.0,6627.0
fully_rescued,boundary_gap_r2,1423,2120.929023190443,1842.0,3833.0,4513.499999999999,6625.419999999999,168.0,14903.0
fully_rescued,boundary_gap_r5,1423,5846.980323260716,5196.0,9578.199999999999,11319.999999999995,16438.78,1028.0,39738.0
fully_rescued,d1,1423,32536.964160224878,31712.0,54038.2,59815.19999999996,70907.89999999998,1671.0,78482.0
fully_rescued,dk,1423,47429.51862262825,47438.0,70060.59999999999,75356.4,87486.29999999999,5998.0,96544.0
fully_rescued,dk_plus_1,1423,48285.05059732959,48387.0,71195.8,76772.89999999998,88328.87999999999,6104.0,97814.0
fully_rescued,d20,1423,51874.01335207308,51924.0,75805.99999999999,81174.4,93745.78,7268.0,104632.0
fully_rescued,local_distance_concentration,1423,1.03839235450619,0.468071067230382,2.394776404047392,3.5574300764666225,7.926609318413524,0.11020065552801983,44.199887387387385
fully_rescued,candidate_count,1423,983.7406886858749,1023.0,1238.8,1287.8999999999999,1386.8999999999999,287.0,1536.0
partially_improved_persistent,boundary_margin,4155,394.9058965102286,276.0,897.5999999999999,1198.5999999999995,1774.9800000000005,0.0,4564.0
partially_improved_persistent,relative_boundary_margin,4155,0.00906261470525075,0.006529797547761619,0.02041153735160841,0.026408231364455716,0.04211007203440508,0.0,0.07607361963190185
partially_improved_persistent,boundary_gap_r1,4155,394.9058965102286,276.0,897.5999999999999,1198.5999999999995,1774.9800000000005,0.0,4564.0
partially_improved_persistent,boundary_gap_r2,4155,1230.1612515042118,1058.0,2292.6,2766.0,3852.2000000000007,5.0,7525.0
partially_improved_persistent,boundary_gap_r5,4155,4092.971841155235,3759.0,6628.4,7786.899999999996,10507.300000000003,170.0,22757.0
partially_improved_persistent,d1,4155,34824.47075812274,34758.0,55837.59999999999,62166.59999999999,73604.18000000001,433.0,95624.0
partially_improved_persistent,dk,4155,46833.31841155235,47237.0,69098.59999999999,75801.19999999998,87343.46,980.0,119008.0
partially_improved_persistent,dk_plus_1,4155,47228.22430806258,47605.0,69846.8,76294.79999999999,87798.80000000002,1012.0,119842.0
partially_improved_persistent,d20,4155,50125.74440433213,50504.0,73527.8,80167.09999999999,91761.80000000002,1262.0,123586.0
partially_improved_persistent,local_distance_concentration,4155,0.714380592710963,0.3623127330959354,1.2755121322994278,2.5637965043676156,6.754784932588204,0.0685879044399625,20.309745762711863
partially_improved_persistent,candidate_count,4155,999.5119133574008,1045.0,1252.6,1303.0,1400.38,247.0,1581.0
unchanged_harmful,boundary_margin,1153,437.9549002601908,294.0,1024.7999999999997,1377.3999999999985,2035.88,0.0,3426.0
unchanged_harmful,relative_boundary_margin,1153,0.010438496955082536,0.006889782721656627,0.024400731496837427,0.031750201253695966,0.05551757010177637,0.0,0.09327456277548699
unchanged_harmful,boundary_gap_r1,1153,437.9549002601908,294.0,1024.7999999999997,1377.3999999999985,2035.88,0.0,3426.0
unchanged_harmful,boundary_gap_r2,1153,1524.865568083261,1233.0,3043.3999999999996,3709.2,5645.880000000005,86.0,9160.0
unchanged_harmful,boundary_gap_r5,1153,5144.462272333044,4553.0,8597.2,10404.59999999998,15727.920000000004,289.0,33749.0
unchanged_harmful,d1,1153,32507.716392020815,32711.0,54448.799999999996,60174.799999999996,68584.6,440.0,92643.0
unchanged_harmful,dk,1153,46700.913269731136,48210.0,68447.79999999999,73620.4,84280.88,1131.0,109099.0
unchanged_harmful,dk_plus_1,1153,47138.86816999133,48366.0,68943.8,74144.59999999999,85048.72,1133.0,109327.0
unchanged_harmful,d20,1153,50568.11535125759,52127.0,72882.2,78516.19999999997,89766.72,1214.0,112187.0
unchanged_harmful,local_distance_concentration,1153,1.0452380095380165,0.4409333736518496,2.1500879088678064,4.107919240858426,11.099156201861012,0.09152455223241066,28.097902097902097
unchanged_harmful,candidate_count,1153,965.4258456201214,1001.0,1230.0,1277.7999999999997,1386.88,294.0,1722.0
