state,relative_margin_cutoff,pair_count,pairs_at_or_below_cutoff,fraction
corrected,0.01,310999,4623,0.014864999565915003
corrected,0.05,310999,61787,0.1986726645423297
corrected,0.1,310999,166264,0.5346126514876254
persistent,0.01,22637,3946,0.17431638467994875
persistent,0.05,22637,18340,0.8101780271237354
persistent,0.1,22637,22040,0.9736272474267792
new,0.01,33209,3646,0.10978951489054171
new,0.05,33209,23721,0.7142943178054142
new,0.1,33209,31754,0.9561865759282122
all_cross_boundary_opportunities,0.01,102530470,17851,0.00017410434186052205
all_cross_boundary_opportunities,0.05,102530470,223543,0.002180259195144624
all_cross_boundary_opportunities,0.1,102530470,811964,0.007919245859304069
