feature,bin,count,mean_x,mean_recovery,query_standard_error
delta_global_mae,0,100,1034.31538109605,0.11299999999999999,0.010507813350747214
delta_global_mae,1,100,1398.9568712231392,0.13699999999999998,0.013458128106137649
delta_global_mae,2,100,1593.3381812208277,0.14,0.012792042981336627
delta_global_mae,3,100,1763.9812630473605,0.151,0.013595528082365313
delta_global_mae,4,100,1914.7987690583611,0.145,0.013437096247164248
delta_global_mae,5,100,2052.2552786333163,0.156,0.012738234817376631
delta_global_mae,6,100,2209.479196572307,0.134,0.011121005695384194
delta_global_mae,7,100,2414.252944361453,0.12900000000000003,0.011307903734498578
delta_global_mae,8,100,2639.9580008893,0.14699999999999996,0.01175980141383898
delta_global_mae,9,100,3084.2195085446,0.16,0.011370704872299225
delta_cross_boundary_inversion_count,0,91,-2.087912087912088,-0.013186813186813189,0.009139909828319961
delta_cross_boundary_inversion_count,1,107,4.065420560747664,0.05233644859813084,0.007434637820451623
delta_cross_boundary_inversion_count,2,86,8.627906976744185,0.09069767441860464,0.008040238573878358
delta_cross_boundary_inversion_count,3,111,12.936936936936936,0.10810810810810807,0.008405677962352196
delta_cross_boundary_inversion_count,4,93,17.408602150537636,0.14623655913978492,0.009117068819737483
delta_cross_boundary_inversion_count,5,111,22.25225225225225,0.16126126126126125,0.008882818093535163
delta_cross_boundary_inversion_count,6,100,29.15,0.17800000000000005,0.008942012970220741
delta_cross_boundary_inversion_count,7,101,38.21782178217822,0.21683168316831686,0.011175406779819772
delta_cross_boundary_inversion_count,8,100,49.98,0.22699999999999998,0.012701308291795468
delta_cross_boundary_inversion_count,9,100,85.34,0.231,0.011950656125007607
