group,metric,query_count,mean,median,p90,p95,p99,min,max
stable_both,boundary_margin,8,855.75,502.0,2100.2,2367.5999999999995,2581.52,146.0,2635.0
stable_both,relative_boundary_margin,8,0.02124296135294559,0.009638324159332953,0.059212077726525675,0.06377456218405614,0.06742454975008051,0.003764679440355116,0.06833704664158662
stable_both,boundary_gap_r1,8,855.75,502.0,2100.2,2367.5999999999995,2581.52,146.0,2635.0
stable_both,boundary_gap_r2,8,3343.625,3525.0,5142.4,5145.2,5147.44,646.0,5148.0
stable_both,boundary_gap_r5,8,9325.75,9308.0,13563.1,13877.05,14128.21,4362.0,14191.0
stable_both,d1,8,29592.625,28320.0,53173.5,61162.249999999985,67553.25,2798.0,69151.0
stable_both,dk,8,48321.375,50519.5,66817.09999999999,76252.04999999999,83800.01,27379.0,85687.0
stable_both,dk_plus_1,8,49177.125,51937.5,67496.5,76906.24999999999,84434.04999999999,28780.0,86316.0
stable_both,d20,8,55749.125,57603.5,75382.9,84473.44999999998,91745.89,31688.0,93564.0
stable_both,local_distance_concentration,8,2.54506014562815,0.8018161667987791,6.368477939270395,9.567012379213462,12.125839931167924,0.35303900160518287,12.76554681915654
stable_both,candidate_count,8,861.625,817.0,1051.0,1152.4999999999998,1233.6999999999998,620.0,1254.0
rescued_improved,boundary_margin,530,517.111320754717,346.5,1219.4000000000005,1562.099999999999,2715.0200000000023,0.0,3640.0
rescued_improved,relative_boundary_margin,530,0.01197872076787163,0.007569226990057763,0.023732431045302305,0.037429103563768225,0.07681370643865797,0.0,0.14552708945821083
rescued_improved,boundary_gap_r1,530,517.111320754717,346.5,1219.4000000000005,1562.099999999999,2715.0200000000023,0.0,3640.0
rescued_improved,boundary_gap_r2,530,1549.0358490566039,1256.5,2807.3000000000006,3757.95,5663.5500000000075,54.0,8640.0
rescued_improved,boundary_gap_r5,530,4756.084905660377,4316.5,7493.100000000001,8886.9,13181.94,269.0,20539.0
rescued_improved,d1,530,35297.10188679245,36086.5,55826.600000000006,62738.299999999996,75472.21,433.0,95624.0
rescued_improved,dk,530,48883.28490566038,49692.0,71487.5,76164.15,89591.99000000003,1051.0,108056.0
rescued_improved,dk_plus_1,530,49400.3962264151,49967.0,72207.0,76853.89999999998,89877.18000000002,1068.0,108082.0
rescued_improved,d20,530,52446.66603773585,53281.0,75854.5,80703.2,94192.0,1262.0,113408.0
rescued_improved,local_distance_concentration,530,0.8049618712547525,0.3871569579639347,1.9167026939916338,3.2182066112168126,5.754793918918926,0.0685879044399625,14.170340681362726
rescued_improved,candidate_count,530,1005.7641509433962,1054.0,1261.0,1306.1,1382.71,287.0,1478.0
persistent_harmful,boundary_margin,556,405.2913669064748,289.0,985.5,1219.25,1677.7500000000016,0.0,2169.0
persistent_harmful,relative_boundary_margin,556,0.008952239293313033,0.006478621091373895,0.019391795976689972,0.023537845389209437,0.04482141874057379,0.0,0.06416360585861335
persistent_harmful,boundary_gap_r1,556,405.2913669064748,289.0,985.5,1219.25,1677.7500000000016,0.0,2169.0
persistent_harmful,boundary_gap_r2,556,1319.0395683453237,1099.5,2380.0,2891.25,4323.200000000023,54.0,6456.0
persistent_harmful,boundary_gap_r5,556,4428.248201438849,4079.0,6967.0,8273.25,10986.000000000002,269.0,19243.0
persistent_harmful,d1,556,34995.347122302155,35933.5,54514.5,61513.5,75432.95000000001,433.0,95624.0
persistent_harmful,dk,556,48253.02697841726,49193.0,69672.0,75706.75,89447.05000000003,1051.0,108056.0
persistent_harmful,dk_plus_1,556,48658.31834532374,49453.0,70112.0,76004.0,89573.95000000004,1068.0,108082.0
persistent_harmful,d20,556,51666.09352517986,52783.0,73816.5,79928.0,94710.60000000005,1262.0,113408.0
persistent_harmful,local_distance_concentration,556,0.8427375859958153,0.3769916017370524,1.7499504328273114,3.317982310988798,8.203095430956425,0.0685879044399625,14.442367601246106
persistent_harmful,candidate_count,556,1002.160071942446,1042.0,1259.0,1305.5,1392.8000000000002,338.0,1478.0
regressed,boundary_margin,34,442.3529411764706,299.0,1115.0,1399.25,1545.6800000000003,0.0,1613.0
regressed,relative_boundary_margin,34,0.009411618797384278,0.0059689236137209865,0.021078386377496643,0.028408999353496906,0.03186817565864324,0.0,0.032937188597565954
regressed,boundary_gap_r1,34,442.3529411764706,299.0,1115.0,1399.25,1545.6800000000003,0.0,1613.0
regressed,boundary_gap_r2,34,1377.264705882353,1238.0,2343.0,3042.2499999999977,4154.520000000001,108.0,4371.0
regressed,boundary_gap_r5,34,4319.64705882353,3817.0,6065.7,9240.099999999997,10714.68,843.0,10914.0
regressed,d1,34,32311.79411764706,33615.5,47800.7,55813.649999999994,58675.5,2546.0,59253.0
regressed,dk,34,44545.117647058825,46154.0,68833.2,70135.75,71531.7,9296.0,72096.0
regressed,dk_plus_1,34,44987.470588235294,46562.0,69913.3,70788.8,72638.93000000001,9335.0,73490.0
regressed,d20,34,48712.67647058824,50278.0,74347.0,75577.15,77775.76,10877.0,78049.0
regressed,local_distance_concentration,34,0.7528013308228498,0.5213687586466252,1.1976790657267125,1.5721536402968468,4.691963741893884,0.15568220774768599,6.157894736842105
regressed,candidate_count,34,894.1470588235294,881.0,1168.4,1260.6999999999998,1319.0900000000001,395.0,1328.0
fully_rescued,boundary_margin,129,898.5426356589147,609.0,2212.8,2644.9999999999995,3183.3199999999997,10.0,3640.0
fully_rescued,relative_boundary_margin,129,0.02227347196363206,0.01266559906827777,0.05472253441614002,0.07384857508103461,0.13062365175570223,0.0001612565107316208,0.14552708945821083
fully_rescued,boundary_gap_r1,129,898.5426356589147,609.0,2212.8,2644.9999999999995,3183.3199999999997,10.0,3640.0
fully_rescued,boundary_gap_r2,129,2415.0387596899227,2169.0,4119.0,4877.999999999999,7293.5599999999995,374.0,8640.0
fully_rescued,boundary_gap_r5,129,6163.922480620155,5722.0,9184.0,11881.4,15871.599999999999,1867.0,20539.0
fully_rescued,d1,129,34128.542635658916,34869.0,59295.8,62739.6,68981.04,1850.0,69972.0
fully_rescued,dk,129,49891.542635658916,49769.0,72047.0,76730.0,86349.68,5998.0,89046.0
fully_rescued,dk_plus_1,129,50790.08527131783,51390.0,73043.0,79028.79999999999,87952.87999999999,6363.0,89339.0
fully_rescued,d20,129,54514.79069767442,54934.0,77545.4,84027.99999999997,92589.08,7891.0,94121.0
fully_rescued,local_distance_concentration,129,1.0303418739779568,0.4764885251163537,2.79206409525156,3.3999924148190885,5.204087770475285,0.18601734394037125,13.562384105960264
fully_rescued,candidate_count,129,988.2790697674419,1028.0,1235.6000000000001,1291.3999999999999,1358.32,287.0,1373.0
partially_improved_persistent,boundary_margin,401,394.4064837905237,283.0,990.0,1203.0,1550.0,0.0,1952.0
partially_improved_persistent,relative_boundary_margin,401,0.008666942951779125,0.0063416891211453144,0.019298712827341323,0.023327615780445968,0.04187248271145224,0.0,0.05247721797423274
partially_improved_persistent,boundary_gap_r1,401,394.4064837905237,283.0,990.0,1203.0,1550.0,0.0,1952.0
partially_improved_persistent,boundary_gap_r2,401,1270.4463840399003,1079.0,2305.0,2734.0,3863.0,54.0,6456.0
partially_improved_persistent,boundary_gap_r5,401,4303.189526184538,4050.0,6547.0,7557.0,10537.0,269.0,17384.0
partially_improved_persistent,d1,401,35673.02244389027,36440.0,54728.0,61804.0,76734.0,433.0,95624.0
partially_improved_persistent,dk,401,48558.93266832918,49382.0,70832.0,75979.0,91421.0,1051.0,108056.0
partially_improved_persistent,dk_plus_1,401,48953.3391521197,49626.0,71379.0,76004.0,91806.0,1068.0,108082.0
partially_improved_persistent,d20,401,51781.35910224439,52647.0,74655.0,80417.0,97107.0,1262.0,113408.0
partially_improved_persistent,local_distance_concentration,401,0.7324580798550185,0.37265608592601485,1.39272210080827,2.8312912346842602,5.8125,0.0685879044399625,14.170340681362726
partially_improved_persistent,candidate_count,401,1011.3890274314215,1059.0,1267.0,1313.0,1395.0,338.0,1478.0
unchanged_harmful,boundary_margin,127,444.31496062992125,308.0,981.4000000000001,1338.799999999997,1916.5799999999997,0.0,2169.0
unchanged_harmful,relative_boundary_margin,127,0.009938024893984354,0.008007649097645512,0.02004865931645181,0.028193023868821103,0.05629938405575426,0.0,0.06416360585861335
unchanged_harmful,boundary_gap_r1,127,444.31496062992125,308.0,981.4000000000001,1338.799999999997,1916.5799999999997,0.0,2169.0
unchanged_harmful,boundary_gap_r2,127,1488.6299212598426,1250.0,2763.2000000000003,3738.7999999999975,5546.299999999996,219.0,5891.0
unchanged_harmful,boundary_gap_r5,127,4936.047244094489,4264.0,8220.200000000003,9589.799999999997,12052.879999999992,974.0,19243.0
unchanged_harmful,d1,127,33860.32283464567,34827.0,54456.0,59949.59999999999,65278.299999999996,2367.0,74934.0
unchanged_harmful,dk,127,48707.535433070865,50202.0,67423.8,75286.39999999998,85150.01999999999,14454.0,89146.0
unchanged_harmful,dk_plus_1,127,49151.850393700784,50584.0,67759.6,75568.89999999998,85356.23999999999,14650.0,89146.0
unchanged_harmful,d20,127,52597.18110236221,54880.0,72104.6,79885.09999999998,92236.61999999998,16334.0,95309.0
unchanged_harmful,local_distance_concentration,127,1.2006284657240691,0.4106746472173775,2.178133712201552,6.536467265097252,11.95752750287351,0.11916971456581577,14.442367601246106
unchanged_harmful,candidate_count,127,998.2598425196851,1017.0,1224.4,1273.0,1382.4199999999998,425.0,1422.0
