state,relative_margin_cutoff,pair_count,pairs_at_or_below_cutoff,fraction
corrected,0.01,30296,445,0.014688407710588857
corrected,0.05,30296,6149,0.20296408766833907
corrected,0.1,30296,16441,0.5426789015051492
persistent,0.01,2415,413,0.17101449275362318
persistent,0.05,2415,1919,0.7946169772256729
persistent,0.1,2415,2341,0.9693581780538302
new,0.01,3477,399,0.11475409836065574
new,0.05,3477,2524,0.725913143514524
new,0.1,3477,3335,0.9591601955708945
all_cross_boundary_opportunities,0.01,10342200,1845,0.00017839531240935197
all_cross_boundary_opportunities,0.05,10342200,22632,0.0021883158322213844
all_cross_boundary_opportunities,0.1,10342200,81964,0.007925199667382182
