state,metric,pair_count,mean,median,p90,p95,p99,min,max
corrected,exact_margin,30296,5350.377343543702,4632.5,10188.5,12225.75,16371.05,2.0,28711.0
corrected,relative_exact_margin,30296,0.10557353584874266,0.09345414207832908,0.18963977403706073,0.226119486340468,0.31605620085728786,2.4599943420130133e-05,2.0637488106565174
corrected,violation_32,30296,2282.181605135321,1626.5322265625,5213.57421875,6658.46875,9824.28828125,0.08984375,21631.359375
corrected,violation_64,30296,-5265.890306686832,-4547.703125,-1163.99609375,-645.421875,-145.3386718750002,-29248.765625,-0.6796875
corrected,inside_exact_rank,30296,7.4500924214417745,8.0,10.0,10.0,10.0,1.0,10.0
corrected,outside_exact_rank,30296,30.44613150250858,22.0,58.0,78.0,130.0,11.0,412.0
persistent,exact_margin,2415,1540.5536231884057,1276.0,3139.0,3854.9999999999973,5151.58,4.0,9857.0
persistent,relative_exact_margin,2415,0.033518869745493986,0.02652461572288073,0.0673113546912692,0.085679146118942,0.1429556884719779,0.00012849223539777524,0.25784966698382494
persistent,violation_32,2415,3064.068199546293,2336.7890625,6695.9640625,8552.634765624993,11709.717812500006,0.470703125,15563.10546875
persistent,violation_64,2415,1087.5893301953934,793.71875,2447.763281249999,3174.2718749999967,4536.104609375,0.6796875,6067.01953125
persistent,inside_exact_rank,2415,8.641407867494824,9.0,10.0,10.0,10.0,2.0,10.0
persistent,outside_exact_rank,2415,14.918840579710144,13.0,21.0,24.299999999999727,34.0,11.0,66.0
new,exact_margin,3477,1841.1127408685647,1568.0,3736.2000000000003,4471.799999999997,6131.599999999997,3.0,9909.0
new,relative_exact_margin,3477,0.03938151031101566,0.032754895811554816,0.07423723823545435,0.09258500951726402,0.15913029466908454,9.211156552816771e-05,0.3461593477327993
new,violation_32,3477,-3778.134293493403,-3001.0,-497.6234374999999,-239.94375000000014,-56.9201562500003,-21386.34375,-0.92578125
new,violation_64,3477,956.1850107065178,677.33984375,2228.52890625,2908.3828124999986,4015.1453124999994,0.06640625,6235.6875
new,inside_exact_rank,3477,8.372735116479724,9.0,10.0,10.0,10.0,1.0,10.0
new,outside_exact_rank,3477,15.280126545872879,14.0,22.0,25.0,34.0,11.0,66.0
