stratum,descriptor,bin,queries,descriptor_mean,harmful_frequency_mean
all,d1,0,1000,8494.225,0.7343999999999999
all,d1,1,1000,17747.16,0.7238000000000001
all,d1,2,999,24735.436436436437,0.7535535535535535
all,d1,3,1001,30620.504495504494,0.7502497502497504
all,d1,4,1000,35600.709,0.7594000000000001
all,d1,5,1000,40385.628,0.7233999999999999
all,d1,6,1000,45292.683,0.6998000000000001
all,d1,7,1000,50283.349,0.6908
all,d1,8,1000,56566.825,0.6347999999999999
all,d1,9,1000,68307.257,0.5765999999999999
all,dk,0,1000,18387.039,0.8048
all,dk,1,1000,31203.087,0.7566
all,dk,2,1000,38322.118,0.75
all,dk,3,1000,43859.896,0.7386000000000001
all,dk,4,1000,48983.068,0.73
all,dk,5,1000,53667.632,0.7122
all,dk,6,1000,58205.979,0.6856
all,dk,7,1000,63299.961,0.6576
all,dk,8,1000,69703.376,0.6544000000000001
all,dk,9,1000,82076.517,0.557
all,dk_plus_1,0,1000,18663.426,0.808
all,dk_plus_1,1,1000,31622.377,0.7606
all,dk_plus_1,2,1000,38749.061,0.7537999999999999
all,dk_plus_1,3,1000,44313.178,0.7372000000000001
all,dk_plus_1,4,1000,49454.723,0.7376
all,dk_plus_1,5,1000,54164.113,0.7072
all,dk_plus_1,6,1000,58715.017,0.682
all,dk_plus_1,7,1000,63847.908,0.6548
all,dk_plus_1,8,999,70285.67367367368,0.6552552552552553
all,dk_plus_1,9,1001,82702.17282717282,0.5504495504495506
all,d20,0,1000,20494.517,0.816
all,d20,1,1000,34074.952,0.7732
all,d20,2,1000,41462.541,0.7527999999999999
all,d20,3,1000,47206.387,0.727
all,d20,4,999,52503.382382382384,0.7351351351351352
all,d20,5,1001,57339.380619380616,0.7040959040959041
all,d20,6,1000,62047.988,0.679
all,d20,7,1000,67306.13,0.6582
all,d20,8,1000,73931.457,0.652
all,d20,9,1000,86839.98,0.5494000000000001
all,boundary_margin,0,990,16.47979797979798,0.7684848484848485
all,boundary_margin,1,999,64.89689689689689,0.8054054054054054
all,boundary_margin,2,1003,120.86739780658026,0.7641076769690928
all,boundary_margin,3,1006,187.31908548707753,0.758648111332008
all,boundary_margin,4,995,264.30452261306533,0.7630150753768845
all,boundary_margin,5,999,359.40840840840843,0.7391391391391392
all,boundary_margin,6,1006,479.9900596421471,0.7117296222664016
all,boundary_margin,7,999,645.2632632632633,0.6778778778778778
all,boundary_margin,8,1003,917.2313060817547,0.6285144566301096
all,boundary_margin,9,1000,1761.07,0.43060000000000004
all,relative_boundary_margin,0,1000,0.0003672422282549991,0.7356
all,relative_boundary_margin,1,1000,0.0014392132925435271,0.7704
all,relative_boundary_margin,2,1000,0.0026426771286504397,0.7557999999999999
all,relative_boundary_margin,3,1000,0.004038555311424545,0.7577999999999999
all,relative_boundary_margin,4,1000,0.0056685650856067625,0.7475999999999999
all,relative_boundary_margin,5,1000,0.007738833167126009,0.7438
all,relative_boundary_margin,6,1000,0.010243564800408158,0.7152000000000001
all,relative_boundary_margin,7,1000,0.013725590861628334,0.6950000000000001
all,relative_boundary_margin,8,1000,0.019234959674977438,0.659
all,relative_boundary_margin,9,1000,0.03894001836783721,0.4666
all,boundary_gap_r1,0,990,16.47979797979798,0.7684848484848485
all,boundary_gap_r1,1,999,64.89689689689689,0.8054054054054054
all,boundary_gap_r1,2,1003,120.86739780658026,0.7641076769690928
all,boundary_gap_r1,3,1006,187.31908548707753,0.758648111332008
all,boundary_gap_r1,4,995,264.30452261306533,0.7630150753768845
all,boundary_gap_r1,5,999,359.40840840840843,0.7391391391391392
all,boundary_gap_r1,6,1006,479.9900596421471,0.7117296222664016
all,boundary_gap_r1,7,999,645.2632632632633,0.6778778778778778
all,boundary_gap_r1,8,1003,917.2313060817547,0.6285144566301096
all,boundary_gap_r1,9,1000,1761.07,0.43060000000000004
all,boundary_gap_r2,0,999,286.019019019019,0.8658658658658659
all,boundary_gap_r2,1,999,525.1321321321321,0.8184184184184183
all,boundary_gap_r2,2,999,708.6876876876877,0.8044044044044044
all,boundary_gap_r2,3,999,894.944944944945,0.7833833833833834
all,boundary_gap_r2,4,1002,1084.3243512974052,0.7433133732534931
all,boundary_gap_r2,5,1002,1292.809381237525,0.7103792415169661
all,boundary_gap_r2,6,998,1543.8587174348697,0.6897795591182364
all,boundary_gap_r2,7,1001,1860.2857142857142,0.6245754245754246
all,boundary_gap_r2,8,1001,2350.8471528471528,0.5756243756243756
all,boundary_gap_r2,9,1000,3801.014,0.43160000000000004
all,boundary_gap_r5,0,1000,1580.625,0.8876000000000001
all,boundary_gap_r5,1,1000,2411.863,0.8266
all,boundary_gap_r5,2,999,2916.197197197197,0.775975975975976
all,boundary_gap_r5,3,1001,3392.978021978022,0.7696303696303697
all,boundary_gap_r5,4,1000,3869.838,0.704
all,boundary_gap_r5,5,998,4355.506012024048,0.6875751503006012
all,boundary_gap_r5,6,1000,4929.99,0.6582
all,boundary_gap_r5,7,1000,5620.247,0.6204000000000001
all,boundary_gap_r5,8,1002,6673.152694610779,0.5994011976047905
all,boundary_gap_r5,9,1000,10134.459,0.5176000000000001
all,local_distance_concentration,0,1000,0.15528629793972146,0.701
