model_a,model_b,harmful_jaccard,loss_spearman,inversion_spearman,independent_harmful_jaccard,pair_inversion_jaccard
0,1,0.6730563162281223,0.4217807399948404,0.44563729845374694,0.5415421925100532,0.15861076045111683
0,2,0.6758752083829483,0.4273861293993387,0.45783048965567225,0.5428437875598161,0.15796284700480068
0,3,0.6781513603421647,0.4222327002908903,0.45312743712233666,0.5458539234691882,0.16027036076002343
0,4,0.6662706427468219,0.4205602235054921,0.439499754222748,0.5399422141213394,0.1602146853945415
1,2,0.6662333057558208,0.41592990253511136,0.4538959478553734,0.5442802479786776,0.16219632961800215
1,3,0.6724586288416076,0.4149782565507443,0.4479547734186404,0.5473063800705451,0.15662043933449427
1,4,0.6661527514231499,0.41640834818960226,0.44709114609483597,0.5413633393296086,0.15896954526491447
2,3,0.6756533049544756,0.42111719794709096,0.45952068200149626,0.5486358650121946,0.15954568899274746
2,4,0.6612750885478158,0.4016642884621606,0.44653793464045494,0.5426640737426537,0.15709059832622901
3,4,0.6698592881636514,0.416084115817484,0.43882448586522216,0.5456722113890299,0.1576267826776418
