model_a,model_b,top_fraction,count_per_set,overlap_fraction,independent_tie_resolution_expected_overlap,tie_inclusive_jaccard,cutoff_a,cutoff_b,cutoff_ties_a,cutoff_ties_b
0,1,0.05,500,0.238,0.23654080466170166,0.11557408109132247,0.3,0.2,442,1991
0,1,0.1,1000,0.372,0.2632273691947795,0.30926724137931033,0.2,0.2,1916,1991
0,1,0.2,2000,0.455,0.4043473797537772,0.30926724137931033,0.2,0.2,1916,1991
0,2,0.05,500,0.216,0.2184130072225434,0.11608809257185516,0.3,0.2,442,2043
0,2,0.1,1000,0.384,0.2534053369262321,0.3082666666666667,0.2,0.2,1916,2043
0,2,0.2,2000,0.4425,0.3987282060439588,0.3082666666666667,0.2,0.2,1916,2043
0,3,0.05,500,0.238,0.23981048815437958,0.11793893129770992,0.3,0.2,442,2002
0,3,0.1,1000,0.376,0.2608607806598411,0.3080453563714903,0.2,0.2,1916,2002
0,3,0.2,2000,0.455,0.4027289425084311,0.3080453563714903,0.2,0.2,1916,2002
0,4,0.05,500,0.238,0.23916293805050756,0.12134831460674157,0.3,0.2,442,2041
0,4,0.1,1000,0.403,0.26386482484843593,0.3160010720986331,0.2,0.2,1916,2041
0,4,0.2,2000,0.4595,0.40677708924255257,0.3160010720986331,0.2,0.2,1916,2041
1,2,0.05,500,0.306,0.2649670128402088,0.3094289508632138,0.2,0.2,1991,2043
1,2,0.1,1000,0.4,0.270618820669518,0.3094289508632138,0.2,0.2,1991,2043
1,2,0.2,2000,0.449,0.4010379838249114,0.3094289508632138,0.2,0.2,1991,2043
1,3,0.05,500,0.26,0.23286161302283845,0.3029167781643029,0.2,0.2,1991,2002
1,3,0.1,1000,0.38,0.25638101200657715,0.3029167781643029,0.2,0.2,1991,2002
1,3,0.2,2000,0.4495,0.39627726605388586,0.3029167781643029,0.2,0.2,1991,2002
1,4,0.05,500,0.27,0.22698688488201807,0.30701986754966887,0.2,0.2,1991,2041
1,4,0.1,1000,0.394,0.2563671433257595,0.30701986754966887,0.2,0.2,1991,2041
1,4,0.2,2000,0.455,0.39674535790774296,0.30701986754966887,0.2,0.2,1991,2041
2,3,0.05,500,0.244,0.21246780336648183,0.30892143808255657,0.2,0.2,2043,2002
2,3,0.1,1000,0.403,0.2491165941254046,0.30892143808255657,0.2,0.2,2043,2002
2,3,0.2,2000,0.4485,0.39745048074783756,0.30892143808255657,0.2,0.2,2043,2002
2,4,0.05,500,0.254,0.21779988646836765,0.3002610966057441,0.2,0.2,2043,2041
2,4,0.1,1000,0.388,0.2489909987689947,0.3002610966057441,0.2,0.2,2043,2041
2,4,0.2,2000,0.4435,0.3868956645737418,0.3002610966057441,0.2,0.2,2043,2041
3,4,0.05,500,0.244,0.2275199435547304,0.3078968359478862,0.2,0.2,2002,2041
3,4,0.1,1000,0.385,0.25646121957415435,0.3078968359478862,0.2,0.2,2002,2041
3,4,0.2,2000,0.452,0.39813194803726387,0.3078968359478862,0.2,0.2,2002,2041
