scope,descriptor,model,queries,realized_loss_spearman,mean_loss_spearman
all,d1,A1,10000,-0.09165428066714837,-0.13183976096974812
all,d1,A2,10000,-0.09179407167838023,-0.13183976096974812
all,d1,A3,10000,-0.09417372818635002,-0.13183976096974812
all,d1,B1,10000,-0.0844943715014331,-0.13183976096974812
all,d1,B2,10000,-0.09207730375819421,-0.13183976096974812
all,d1,B3,10000,-0.07874677528634096,-0.13183976096974812
all,d1,C1,10000,-0.11826424866747194,-0.13183976096974812
all,d1,C2,10000,-0.09476830266824472,-0.13183976096974812
all,d1,C3,10000,-0.11293662297642167,-0.13183976096974812
all,dk,A1,10000,-0.1417641093788784,-0.21182049717831972
all,dk,A2,10000,-0.1384475150175964,-0.21182049717831972
all,dk,A3,10000,-0.15165946640718614,-0.21182049717831972
all,dk,B1,10000,-0.1426859205465573,-0.21182049717831972
all,dk,B2,10000,-0.14656576132536256,-0.21182049717831972
all,dk,B3,10000,-0.13203449120581878,-0.21182049717831972
all,dk,C1,10000,-0.16962655866325732,-0.21182049717831972
all,dk,C2,10000,-0.15117053502165045,-0.21182049717831972
all,dk,C3,10000,-0.16819305311888263,-0.21182049717831972
all,dk_plus_1,A1,10000,-0.14855721307190722,-0.22205001526947601
all,dk_plus_1,A2,10000,-0.14539069430075977,-0.22205001526947601
all,dk_plus_1,A3,10000,-0.15879689558111862,-0.22205001526947601
all,dk_plus_1,B1,10000,-0.14975290012633447,-0.22205001526947601
all,dk_plus_1,B2,10000,-0.15354296746442167,-0.22205001526947601
all,dk_plus_1,B3,10000,-0.1390713938351829,-0.22205001526947601
all,dk_plus_1,C1,10000,-0.17650200124804857,-0.22205001526947601
all,dk_plus_1,C2,10000,-0.1581210022408731,-0.22205001526947601
all,dk_plus_1,C3,10000,-0.1753535550078099,-0.22205001526947601
all,d20,A1,10000,-0.15723846890971666,-0.23486071116502977
all,d20,A2,10000,-0.1529260935880773,-0.23486071116502977
all,d20,A3,10000,-0.16636427578458124,-0.23486071116502977
all,d20,B1,10000,-0.1578555268670409,-0.23486071116502977
all,d20,B2,10000,-0.16236222711823636,-0.23486071116502977
all,d20,B3,10000,-0.14707276745621495,-0.23486071116502977
all,d20,C1,10000,-0.1851806118919432,-0.23486071116502977
all,d20,C2,10000,-0.16729145240132678,-0.23486071116502977
all,d20,C3,10000,-0.18368329031945207,-0.23486071116502977
all,boundary_margin,A1,10000,-0.23915630306419783,-0.34975914799915914
all,boundary_margin,A2,10000,-0.23248515513852352,-0.34975914799915914
all,boundary_margin,A3,10000,-0.2490311304524491,-0.34975914799915914
all,boundary_margin,B1,10000,-0.2457014613162341,-0.34975914799915914
all,boundary_margin,B2,10000,-0.23081227679055313,-0.34975914799915914
all,boundary_margin,B3,10000,-0.24153749143732814,-0.34975914799915914
all,boundary_margin,C1,10000,-0.2264592662518776,-0.34975914799915914
all,boundary_margin,C2,10000,-0.2344607457889464,-0.34975914799915914
all,boundary_margin,C3,10000,-0.23831077338034895,-0.34975914799915914
all,relative_boundary_margin,A1,10000,-0.18968449758486647,-0.2763411758044594
all,relative_boundary_margin,A2,10000,-0.18559822524196387,-0.2763411758044594
all,relative_boundary_margin,A3,10000,-0.1962955110731706,-0.2763411758044594
all,relative_boundary_margin,B1,10000,-0.19590515373330877,-0.2763411758044594
all,relative_boundary_margin,B2,10000,-0.1794783341518134,-0.2763411758044594
all,relative_boundary_margin,B3,10000,-0.19349991445741657,-0.2763411758044594
all,relative_boundary_margin,C1,10000,-0.16841593784728384,-0.2763411758044594
all,relative_boundary_margin,C2,10000,-0.18309893617404957,-0.2763411758044594
all,relative_boundary_margin,C3,10000,-0.17677173889369935,-0.2763411758044594
all,boundary_gap_r1,A1,10000,-0.23915630306419783,-0.34975914799915914
all,boundary_gap_r1,A2,10000,-0.23248515513852352,-0.34975914799915914
all,boundary_gap_r1,A3,10000,-0.2490311304524491,-0.34975914799915914
all,boundary_gap_r1,B1,10000,-0.2457014613162341,-0.34975914799915914
all,boundary_gap_r1,B2,10000,-0.23081227679055313,-0.34975914799915914
all,boundary_gap_r1,B3,10000,-0.24153749143732814,-0.34975914799915914
all,boundary_gap_r1,C1,10000,-0.2264592662518776,-0.34975914799915914
all,boundary_gap_r1,C2,10000,-0.2344607457889464,-0.34975914799915914
all,boundary_gap_r1,C3,10000,-0.23831077338034895,-0.34975914799915914
all,boundary_gap_r2,A1,10000,-0.3560533330091463,-0.5300569052843609
all,boundary_gap_r2,A2,10000,-0.35110756292075085,-0.5300569052843609
all,boundary_gap_r2,A3,10000,-0.35468464483186546,-0.5300569052843609
all,boundary_gap_r2,B1,10000,-0.36019232522407446,-0.5300569052843609
all,boundary_gap_r2,B2,10000,-0.36286580595294515,-0.5300569052843609
all,boundary_gap_r2,B3,10000,-0.3567768783164271,-0.5300569052843609
all,boundary_gap_r2,C1,10000,-0.35671304854991354,-0.5300569052843609
all,boundary_gap_r2,C2,10000,-0.3522028872993264,-0.5300569052843609
all,boundary_gap_r2,C3,10000,-0.363406160337307,-0.5300569052843609
all,boundary_gap_r5,A1,10000,-0.3138884479381819,-0.47965725948626375
all,boundary_gap_r5,A2,10000,-0.3157767634240487,-0.47965725948626375
all,boundary_gap_r5,A3,10000,-0.3220040230176755,-0.47965725948626375
all,boundary_gap_r5,B1,10000,-0.32427297888470247,-0.47965725948626375
all,boundary_gap_r5,B2,10000,-0.32783779671430435,-0.47965725948626375
all,boundary_gap_r5,B3,10000,-0.31790708672504264,-0.47965725948626375
all,boundary_gap_r5,C1,10000,-0.3380265408053332,-0.47965725948626375
all,boundary_gap_r5,C2,10000,-0.32904207207816494,-0.47965725948626375
all,boundary_gap_r5,C3,10000,-0.33560226961620476,-0.47965725948626375
all,local_distance_concentration,A1,10000,-0.04753721365449927,-0.08766210791012065
all,local_distance_concentration,A2,10000,-0.052331207506883526,-0.08766210791012065
all,local_distance_concentration,A3,10000,-0.05572767270125799,-0.08766210791012065
all,local_distance_concentration,B1,10000,-0.06556329785809464,-0.08766210791012065
all,local_distance_concentration,B2,10000,-0.055549114780354035,-0.08766210791012065
all,local_distance_concentration,B3,10000,-0.07047818751961064,-0.08766210791012065
all,local_distance_concentration,C1,10000,-0.05110067864253368,-0.08766210791012065
all,local_distance_concentration,C2,10000,-0.059204028979616484,-0.08766210791012065
all,local_distance_concentration,C3,10000,-0.04293542845671939,-0.08766210791012065
all,candidate_count,A1,10000,-0.09742579465507097,-0.14809965765659136
all,candidate_count,A2,10000,-0.09211017811887312,-0.14809965765659136
all,candidate_count,A3,10000,-0.1131409746955127,-0.14809965765659136
all,candidate_count,B1,10000,-0.11658486499010312,-0.14809965765659136
all,candidate_count,B2,10000,-0.10211973848983391,-0.14809965765659136
all,candidate_count,B3,10000,-0.08998929923848005,-0.14809965765659136
all,candidate_count,C1,10000,-0.12964644367895592,-0.14809965765659136
all,candidate_count,C2,10000,-0.10823078151999803,-0.14809965765659136
all,candidate_count,C3,10000,-0.12499655647731184,-0.14809965765659136
all,oracle_recall,A1,10000,0.3084972665376439,0.4469885073804816
all,oracle_recall,A2,10000,0.31223954160065454,0.4469885073804816
all,oracle_recall,A3,10000,0.314046858034203,0.4469885073804816
all,oracle_recall,B1,10000,0.30068158045826604,0.4469885073804816
all,oracle_recall,B2,10000,0.31431045326781026,0.4469885073804816
all,oracle_recall,B3,10000,0.3025238697679835,0.4469885073804816
