model_a,model_b,relation,harmful_jaccard,loss_spearman,inversion_spearman,homogeneous_independent_jaccard
A1,A2,within,0.667656491269747,0.4216159736054222,0.4477076272259524,0.5408259448223425
A1,A3,within,0.6613931523022432,0.40794034759263126,0.44596702942137656,0.5427130057514405
A1,B1,between,0.6535664007508212,0.38329376735571197,0.4093296000934217,0.5440668800162866
A1,B2,between,0.6591526023840434,0.401130464327089,0.41238400474638076,0.5418879054073596
A1,B3,between,0.6540680560461557,0.38753180351917765,0.4173031574174454,0.5412980826056557
A1,C1,between,0.6528857479387514,0.38572941429329294,0.41423562820096027,0.5404126202615159
A1,C2,between,0.6594690265486726,0.3842977830842595,0.4139616706451837,0.5422416128741732
A1,C3,between,0.6604618284637135,0.392189274622567,0.4178605469326539,0.5440080584644227
A1,O1,between,0.6629093497864262,0.38599469551790416,0.4070154295643382,0.5393489104386264
A1,O2,between,0.6602412488174078,0.39495070506764796,0.41241104688216473,0.5407669101171306
A1,O3,between,0.6610750147666864,0.38080139215529313,0.41361858802832147,0.5420647765908841
A1,O4,between,0.660235294117647,0.38786510111844463,0.41770228926384617,0.5450662553905835
A1,O5,between,0.6502178777529148,0.3853322828314337,0.4095194926127352,0.5391715028218126
A2,A3,within,0.6676515778276799,0.42142573544608714,0.45381386566993553,0.544993737957521
A2,B1,between,0.6617283950617284,0.39385852029850293,0.4165328373634095,0.5463590296633744
A2,B2,between,0.664816345813157,0.40321557405031133,0.4322617164686063,0.5441616934476002
A2,B3,between,0.6679692125518059,0.41768682988302525,0.4333257647323671,0.5435669131270877
A2,C1,between,0.6612750885478158,0.38623606665538407,0.41179288662688796,0.5426740185847981
A2,C2,between,0.6604262333686566,0.39419624325069297,0.41794044589687834,0.5445183764665079
A2,C3,between,0.6672958942897593,0.3934553329595626,0.4200515531711261,0.5462997114649819
A2,O1,between,0.6583667689402879,0.39481332396399726,0.41450926383234793,0.5416013966186833
A2,O2,between,0.6615911237016053,0.3958991024662255,0.4215344342890432,0.5430312807308705
A2,O3,between,0.6661545733869062,0.3974930581323452,0.4267686361489178,0.5443400523097407
A2,O4,between,0.6672558029928125,0.39884248379022774,0.42094787953265667,0.5473668512968755
A2,O5,between,0.6576215195847098,0.39412177505460566,0.4274574886040203,0.5414225043363068
A3,B1,between,0.660804314691054,0.39862693919893744,0.42032239691466183,0.5482849691664485
A3,B2,between,0.6617266525523406,0.39312971022155235,0.4135102851937648,0.5460721456050651
A3,B3,between,0.6580152671755726,0.4013933597567782,0.42120002816341545,0.5454731839220477
A3,C1,between,0.6605439773931473,0.39971860538713744,0.41775193402041566,0.5445740208760959
A3,C2,between,0.658336266572803,0.38048203275800246,0.41277132580159365,0.546431338344636
A3,C3,between,0.6694955209806694,0.40167267277946755,0.4237160347150152,0.548225232055341
A3,O1,between,0.6578389830508474,0.39219310637968446,0.4248964858870964,0.5434938823398064
A3,O2,between,0.6596870956358075,0.3916138384623686,0.41994566385799076,0.544933789912788
A3,O3,between,0.661493239271017,0.39932249641094025,0.422834021198657,0.5462517592429875
A3,O4,between,0.6633825944170771,0.3919410435227103,0.4186136818059748,0.54929991515338
A3,O5,between,0.6524290072752875,0.38451331654445675,0.40964234861187937,0.5433137378956807
B1,B2,within,0.6683565196887526,0.4156206499447702,0.44846176161239487,0.5474428525997423
B1,B3,within,0.6723036896877956,0.4128246561257608,0.46124370698344375,0.5468408818679774
B1,C1,between,0.6607100869974136,0.387888794982567,0.4167374212359595,0.5459372078522315
B1,C2,between,0.6633768064857244,0.3878679283906899,0.413711595637687,0.547803851432784
B1,C3,between,0.6610467158412364,0.3859062849353212,0.4305178872673747,0.5496067830462468
B1,O1,between,0.6576195511690753,0.38588348076979967,0.418748470535457,0.5448516602950478
B1,O2,between,0.6582961746068998,0.38804549032082114,0.42385723152677035,0.5462987809011924
B1,O3,between,0.6566011235955056,0.38425467043312944,0.4257887197638418,0.547623369222217
B1,O4,between,0.6656894934333959,0.39385634317446155,0.40639065114841155,0.5506868947995452
B1,O5,between,0.6609750353273669,0.398213088613041,0.42071771870721447,0.5446706147885417
B2,B3,within,0.6774500475737393,0.42906666163071805,0.4476211415016833,0.5446396759428317
B2,C1,between,0.6604596346493813,0.39326829741607944,0.4091784106109836,0.5437432564639989
B2,C2,between,0.6623498940428538,0.3971531965766966,0.41274757269831175,0.5455949018311349
B2,C3,between,0.6658817989168825,0.4006746239334215,0.4326181544615297,0.547383298839444
B2,O1,between,0.6595117348743955,0.3995394755010662,0.41881302938456827,0.5426664077247034
B2,O2,between,0.6645016532829475,0.407811801408577,0.43506381729873433,0.5441019282990271
B2,O3,between,0.661605461393597,0.39918734978829534,0.4315044795281656,0.5454158719913542
B2,O4,between,0.6689833902697608,0.4005262985537784,0.42064845997163125,0.5484546803720353
B2,O5,between,0.663670766319773,0.4010735237164733,0.4163468179744354,0.5424868113156296
B3,C1,between,0.6551845755936986,0.38143227200798024,0.40921832172067335,0.5431493900137289
B3,C2,between,0.6572703782006107,0.3835094319591758,0.40763507669495314,0.5449969860514147
B3,C3,between,0.6605989430416911,0.38742010924914383,0.41806779202367067,0.5467814589997514
B3,O1,between,0.6612712665406427,0.3941782052048548,0.42097902992367553,0.5420748898948001
B3,O2,between,0.6645001181753722,0.4000615572185286,0.4192712186510315,0.5435072785491148
B3,O3,between,0.6608194019307747,0.38702295428705974,0.42097264467362483,0.5448183483288871
B3,O4,between,0.6687883074021688,0.40371327377363014,0.41204699375930015,0.5478504835906693
B3,O5,between,0.6597402597402597,0.3988678160380377,0.41379422561535767,0.5418956847354399
C1,C2,within,0.665878737737856,0.40532781637256776,0.4413377921193602,0.544099390966448
C1,C3,within,0.6686355581807443,0.4036581006170208,0.44763601522495283,0.5458779812079024
C1,O1,between,0.6632326820603908,0.3996067277945108,0.4230819460204596,0.5411868863890485
C1,O2,between,0.6654829545454546,0.4084890981873856,0.4210429733512776,0.5426145797536344
C1,O3,between,0.6569077013521458,0.3766560807365991,0.41719668747210914,0.5439213410861002
C1,O4,between,0.6652537383727776,0.38696490143235396,0.4101008804920834,0.5469434724563779
C1,O5,between,0.6622869318181818,0.3948786912997938,0.43106427793764085,0.5410082677842427
C2,C3,within,0.6770524819334202,0.40947528262354266,0.4438224508410756,0.5477442191081009
C2,O1,between,0.6584590009425071,0.3925706542436912,0.42353253175192085,0.5430211325606308
C2,O2,between,0.6638348082595871,0.39285790579393326,0.4159278843902562,0.5444585329477442
C2,O3,between,0.658602466236054,0.3830221434028148,0.4200208336233195,0.545774201605381
C2,O4,between,0.6653742215955822,0.3991297621613088,0.4218682987974056,0.5488170153338894
C2,O5,between,0.6600613352205709,0.38999551988839587,0.4177242541756417,0.5428413013200962
C3,O1,between,0.6623851048786236,0.39947982159056616,0.42305607833508657,0.5447926689376481
C3,O2,between,0.6626661960230615,0.3968882720814975,0.42013617285604976,0.5462394757837845
C3,O3,between,0.6617353528237643,0.38927058554600624,0.4293047714052343,0.5475637761824544
C3,O4,between,0.6718455743879472,0.3958684784133303,0.4306340873160847,0.5506266331783424
C3,O5,between,0.6592941176470588,0.3917736727032967,0.42149783459417406,0.5446116626262798
O1,O2,within,0.6730563162281223,0.4217807399948404,0.44563729845374694,0.5415421925100532
O1,O3,within,0.6758752083829483,0.4273861293993387,0.45783048965567225,0.5428437875598161
O1,O4,within,0.6781513603421647,0.4222327002908903,0.45312743712233666,0.5458539234691882
O1,O5,within,0.6662706427468219,0.4205602235054921,0.439499754222748,0.5399422141213394
O2,O3,within,0.6662333057558208,0.41592990253511136,0.4538959478553734,0.5442802479786776
O2,O4,within,0.6724586288416076,0.4149782565507443,0.4479547734186404,0.5473063800705451
O2,O5,within,0.6661527514231499,0.41640834818960226,0.44709114609483597,0.5413633393296086
O3,O4,within,0.6756533049544756,0.42111719794709096,0.45952068200149626,0.5486358650121946
O3,O5,within,0.6612750885478158,0.4016642884621606,0.44653793464045494,0.5426640737426537
O4,O5,within,0.6698592881636514,0.416084115817484,0.43882448586522216,0.5456722113890299
