scope,descriptor,target,bin,queries,descriptor_mean,target_mean
all,d1,overall_mean_loss,0,1000,8494.225,0.11444000000000003
all,d1,overall_mean_loss,1,1000,17747.16,0.10888
all,d1,overall_mean_loss,2,999,24735.436436436437,0.11175175175175177
all,d1,overall_mean_loss,3,1001,30620.504495504494,0.11004329004329005
all,d1,overall_mean_loss,4,1000,35600.709,0.11114666666666669
all,d1,overall_mean_loss,5,1000,40385.628,0.11002666666666669
all,d1,overall_mean_loss,6,1000,45292.683,0.10516666666666667
all,d1,overall_mean_loss,7,1000,50283.349,0.10146666666666666
all,d1,overall_mean_loss,8,1000,56566.825,0.09308666666666668
all,d1,overall_mean_loss,9,1000,68307.257,0.08441333333333334
all,d1,harmful_rotation_frequency,0,1000,8494.225,0.8024000000000001
all,d1,harmful_rotation_frequency,1,1000,17747.16,0.794
all,d1,harmful_rotation_frequency,2,999,24735.436436436437,0.8152152152152152
all,d1,harmful_rotation_frequency,3,1001,30620.504495504494,0.8179820179820181
all,d1,harmful_rotation_frequency,4,1000,35600.709,0.8054000000000001
all,d1,harmful_rotation_frequency,5,1000,40385.628,0.7994000000000001
all,d1,harmful_rotation_frequency,6,1000,45292.683,0.7552000000000001
all,d1,harmful_rotation_frequency,7,1000,50283.349,0.741
all,d1,harmful_rotation_frequency,8,1000,56566.825,0.6806
all,d1,harmful_rotation_frequency,9,1000,68307.257,0.6178
all,d1,within_rotation_initialization_variance,0,1000,8494.225,0.0029240000000000004
all,d1,within_rotation_initialization_variance,1,1000,17747.16,0.002921777777777778
all,d1,within_rotation_initialization_variance,2,999,24735.436436436437,0.002895339784228673
all,d1,within_rotation_initialization_variance,3,1001,30620.504495504494,0.002932622932622933
all,d1,within_rotation_initialization_variance,4,1000,35600.709,0.002948888888888889
all,d1,within_rotation_initialization_variance,5,1000,40385.628,0.0029737777777777783
all,d1,within_rotation_initialization_variance,6,1000,45292.683,0.002964444444444445
all,d1,within_rotation_initialization_variance,7,1000,50283.349,0.0028071111111111114
all,d1,within_rotation_initialization_variance,8,1000,56566.825,0.0027782222222222223
all,d1,within_rotation_initialization_variance,9,1000,68307.257,0.0025235555555555562
all,d1,between_rotation_variance,0,1000,8494.225,0.0015424888888888888
all,d1,between_rotation_variance,1,1000,17747.16,0.0013563555555555558
all,d1,between_rotation_variance,2,999,24735.436436436437,0.0014377933489044602
all,d1,between_rotation_variance,3,1001,30620.504495504494,0.0013914085914085914
all,d1,between_rotation_variance,4,1000,35600.709,0.0014832
all,d1,between_rotation_variance,5,1000,40385.628,0.0015047111111111114
all,d1,between_rotation_variance,6,1000,45292.683,0.0015476444444444443
all,d1,between_rotation_variance,7,1000,50283.349,0.001418311111111111
all,d1,between_rotation_variance,8,1000,56566.825,0.001344177777777778
all,d1,between_rotation_variance,9,1000,68307.257,0.0013038222222222224
all,dk,overall_mean_loss,0,1000,18387.039,0.13256
