scope,descriptor,target,queries,spearman
all,d1,overall_mean_loss,10000,-0.135191601339111
all,d1,harmful_rotation_frequency,10000,-0.15435010368576896
all,d1,within_rotation_initialization_variance,10000,-0.0579997741780633
all,d1,between_rotation_variance,10000,-0.03446024716511041
all,dk,overall_mean_loss,10000,-0.22905461198141108
all,dk,harmful_rotation_frequency,10000,-0.21993507945186025
all,dk,within_rotation_initialization_variance,10000,-0.13186575580995313
all,dk,between_rotation_variance,10000,-0.08218968271934422
all,dk_plus_1,overall_mean_loss,10000,-0.2397795193992542
all,dk_plus_1,harmful_rotation_frequency,10000,-0.22979312818700673
all,dk_plus_1,within_rotation_initialization_variance,10000,-0.13824424767644447
all,dk_plus_1,between_rotation_variance,10000,-0.0867774628439964
all,d20,overall_mean_loss,10000,-0.2557819197897462
all,d20,harmful_rotation_frequency,10000,-0.2391961413743088
all,d20,within_rotation_initialization_variance,10000,-0.15271731525616733
all,d20,between_rotation_variance,10000,-0.09558564053940344
all,boundary_margin,overall_mean_loss,10000,-0.37045312064917396
all,boundary_margin,harmful_rotation_frequency,10000,-0.3068592283225833
all,boundary_margin,within_rotation_initialization_variance,10000,-0.19171722691088405
all,boundary_margin,between_rotation_variance,10000,-0.12861296097083705
all,relative_boundary_margin,overall_mean_loss,10000,-0.288958133921362
all,relative_boundary_margin,harmful_rotation_frequency,10000,-0.23155736718067615
all,relative_boundary_margin,within_rotation_initialization_variance,10000,-0.1448991883706817
all,relative_boundary_margin,between_rotation_variance,10000,-0.09786226838322891
all,boundary_gap_r1,overall_mean_loss,10000,-0.37045312064917396
all,boundary_gap_r1,harmful_rotation_frequency,10000,-0.3068592283225833
all,boundary_gap_r1,within_rotation_initialization_variance,10000,-0.19171722691088405
all,boundary_gap_r1,between_rotation_variance,10000,-0.12861296097083705
all,boundary_gap_r2,overall_mean_loss,10000,-0.5774696496792288
all,boundary_gap_r2,harmful_rotation_frequency,10000,-0.44230671347312106
all,boundary_gap_r2,within_rotation_initialization_variance,10000,-0.3783103702918038
