model,rotation,initialization,fixed_candidate_recall,ranking_recall_loss,cross_boundary_inversion_count,global_mae,random_pair_inversion_rate,topk_agreement,harmful_prevalence,candidate_weighted_mae,codebook_sha256,training_ids_sha256
R0-I1,0,1,0.8536400000000002,0.09951,5.5562,1309.7091247814656,0.0344392578125,0.8797300000000001,0.7001,1325.3947450757448,7f2a016b129c0a530dda9fee3937b425f33acb53c17693c4a88ef4780fae161c,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R0-I2,0,2,0.8527300000000001,0.10042000000000001,5.5446,1318.9454297960872,0.03456015625,0.8792600000000003,0.7039,1334.5831062797292,a86be7cfb9fd702c2b27e689f5e60f9cd4ffb03254dcb5719f34f5ed6cca9c6d,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R0-I3,0,3,0.8523400000000001,0.10081000000000001,5.6048,1309.0620972611136,0.0345095703125,0.8787200000000001,0.7071,1323.2955608158882,9f7bc84acbbc9712b9b08f7498e6c62e06f72225a83493840aa9dea9bd10a7a4,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R1-I1,1,1,0.84552,0.10763000000000002,6.2528,1376.0579275343173,0.0359859375,0.8712700000000002,0.7337,1391.4874479507873,21cf07364ad91468c18e5a6fca5664ff79d7f653b5835ad38b1ef6a43ef61a91,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R1-I2,1,2,0.8466300000000003,0.10652,6.1497,1382.7201073199951,0.0361470703125,0.8726200000000001,0.7306,1398.2468846883417,cb2729e8be9e898502aaf9d1a366239b760f2a3371ad999e27042a7d16377e66,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R1-I3,1,3,0.8467000000000002,0.10645,6.181,1377.7140928368262,0.0359560546875,0.8725700000000003,0.7258,1392.8926136999455,23ed69fb4cf6a3458f60a6e415bad646308b44ce3c9a00e2925a9b85167b2e04,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R2-I1,2,1,0.8477800000000001,0.10537,6.1024,1375.088565773192,0.035909375,0.8735600000000002,0.7246,1390.8593726582133,3d9c5786b441700cd3b1e3027ac451dfd4d1dcc279f3cd9c44d8c23a17a58014,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R2-I2,2,2,0.8478300000000001,0.10532000000000001,6.1944,1381.5819834930342,0.036088671875,0.8731400000000001,0.7229,1397.3450093824365,6fb26c13ab3b416edb1ab55a2953e22c41f148a0fee46860bdfa55e857311119,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R2-I3,2,3,0.8458300000000001,0.10732,6.184,1376.5048355218823,0.0359275390625,0.8717500000000001,0.7352,1391.8725847386681,50cf388b60a3c14dcc2d5b58e3f3b3bf6378a2cb817f7321e8005447708644b1,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R3-I1,3,1,0.8472600000000002,0.10589000000000001,6.0736,1370.9960894535845,0.0358240234375,0.8730600000000002,0.7268,1386.6797322415907,5f65c653ec23d691f3da03499a7d071f42ef513ab70deccfadbfac232fa6b454,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R3-I2,3,2,0.8468600000000002,0.10629000000000001,6.1201,1375.5425090409844,0.0358876953125,0.8728500000000002,0.7271,1391.366649293563,23042b9e3469d05ccbc601f2b4464080b0e8922b7ff5a8164eec88c5f4838cc0,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R3-I3,3,3,0.8467000000000002,0.10645000000000002,6.1429,1373.7051251303128,0.035996875,0.8723400000000001,0.7254,1388.8922126656646,c46600614bd7276ad464369d03cd928429f2b2dd2fad8829dfb8a66d645b96d6,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R4-I1,4,1,0.8466400000000002,0.10651000000000001,6.0697,1374.3436748676554,0.035884375,0.8726100000000002,0.7274,1390.0808117770878,326cc5874ee7eb0449a29753b5f579cb1b3c528d3fa6607c43a94f9d1138882f,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R4-I2,4,2,0.84708,0.10607,6.0597,1378.3271989079174,0.0359869140625,0.8730200000000002,0.7288,1394.507626951503,8a7361519fdf0cc91304af1a6c8c3e294510440794dee60073bc1c8aad9824f3,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
R4-I3,4,3,0.8480800000000001,0.10507000000000001,6.0564,1373.4151226060637,0.035858984375,0.8740500000000002,0.7215,1389.2511372129284,1e6777c81794d8463c91ecd7407350c31418ebecea5048463b09458807677e2d,c984c6530b9675be22273bd307b5bf3eecbb9a98ce4b675cccb0b33a15542c5c
