model,scope,metric,permutation,value
R0-I1,all,recall,0,0.8169799999999788
R0-I1,all,recall,1,0.8171499999999812
R0-I1,all,recall,2,0.8163899999999775
R0-I1,all,recall,3,0.8163299999999797
R0-I1,all,recall,4,0.8168399999999768
R0-I1,all,recall,5,0.8159499999999781
R0-I1,all,recall,6,0.8162699999999821
R0-I1,all,recall,7,0.8156699999999804
R0-I1,all,recall,8,0.816309999999979
R0-I1,all,recall,9,0.814979999999981
R0-I1,all,recall,10,0.8163999999999807
R0-I1,all,recall,11,0.8150899999999756
R0-I1,all,recall,12,0.8164099999999799
R0-I1,all,recall,13,0.8149399999999783
R0-I1,all,recall,14,0.8153799999999771
R0-I1,all,recall,15,0.8154999999999771
R0-I1,all,recall,16,0.8162999999999784
R0-I1,all,recall,17,0.8163899999999804
R0-I1,all,recall,18,0.8165699999999799
R0-I1,all,recall,19,0.8166199999999803
R0-I1,all,recall,20,0.8167099999999797
R0-I1,all,recall,21,0.8162699999999803
R0-I1,all,recall,22,0.8143199999999818
R0-I1,all,recall,23,0.8160799999999816
R0-I1,all,recall,24,0.8161599999999785
R0-I1,all,recall,25,0.8148199999999816
R0-I1,all,recall,26,0.8162599999999783
R0-I1,all,recall,27,0.8167199999999808
R0-I1,all,recall,28,0.8165299999999768
R0-I1,all,recall,29,0.8163599999999808
R0-I1,all,recall,30,0.8178099999999813
R0-I1,all,recall,31,0.8166899999999782
R0-I1,all,recall,32,0.8162399999999831
R0-I1,all,recall,33,0.8156999999999778
R0-I1,all,recall,34,0.815299999999981
R0-I1,all,recall,35,0.8155499999999779
R0-I1,all,recall,36,0.8151499999999803
R0-I1,all,recall,37,0.81575999999998
R0-I1,all,recall,38,0.8162399999999775
R0-I1,all,recall,39,0.816299999999978
R0-I1,all,recall,40,0.8159099999999817
R0-I1,all,recall,41,0.8174799999999778
R0-I1,all,recall,42,0.8171099999999824
R0-I1,all,recall,43,0.8154399999999781
R0-I1,all,recall,44,0.8152299999999842
R0-I1,all,recall,45,0.8160599999999829
R0-I1,all,recall,46,0.8155899999999826
R0-I1,all,recall,47,0.8169399999999793
R0-I1,all,recall,48,0.8160099999999779
R0-I1,all,recall,49,0.8167799999999802
R0-I1,all,loss,0,0.13617000000000154
R0-I1,all,loss,1,0.13600000000000168
R0-I1,all,loss,2,0.1367600000000004
R0-I1,all,loss,3,0.1368200000000013
R0-I1,all,loss,4,0.1363100000000014
R0-I1,all,loss,5,0.13720000000000032
R0-I1,all,loss,6,0.13688000000000203
R0-I1,all,loss,7,0.13748000000000132
R0-I1,all,loss,8,0.13684000000000096
R0-I1,all,loss,9,0.1381700000000015
R0-I1,all,loss,10,0.13675000000000095
R0-I1,all,loss,11,0.13806000000000082
R0-I1,all,loss,12,0.1367400000000008
R0-I1,all,loss,13,0.13821000000000064
R0-I1,all,loss,14,0.13777000000000134
R0-I1,all,loss,15,0.13765000000000105
R0-I1,all,loss,16,0.1368500000000007
R0-I1,all,loss,17,0.1367600000000012
R0-I1,all,loss,18,0.13658000000000137
R0-I1,all,loss,19,0.13653000000000184
R0-I1,all,loss,20,0.1364400000000015
R0-I1,all,loss,21,0.13688000000000125
R0-I1,all,loss,22,0.13883000000000115
R0-I1,all,loss,23,0.1370700000000016
R0-I1,all,loss,24,0.13699000000000022
R0-I1,all,loss,25,0.13833000000000045
R0-I1,all,loss,26,0.13689000000000082
R0-I1,all,loss,27,0.13643000000000133
R0-I1,all,loss,28,0.13662000000000074
R0-I1,all,loss,29,0.13679000000000138
R0-I1,all,loss,30,0.13534000000000213
R0-I1,all,loss,31,0.13646000000000097
R0-I1,all,loss,32,0.13691000000000147
R0-I1,all,loss,33,0.13745000000000088
R0-I1,all,loss,34,0.1378500000000016
R0-I1,all,loss,35,0.13760000000000092
R0-I1,all,loss,36,0.13800000000000012
R0-I1,all,loss,37,0.1373900000000017
R0-I1,all,loss,38,0.13691000000000134
R0-I1,all,loss,39,0.13685000000000133
R0-I1,all,loss,40,0.13724000000000075
R0-I1,all,loss,41,0.1356700000000013
R0-I1,all,loss,42,0.13604000000000155
R0-I1,all,loss,43,0.1377100000000007
R0-I1,all,loss,44,0.13792000000000143
R0-I1,all,loss,45,0.13709000000000165
R0-I1,all,loss,46,0.13756000000000027
R0-I1,all,loss,47,0.13621000000000147
R0-I1,all,loss,48,0.13714000000000115
R0-I1,all,loss,49,0.1363700000000017
R0-I1,all,inversions,0,9.5643
R0-I1,all,inversions,1,9.6161
R0-I1,all,inversions,2,9.6364
R0-I1,all,inversions,3,9.6629
R0-I1,all,inversions,4,9.5594
R0-I1,all,inversions,5,9.7758
R0-I1,all,inversions,6,9.5945
R0-I1,all,inversions,7,9.7204
R0-I1,all,inversions,8,9.7
R0-I1,all,inversions,9,9.8679
R0-I1,all,inversions,10,9.6619
R0-I1,all,inversions,11,9.777
R0-I1,all,inversions,12,9.5521
R0-I1,all,inversions,13,9.7641
R0-I1,all,inversions,14,9.6656
R0-I1,all,inversions,15,9.6134
R0-I1,all,inversions,16,9.6859
R0-I1,all,inversions,17,9.5474
R0-I1,all,inversions,18,9.6857
R0-I1,all,inversions,19,9.7089
R0-I1,all,inversions,20,9.5521
R0-I1,all,inversions,21,9.6426
R0-I1,all,inversions,22,9.6642
R0-I1,all,inversions,23,9.681
R0-I1,all,inversions,24,9.6621
R0-I1,all,inversions,25,9.6839
R0-I1,all,inversions,26,9.6179
R0-I1,all,inversions,27,9.6431
R0-I1,all,inversions,28,9.5611
R0-I1,all,inversions,29,9.5674
R0-I1,all,inversions,30,9.5558
R0-I1,all,inversions,31,9.5082
R0-I1,all,inversions,32,9.715
R0-I1,all,inversions,33,9.6809
R0-I1,all,inversions,34,9.6912
R0-I1,all,inversions,35,9.6987
R0-I1,all,inversions,36,9.7071
R0-I1,all,inversions,37,9.688
R0-I1,all,inversions,38,9.6045
R0-I1,all,inversions,39,9.6368
R0-I1,all,inversions,40,9.5776
R0-I1,all,inversions,41,9.5411
R0-I1,all,inversions,42,9.5923
R0-I1,all,inversions,43,9.7265
R0-I1,all,inversions,44,9.7322
R0-I1,all,inversions,45,9.791
R0-I1,all,inversions,46,9.767
R0-I1,all,inversions,47,9.4752
R0-I1,all,inversions,48,9.7781
R0-I1,all,inversions,49,9.6407
R0-I1,all,harmful_fraction,0,0.8207
R0-I1,all,harmful_fraction,1,0.8181
R0-I1,all,harmful_fraction,2,0.8156
R0-I1,all,harmful_fraction,3,0.8215
R0-I1,all,harmful_fraction,4,0.8129
R0-I1,all,harmful_fraction,5,0.8189
R0-I1,all,harmful_fraction,6,0.823
R0-I1,all,harmful_fraction,7,0.8174
R0-I1,all,harmful_fraction,8,0.8177
R0-I1,all,harmful_fraction,9,0.8191
R0-I1,all,harmful_fraction,10,0.8165
R0-I1,all,harmful_fraction,11,0.8196
R0-I1,all,harmful_fraction,12,0.8161
R0-I1,all,harmful_fraction,13,0.8197
R0-I1,all,harmful_fraction,14,0.8193
R0-I1,all,harmful_fraction,15,0.8234
R0-I1,all,harmful_fraction,16,0.8165
R0-I1,all,harmful_fraction,17,0.8188
R0-I1,all,harmful_fraction,18,0.8141
R0-I1,all,harmful_fraction,19,0.8201
R0-I1,all,harmful_fraction,20,0.8155
R0-I1,all,harmful_fraction,21,0.8181
R0-I1,all,harmful_fraction,22,0.8197
R0-I1,all,harmful_fraction,23,0.8183
R0-I1,all,harmful_fraction,24,0.8202
R0-I1,all,harmful_fraction,25,0.8194
R0-I1,all,harmful_fraction,26,0.8171
R0-I1,all,harmful_fraction,27,0.8188
R0-I1,all,harmful_fraction,28,0.8202
R0-I1,all,harmful_fraction,29,0.819
R0-I1,all,harmful_fraction,30,0.8154
R0-I1,all,harmful_fraction,31,0.8134
R0-I1,all,harmful_fraction,32,0.8158
R0-I1,all,harmful_fraction,33,0.817
R0-I1,all,harmful_fraction,34,0.8219
R0-I1,all,harmful_fraction,35,0.8183
R0-I1,all,harmful_fraction,36,0.8167
R0-I1,all,harmful_fraction,37,0.8178
R0-I1,all,harmful_fraction,38,0.8242
R0-I1,all,harmful_fraction,39,0.8195
R0-I1,all,harmful_fraction,40,0.8177
R0-I1,all,harmful_fraction,41,0.8137
R0-I1,all,harmful_fraction,42,0.8174
R0-I1,all,harmful_fraction,43,0.8207
R0-I1,all,harmful_fraction,44,0.8257
R0-I1,all,harmful_fraction,45,0.8159
R0-I1,all,harmful_fraction,46,0.821
R0-I1,all,harmful_fraction,47,0.8226
R0-I1,all,harmful_fraction,48,0.8154
R0-I1,all,harmful_fraction,49,0.8166
