model,scope,metric,mean,std,median,p05,p95,fraction_below_all_null,fraction_above_all_null,mean_equal_null_fraction
R0-I1,all,loss_rank,0.371622,0.2408529221932192,0.34,0.04,0.82,0.0084,0.0009,0.390708
R0-I1,all,inversion_rank,0.31663100000000005,0.2454026122175726,0.26,0.02,0.8,0.017,0.0012,0.086034
R0-I1,oracle1,loss_rank,0.3612443946188341,0.2427087127397235,0.33,0.03,0.81,0.011350896860986547,0.0008408071748878924,0.3676905829596413
R0-I1,oracle1,inversion_rank,0.30731362107623317,0.24113949360724649,0.25,0.02,0.78,0.017516816143497756,0.0009809417040358745,0.09329876681614349
R1-I1,all,loss_rank,0.379788,0.24436253059877258,0.35,0.04,0.83,0.0069,0.0008,0.384336
R1-I1,all,inversion_rank,0.321677,0.244468349993235,0.27,0.02,0.8,0.0159,0.0005,0.080102
R1-I1,oracle1,loss_rank,0.37453054932735425,0.24723718708353565,0.34,0.03,0.83,0.008968609865470852,0.0009809417040358745,0.3664433856502243
R1-I1,oracle1,inversion_rank,0.3218721973094171,0.24342907329908733,0.27,0.02,0.79,0.015975336322869956,0.0005605381165919282,0.08827914798206278
R2-I1,all,loss_rank,0.371551,0.24021913937588787,0.34,0.04,0.82,0.0077,0.0015,0.3852540000000001
R2-I1,all,inversion_rank,0.314374,0.24052441315453268,0.26,0.02,0.79,0.0168,0.0013,0.08073600000000002
R2-I1,oracle1,loss_rank,0.36325252242152467,0.24231163338578068,0.33,0.03,0.82,0.010510089686098656,0.0015414798206278026,0.36602298206278033
R2-I1,oracle1,inversion_rank,0.30981922645739907,0.2367791548199951,0.26,0.02,0.78,0.0163957399103139,0.0012612107623318385,0.08934697309417043
R3-I1,all,loss_rank,0.37600400000000006,0.24024334261404004,0.34,0.04,0.82,0.0067,0.0006,0.388776
R3-I1,all,inversion_rank,0.318388,0.2444002344586853,0.26,0.02,0.8,0.0162,0.0017,0.08062000000000001
R3-I1,oracle1,loss_rank,0.3720263452914799,0.24286479264159977,0.34,0.03,0.82,0.009389013452914798,0.0007006726457399103,0.37154147982062785
R3-I1,oracle1,inversion_rank,0.3184599215246636,0.2432138744456265,0.26,0.02,0.79,0.01499439461883408,0.0012612107623318385,0.08816984304932736
R4-I1,all,loss_rank,0.376276,0.24003056741033868,0.35,0.04,0.82,0.0066,0.0008,0.387448
R4-I1,all,inversion_rank,0.317772,0.2425211695249855,0.26,0.02,0.79,0.015,0.0003,0.08078400000000001
R4-I1,oracle1,loss_rank,0.37311799327354256,0.24441429916343277,0.34,0.03,0.82,0.008688340807174889,0.0007006726457399103,0.36837163677130047
R4-I1,oracle1,inversion_rank,0.31853559417040356,0.2410886303306597,0.26,0.02,0.79,0.01289237668161435,0.0002802690582959641,0.08851737668161436
