model,scope,descriptor,target,bin,queries,descriptor_mean,target_mean
R0-I1,all,boundary_gap_r1,observed_loss,0,990,16.47979797979798,0.12080808080808082
R0-I1,all,boundary_gap_r1,observed_loss,1,999,64.89689689689689,0.12372372372372373
R0-I1,all,boundary_gap_r1,observed_loss,2,1003,120.86739780658026,0.11984047856430709
R0-I1,all,boundary_gap_r1,observed_loss,3,1006,187.31908548707753,0.10944333996023857
R0-I1,all,boundary_gap_r1,observed_loss,4,995,264.30452261306533,0.10924623115577892
R0-I1,all,boundary_gap_r1,observed_loss,5,999,359.40840840840843,0.1
R0-I1,all,boundary_gap_r1,observed_loss,6,1006,479.9900596421471,0.0955268389662028
R0-I1,all,boundary_gap_r1,observed_loss,7,999,645.2632632632633,0.0903903903903904
R0-I1,all,boundary_gap_r1,observed_loss,8,1003,917.2313060817547,0.07557328015952143
R0-I1,all,boundary_gap_r1,observed_loss,9,1000,1761.07,0.0508
R0-I1,all,boundary_gap_r1,null_mean_loss,0,990,16.47979797979798,0.15986262626262626
R0-I1,all,boundary_gap_r1,null_mean_loss,1,999,64.89689689689689,0.16126126126126125
R0-I1,all,boundary_gap_r1,null_mean_loss,2,1003,120.86739780658026,0.15577467597208375
R0-I1,all,boundary_gap_r1,null_mean_loss,3,1006,187.31908548707753,0.1499980119284294
R0-I1,all,boundary_gap_r1,null_mean_loss,4,995,264.30452261306533,0.14641608040201004
R0-I1,all,boundary_gap_r1,null_mean_loss,5,999,359.40840840840843,0.14088088088088088
R0-I1,all,boundary_gap_r1,null_mean_loss,6,1006,479.9900596421471,0.1335944333996024
R0-I1,all,boundary_gap_r1,null_mean_loss,7,999,645.2632632632633,0.12644844844844846
R0-I1,all,boundary_gap_r1,null_mean_loss,8,1003,917.2313060817547,0.11391026919242274
R0-I1,all,boundary_gap_r1,null_mean_loss,9,1000,1761.07,0.082404
R0-I1,all,boundary_gap_r1,excess_loss,0,990,16.47979797979798,-0.039054545454545446
R0-I1,all,boundary_gap_r1,excess_loss,1,999,64.89689689689689,-0.03753753753753753
