model,scope,descriptor,target,queries,spearman
R0-I1,all,boundary_gap_r1,observed_loss,10000,-0.23915630306419783
R0-I1,all,boundary_gap_r1,null_mean_loss,10000,-0.3485377841615688
R0-I1,all,boundary_gap_r1,excess_loss,10000,0.010382518778528835
R0-I1,all,boundary_gap_r2,observed_loss,10000,-0.3560533330091463
R0-I1,all,boundary_gap_r2,null_mean_loss,10000,-0.5805215831450262
R0-I1,all,boundary_gap_r2,excess_loss,10000,0.06292458948467862
R0-I1,all,boundary_gap_r5,observed_loss,10000,-0.3138884479381819
R0-I1,all,boundary_gap_r5,null_mean_loss,10000,-0.6208853173721743
R0-I1,all,boundary_gap_r5,excess_loss,10000,0.15184279946240373
R0-I1,all,relative_boundary_margin,observed_loss,10000,-0.18968449758486647
R0-I1,all,relative_boundary_margin,null_mean_loss,10000,-0.2284980930617186
R0-I1,all,relative_boundary_margin,excess_loss,10000,-0.04116916960034194
R0-I1,all,relative_span_r2,observed_loss,10000,-0.2740104056839342
R0-I1,all,relative_span_r2,null_mean_loss,10000,-0.38048100801606144
R0-I1,all,relative_span_r2,excess_loss,10000,-0.021007631278896342
R0-I1,all,local_distance_concentration,observed_loss,10000,-0.04753721365449927
R0-I1,all,local_distance_concentration,null_mean_loss,10000,-0.10650720261356317
R0-I1,all,local_distance_concentration,excess_loss,10000,0.022079686121817328
R0-I1,all,candidate_count,observed_loss,10000,-0.09742579465507097
R0-I1,all,candidate_count,null_mean_loss,10000,-0.21230484437711447
R0-I1,all,candidate_count,excess_loss,10000,0.0848282813527546
R0-I1,all,d1,observed_loss,10000,-0.09165428066714837
R0-I1,all,d1,null_mean_loss,10000,-0.207183828478008
R0-I1,all,d1,excess_loss,10000,0.08771688648391408
R0-I1,all,dk,observed_loss,10000,-0.1417641093788784
R0-I1,all,dk,null_mean_loss,10000,-0.33011035560006946
R0-I1,all,dk,excess_loss,10000,0.1328335063356405
R0-I1,all,dk_plus_1,observed_loss,10000,-0.14855721307190722
R0-I1,all,dk_plus_1,null_mean_loss,10000,-0.33981645618434014
R0-I1,all,dk_plus_1,excess_loss,10000,0.13308294158915746
