model,descriptor,bin,candidates,descriptor_mean,signed_mean,mae,variance
R0-I1,exact_distance,0,63997,31987.259652796223,63.09836716074246,764.8804899967616,1000149.1243235094
R0-I1,exact_distance,1,63998,51669.7248351511,64.95133215832917,992.9262346943459,1619407.857206302
R0-I1,exact_distance,2,64002,62308.005671697756,51.79485290742868,1101.091709109188,1984157.5905183037
R0-I1,exact_distance,3,64000,70903.76184375,88.10964849853515,1187.9898012084961,2306521.964633796
R0-I1,exact_distance,4,63995,78669.7879053051,87.47901630498477,1278.318862191382,2677480.0516192317
R0-I1,exact_distance,5,64004,86255.56493344167,95.95964937250015,1343.0986228643912,2944752.263821698
R0-I1,exact_distance,6,63992,94193.85851356419,95.29288426678335,1433.300536102169,3361303.5378685705
R0-I1,exact_distance,7,64004,103152.95297168927,109.71729110680583,1504.8251220138586,3709394.927745868
R0-I1,exact_distance,8,64006,114806.30226853733,129.9751702965347,1621.8010923780582,4319497.008421315
R0-I1,exact_distance,9,64002,138835.35306709167,57.56730295049373,1862.2906343502937,5797540.436967655
R0-I1,candidate_norm,0,63897,507.61899620749193,358.0185957615992,1429.162515844286,3255290.051272755
R0-I1,candidate_norm,1,63848,507.98101650412787,233.15938603389594,1368.8738667237521,3094667.5199596738
R0-I1,candidate_norm,2,64174,508.20072335664827,180.31990614932158,1339.1274827519712,3001999.8888369296
R0-I1,candidate_norm,3,63808,508.39340174793875,139.23257580779142,1342.4438447694004,3066406.6294775987
R0-I1,candidate_norm,4,64198,508.57723364097495,101.26904308283795,1325.2109397133063,2985907.9551701387
R0-I1,candidate_norm,5,63899,508.7618510333143,83.39463290330339,1310.6972266297066,2963917.5089543015
R0-I1,candidate_norm,6,64010,508.95430236839314,34.85165378097965,1307.4653466259088,2974283.0140097747
R0-I1,candidate_norm,7,64106,509.1683819570635,-11.122669916786991,1279.114133518088,2882129.664299369
R0-I1,candidate_norm,8,63879,509.4342971210589,-65.55091158139926,1240.6204135967453,2757042.268702801
R0-I1,candidate_norm,9,64181,509.9152560813243,-208.26822134640156,1148.5647897679178,2517159.999774594
R1-I1,exact_distance,0,63997,31987.259652796223,566.5429664172033,935.9108480720562,1047151.0414474697
R1-I1,exact_distance,1,63998,51669.7248351511,344.82039050536736,1060.023311885723,1653333.9074412475
R1-I1,exact_distance,2,64002,62308.005671697756,248.84090859709463,1144.6416721474525,2019073.444607561
R1-I1,exact_distance,3,64000,70903.76184375,154.7789194946289,1230.1890665893554,2373929.600723296
R1-I1,exact_distance,4,63995,78669.7879053051,91.28957450289086,1306.4133827593953,2701068.649488578
R1-I1,exact_distance,5,64004,86255.56493344167,-13.080233266670833,1383.7934323440722,3062928.5822881414
R1-I1,exact_distance,6,63992,94193.85851356419,-92.21463071067477,1459.7583065803146,3396498.802461911
R1-I1,exact_distance,7,64004,103152.95297168927,-199.78062491699737,1560.5725190271312,3881355.4154151916
R1-I1,exact_distance,8,64006,114806.30226853733,-324.4401788260085,1703.4058968836905,4581869.024435753
R1-I1,exact_distance,9,64002,138835.35306709167,-660.3152960552014,1984.3891182111497,6073125.661776818
R1-I1,candidate_norm,0,63897,507.61899620749193,-46.34726332943546,1436.4543171805062,3407302.280176164
R1-I1,candidate_norm,1,63848,507.98101650412787,-35.67671151036323,1413.6061178555601,3321294.386593961
R1-I1,candidate_norm,2,64174,508.20072335664827,-26.708489086129603,1407.9663754666876,3329444.219796621
R1-I1,candidate_norm,3,63808,508.39340174793875,-0.15324762281228452,1389.5699972154623,3243399.8523372705
R1-I1,candidate_norm,4,64198,508.57723364097495,1.7860800810456516,1393.3775709112945,3258202.2176244254
R1-I1,candidate_norm,5,63899,508.7618510333143,-12.784369994083681,1386.399024955857,3221108.008199856
R1-I1,candidate_norm,6,64010,508.95430236839314,2.909838893886209,1381.5463763520227,3223056.0978046493
R1-I1,candidate_norm,7,64106,509.1683819570635,4.133791648396552,1367.803682248901,3165158.740265226
R1-I1,candidate_norm,8,63879,509.4342971210589,55.29997779577343,1343.1984912908922,3062887.5038955444
R1-I1,candidate_norm,9,64181,509.9152560813243,173.38669435914153,1249.6666090319152,2646907.5260588843
R2-I1,exact_distance,0,63997,31987.259652796223,546.277572388876,922.0118534818862,1031216.4904805458
R2-I1,exact_distance,1,63998,51669.7248351511,332.71328962428515,1048.2631348098769,1633812.8786864146
R2-I1,exact_distance,2,64002,62308.005671697756,231.4400961102778,1142.1884449167603,2016590.022491477
R2-I1,exact_distance,3,64000,70903.76184375,154.0034453125,1226.5856838378907,2369754.3460389352
R2-I1,exact_distance,4,63995,78669.7879053051,80.18858223787015,1298.5815116171186,2687763.841399962
R2-I1,exact_distance,5,64004,86255.56493344167,-9.385205294786264,1380.2926065900178,3045275.994475675
R2-I1,exact_distance,6,63992,94193.85851356419,-90.81408039774503,1470.009039337925,3447364.7386376294
R2-I1,exact_distance,7,64004,103152.95297168927,-192.41153140819324,1559.4663751484281,3863761.8767526858
R2-I1,exact_distance,8,64006,114806.30226853733,-327.91303525255444,1701.5136447169016,4570635.101856072
R2-I1,exact_distance,9,64002,138835.35306709167,-660.6212300982781,1989.0703271479797,6109931.741707199
R2-I1,candidate_norm,0,63897,507.61899620749193,-59.29978484966528,1432.1900506289664,3411030.9621384335
R2-I1,candidate_norm,1,63848,507.98101650412787,-30.685364434868752,1409.3689350892453,3305555.076138153
R2-I1,candidate_norm,2,64174,508.20072335664827,-22.50153889930842,1399.3246224452391,3272494.414691699
R2-I1,candidate_norm,3,63808,508.39340174793875,-19.905246749923844,1395.569024238089,3284247.4120069374
R2-I1,candidate_norm,4,64198,508.57723364097495,-1.0770834377871974,1386.0811816750036,3237735.632691545
R2-I1,candidate_norm,5,63899,508.7618510333143,-2.194079496044906,1382.5276375428807,3228652.955635541
R2-I1,candidate_norm,6,64010,508.95430236839314,4.813521000594389,1381.3960262213363,3230608.106033245
R2-I1,candidate_norm,7,64106,509.1683819570635,0.28797536090737413,1364.58303701904,3148895.4158619186
R2-I1,candidate_norm,8,63879,509.4342971210589,35.59293488126416,1350.471021114734,3107578.5215528444
R2-I1,candidate_norm,9,64181,509.9152560813243,157.81165618166602,1237.057843356414,2602373.3911876646
R3-I1,exact_distance,0,63997,31987.259652796223,555.1426641962343,922.0965581760669,1023022.0375714315
R3-I1,exact_distance,1,63998,51669.7248351511,340.4554942757,1048.1342410724749,1623395.5355580435
R3-I1,exact_distance,2,64002,62308.005671697756,229.72493193572075,1142.2320379148307,2020925.236114151
