model,scope,diagnostic,valid_queries,mean,std,median,p05,p95
R0-I1,all,residual_distance_spearman,10000,-0.03454833538961423,0.040302046623692654,-0.03352242731800036,-0.10028504094049903,0.02732544784642117
R0-I1,all,residual_norm_spearman,10000,-0.05059506162290879,0.040726918669101414,-0.04953092824601921,-0.11835250566363212,0.013668680293226374
R0-I1,oracle1,residual_distance_spearman,7136,-0.036045314351821484,0.04264553990499578,-0.03465992561615819,-0.10485292341057292,0.02922184114903113
R0-I1,oracle1,residual_norm_spearman,7136,-0.050300515284184215,0.0420900433097195,-0.04913284668397615,-0.12017385879691903,0.016215397795220292
R1-I1,all,residual_distance_spearman,10000,-0.10719464371212653,0.038202376007233,-0.10713542756404743,-0.1693680497154402,-0.04660124389232926
R1-I1,all,residual_norm_spearman,10000,-0.015103253618263812,0.035356413435079004,-0.015064456787164619,-0.07258357866082432,0.04312223665225559
R1-I1,oracle1,residual_distance_spearman,7136,-0.10834434924517855,0.039970768355585294,-0.10776827426047708,-0.17346026779388315,-0.045238163234416595
R1-I1,oracle1,residual_norm_spearman,7136,-0.014386809639854089,0.03630494734188163,-0.014307990795241702,-0.07307531004203807,0.045153201625695735
R2-I1,all,residual_distance_spearman,10000,-0.1084173234741704,0.038101943922166426,-0.10832038773087847,-0.1671187243727408,-0.049207957451984384
R2-I1,all,residual_norm_spearman,10000,-0.014270215804830795,0.03530973727973993,-0.014440352216258185,-0.07153444341945968,0.04252802697676901
R2-I1,oracle1,residual_distance_spearman,7136,-0.10994179531444692,0.039724994386067254,-0.10988472531069217,-0.17146446296371853,-0.048250414960755904
R2-I1,oracle1,residual_norm_spearman,7136,-0.0139609823221111,0.036100884221212735,-0.014385420505046828,-0.07211525077407273,0.04534465662924801
R3-I1,all,residual_distance_spearman,10000,-0.10880211816461065,0.03793648511777578,-0.1084812706487282,-0.16970396966912968,-0.050291633054580065
R3-I1,all,residual_norm_spearman,10000,-0.015409019950003707,0.03575333818032176,-0.015842112949321002,-0.0743608041287605,0.041992201474923725
R3-I1,oracle1,residual_distance_spearman,7136,-0.11028808197792629,0.039798740245526175,-0.10979502770454777,-0.17425673566247066,-0.0491698197739162
R3-I1,oracle1,residual_norm_spearman,7136,-0.014671488312412566,0.036758581179295195,-0.015333885550969054,-0.07537091785578268,0.04484285485058383
R4-I1,all,residual_distance_spearman,10000,-0.10824240011154189,0.03822133048255627,-0.10820110144578735,-0.17027352908230695,-0.047042726173824316
R4-I1,all,residual_norm_spearman,10000,-0.015614049156512076,0.0357936193169891,-0.015508160093421326,-0.07437920124377093,0.04212638475539444
R4-I1,oracle1,residual_distance_spearman,7136,-0.10944113613893199,0.0398576849094598,-0.1093880388172549,-0.17445720998892428,-0.04539524543552697
R4-I1,oracle1,residual_norm_spearman,7136,-0.01484952138340079,0.03674160798148871,-0.014949218472006994,-0.07517332739593846,0.04464717763484944
