model,scope,predictor,target,spearman
R0-I1,all,top10_minus_near_signed_bias,excess_loss,0.39266879713736175
R0-I1,all,top10_minus_far_mae,excess_loss,0.20425853804781494
R0-I1,all,top10_minus_far_signed_bias,excess_loss,0.26752909056114854
R0-I1,all,residual_distance_spearman,excess_loss,0.014779188331722225
R0-I1,oracle1,top10_minus_near_signed_bias,excess_loss,0.4206367937607671
R0-I1,oracle1,top10_minus_far_mae,excess_loss,0.18384087974808005
R0-I1,oracle1,top10_minus_far_signed_bias,excess_loss,0.28835613377120645
R0-I1,oracle1,residual_distance_spearman,excess_loss,0.022841234054551608
R1-I1,all,top10_minus_near_signed_bias,excess_loss,0.41852681777227585
R1-I1,all,top10_minus_far_mae,excess_loss,0.1803590852072584
R1-I1,all,top10_minus_far_signed_bias,excess_loss,0.2910296817606976
R1-I1,all,residual_distance_spearman,excess_loss,-0.003056261985227895
R1-I1,oracle1,top10_minus_near_signed_bias,excess_loss,0.45452457023212933
R1-I1,oracle1,top10_minus_far_mae,excess_loss,0.1942315272635251
R1-I1,oracle1,top10_minus_far_signed_bias,excess_loss,0.3143086303801037
R1-I1,oracle1,residual_distance_spearman,excess_loss,0.001694854579825974
R2-I1,all,top10_minus_near_signed_bias,excess_loss,0.4099737026914432
R2-I1,all,top10_minus_far_mae,excess_loss,0.1816670082589939
R2-I1,all,top10_minus_far_signed_bias,excess_loss,0.3009371372632061
R2-I1,all,residual_distance_spearman,excess_loss,-0.003467670809429347
R2-I1,oracle1,top10_minus_near_signed_bias,excess_loss,0.4442075823863267
R2-I1,oracle1,top10_minus_far_mae,excess_loss,0.17633040592370822
R2-I1,oracle1,top10_minus_far_signed_bias,excess_loss,0.32484542184381715
R2-I1,oracle1,residual_distance_spearman,excess_loss,-0.0015144753165532046
R3-I1,all,top10_minus_near_signed_bias,excess_loss,0.419734770154896
R3-I1,all,top10_minus_far_mae,excess_loss,0.1871627141839336
R3-I1,all,top10_minus_far_signed_bias,excess_loss,0.3085477308890682
R3-I1,all,residual_distance_spearman,excess_loss,-0.0029542247323277146
R3-I1,oracle1,top10_minus_near_signed_bias,excess_loss,0.44884371174035953
R3-I1,oracle1,top10_minus_far_mae,excess_loss,0.18511521212112364
R3-I1,oracle1,top10_minus_far_signed_bias,excess_loss,0.32718575369756675
R3-I1,oracle1,residual_distance_spearman,excess_loss,-0.010643731342808159
R4-I1,all,top10_minus_near_signed_bias,excess_loss,0.3947501433882999
R4-I1,all,top10_minus_far_mae,excess_loss,0.1682616720360905
R4-I1,all,top10_minus_far_signed_bias,excess_loss,0.279201587326845
R4-I1,all,residual_distance_spearman,excess_loss,-0.0016135056350002432
R4-I1,oracle1,top10_minus_near_signed_bias,excess_loss,0.43395650237523753
R4-I1,oracle1,top10_minus_far_mae,excess_loss,0.16419597369212388
R4-I1,oracle1,top10_minus_far_signed_bias,excess_loss,0.30186064226042764
R4-I1,oracle1,residual_distance_spearman,excess_loss,-0.007880641121435975
