model,exact_rank,count,signed_mean,mae,variance,std,p05,p95
R0-I1,1,10000,311.8476828186035,872.4190441467285,1198777.8166473503,1094.8871250715072,-1433.1771484375,2124.215429687496
R0-I1,2,10000,303.5787958679199,919.6355233215332,1368445.075935114,1169.8055718516277,-1551.3615234375,2264.1421874999996
R0-I1,3,10000,287.16590372924804,941.2419793640137,1441334.8190274052,1200.5560457668794,-1631.121484375,2299.6273437499995
R0-I1,4,10000,262.2550938415527,954.2753641052246,1503709.587393083,1226.2583689390597,-1665.6513671875,2332.8759765625
R0-I1,5,10000,265.77137595825195,953.1574368347168,1487992.0455408609,1219.8327940914119,-1713.6257812499998,2273.82265625
R0-I1,6,10000,263.641416796875,982.8265580078125,1579870.738849589,1256.9290906211013,-1774.128125,2329.1144531249997
R0-I1,7,10000,242.34305169677734,976.0101073120118,1554320.0597414388,1246.7237303193674,-1746.293359375,2266.2419921875
R0-I1,8,10000,256.81745972900393,984.9793285278321,1602859.271976153,1266.0407860634477,-1757.961328125,2400.060351562498
R0-I1,9,10000,231.8316193725586,995.1866546264648,1651377.0304719,1285.0591544640658,-1841.19892578125,2340.558984374993
R0-I1,10,10000,236.1647309692383,992.046156262207,1647525.0687196755,1283.55953064892,-1796.0921875,2369.609375
R0-I1,11,10000,227.69050036621093,1015.0736009033203,1704890.8710539753,1305.7146974182283,-1879.3279296874998,2412.2503906249995
R0-I1,12,10000,235.88240969238282,987.5774670166015,1607136.3693020118,1267.728823251255,-1820.011328125,2336.723632812499
R0-I1,13,10000,231.83266470947265,1001.6825088989258,1672530.010112103,1293.26331816537,-1838.4755859374998,2357.2251953124996
R0-I1,14,10000,237.8950057861328,1009.2426017578125,1698131.520762271,1303.1237549681423,-1844.07109375,2386.335156249998
R0-I1,15,10000,212.46522357177736,1006.2621544311523,1689743.038590991,1299.901164931777,-1924.6179687499998,2403.1201171874995
R0-I1,16,10000,222.21823182373046,1021.017274597168,1713476.591403356,1308.9983160429795,-1885.5203613281249,2378.6124999999993
R0-I1,17,10000,236.00236955566407,1021.0435490966797,1714641.7663906459,1309.44330400008,-1877.54609375,2400.0886718749985
R0-I1,18,10000,228.71434669189452,1007.2082410766601,1680736.1698592526,1296.4320922667923,-1860.92265625,2352.9484375
R0-I1,19,10000,214.20610811767577,1015.6802024536133,1711931.621603689,1308.4080485856425,-1880.48671875,2379.927734374998
R0-I1,20,10000,222.48024729003907,1023.2852911376954,1726179.4166668088,1313.841473187237,-1910.11875,2377.728124999999
R0-I1,21,10000,207.08381447753905,1019.0658340576172,1730091.6645697246,1315.3294889759466,-1960.014453125,2380.7748046874995
R0-I1,22,10000,211.71718979492186,1036.6435178710938,1785930.1374894017,1336.386971460513,-1936.8970703124999,2414.496093749999
R0-I1,23,10000,225.29208592529298,1042.3143656616212,1803232.6117754008,1342.8449693748719,-1921.7900390625,2417.5236328124997
R0-I1,24,10000,229.58161245117188,1040.5472064697265,1769035.4360440955,1330.0509148314945,-1913.2749999999999,2443.8273437499997
R0-I1,25,10000,227.97893677978516,1026.6100514770508,1764489.010257156,1328.3406981106752,-1892.6279296875,2402.3789062499995
R0-I1,26,10000,207.18440646972655,1039.9858295166016,1802947.493587151,1342.7388031881521,-1920.6796875,2445.0896484375
R0-I1,27,10000,212.4094598022461,1031.2524537963868,1777499.2182570137,1333.228869420781,-1935.2669921875,2378.346484375
R0-I1,28,10000,201.0338349243164,1036.5869700317382,1790979.4056353203,1338.2747870431244,-1966.79609375,2401.278515624997
R0-I1,29,10000,219.58762834472657,1036.5415318847656,1783839.7551249873,1335.6046402753277,-1939.43828125,2433.6123046875
R0-I1,30,10000,200.73591834716797,1040.5850541870118,1820219.4257888747,1349.1550784801852,-1960.1679687499998,2391.7189453124997
R1-I1,1,10000,570.7052796875,1037.6014607421876,1358746.6474346197,1165.6528846250155,-1403.93486328125,2441.40390625
R1-I1,2,10000,507.8108043823242,1038.309753503418,1462521.4688072875,1209.3475384715873,-1485.2994140624999,2441.83828125
R1-I1,3,10000,479.51479111328126,1047.8750497070312,1522991.1679225818,1234.0952831619534,-1603.336328125,2461.422265624998
R1-I1,4,10000,440.9892568969727,1045.7734842407226,1561731.1673539958,1249.6924291016553,-1662.065625,2431.3191406249994
R1-I1,5,10000,460.8125191772461,1075.2610485717773,1639433.885846539,1280.4037979663053,-1666.81875,2507.162499999999
R1-I1,6,10000,440.01013422851565,1055.3833213378907,1611787.2779069967,1269.5618448531748,-1645.7017578124999,2457.0015624999987
R1-I1,7,10000,426.5475040283203,1064.8009419189452,1641886.8693167113,1281.361334408336,-1708.7634765624998,2463.0097656249986
R1-I1,8,10000,408.7986946777344,1084.178428076172,1721927.2229649562,1312.2222460257851,-1813.2787109375,2492.5306640624985
R1-I1,9,10000,434.95851417236327,1094.7838783325196,1740362.4574212555,1319.227977804161,-1782.076953125,2502.4544921874995
R1-I1,10,10000,391.96838227539064,1087.0563612792969,1735704.3145788144,1317.4613142627052,-1818.3650390625,2498.197265624998
R1-I1,11,10000,384.51609031982423,1094.762301159668,1801780.6029781983,1342.3042140208747,-1866.3568359375,2568.2128906249995
R1-I1,12,10000,383.97392164306643,1098.9810690063478,1786185.4441352405,1336.4824892737056,-1869.5337890624999,2524.4466796874995
R1-I1,13,10000,387.02695439453123,1104.2708534179687,1799817.7677468467,1341.572870829925,-1925.9015624999997,2525.5603515625
R1-I1,14,10000,367.8122486328125,1110.5250133789064,1870708.1241001838,1367.7383244247358,-1894.6939453124999,2541.754687499999
R1-I1,15,10000,369.8812948364258,1105.6346977661133,1837001.2876566383,1355.360205870247,-1918.4927734375,2510.1724609374996
R1-I1,16,10000,377.70728537597654,1114.168073461914,1860895.9698517951,1364.1466086355217,-1907.49765625,2521.819628906249
R1-I1,17,10000,382.7457442871094,1117.3361562988282,1862017.3604800934,1364.5575695001269,-1881.00703125,2523.9134765624995
R1-I1,18,10000,373.0732051025391,1115.248314379883,1862625.4424486947,1364.7803641790479,-1926.13046875,2532.0980468749985
R1-I1,19,10000,363.96025888671875,1121.6157094726564,1893970.8690197815,1376.2161418250337,-1928.855859375,2543.221289062498
R1-I1,20,10000,339.314690625,1107.9912748046875,1871944.0099545638,1368.190048916657,-1962.256640625,2466.9494140624997
R1-I1,21,10000,357.07619093017576,1130.484102746582,1933788.0700704688,1390.6070868762567,-2036.9951171875,2595.7638671874984
R1-I1,22,10000,330.19697911376954,1128.2240001098633,1920253.5375840047,1385.7321305302858,-2023.4716796875,2522.4357421874997
R1-I1,23,10000,349.2070504150391,1118.271646118164,1927721.884813589,1388.4242452556023,-1930.2318359375,2551.035546875
R1-I1,24,10000,333.3986107788086,1113.7629932006837,1907229.0476861342,1381.0246368860094,-1948.8199218749999,2535.8917968749997
R1-I1,25,10000,345.1982601928711,1100.1680010131836,1847528.700390057,1359.2382794749628,-1954.1636718749999,2513.0021484375
R1-I1,26,10000,353.99501677246093,1113.5723478271484,1894076.397468907,1376.2544813619706,-1930.235546875,2538.9263671875
R1-I1,27,10000,327.7051210449219,1116.549301123047,1931610.0921169473,1389.823762970308,-1997.473828125,2575.26875
