model,region,candidates,candidate_weighted_signed_mean,candidate_weighted_mae,candidate_weighted_variance,query_mean_signed_residual,query_mean_mae
R0-I1,top10,100000,266.1417130780029,957.1778152508545,1504289.4716143408,266.1417130780029,957.1778152508546
R0-I1,near11_20,100000,226.93871076049805,1010.8072891369629,1692012.0986482324,226.93871076049805,1010.8072891369629
R0-I1,far21plus,10153047,114.62134232232312,1332.1198630207684,3028229.1855926043,82.7313759319464,1316.7460110852737
R1-I1,top10,100000,456.2115880639648,1063.102372770996,1602162.9001392631,456.2115880639648,1063.1023727709962
R1-I1,near11_20,100000,373.0011694104004,1109.0533463146974,1844876.6880599966,373.0011694104004,1109.0533463146971
R1-I1,far21plus,10153047,-29.026534279306706,1397.5035648545688,3281907.110718269,4.242794823446156,1381.7959938313245
R2-I1,top10,100000,449.70626212402345,1058.0011225830078,1596360.5378520105,449.7062621240234,1058.0011225830078
R2-I1,near11_20,100000,381.9381450292969,1102.5780001953126,1817740.1387219063,381.9381450292969,1102.5780001953126
R2-I1,far21plus,10153047,-34.53749078990308,1396.9771383155387,3287558.509242178,-1.5740454202820284,1380.9289521938003
R3-I1,top10,100000,442.3656809838867,1054.717921657715,1587589.8153951627,442.3656809838867,1054.717921657715
R3-I1,near11_20,100000,368.1574690478516,1094.6846796044922,1805366.8225401642,368.1574690478515,1094.6846796044922
R3-I1,far21plus,10153047,-37.98050831828403,1392.825245634969,3265528.0257537235,-4.819910193741405,1376.839831196657
R4-I1,top10,100000,432.9527126477051,1054.681903927002,1600526.8727640095,432.95271264770514,1054.6819039270022
R4-I1,near11_20,100000,364.45366443115233,1098.6132490893556,1817686.9690946112,364.45366443115233,1098.6132490893553
R4-I1,far21plus,10153047,-44.422772439902694,1396.2549826495147,3287797.5222388236,-10.221952985469652,1380.2292170651638
