model,scope,condition,metric,queries,mean,std,median,p05,p95
R0-I1,all,observed,loss,10000,0.09951000000000003,2.7895403077993544e-17,0.09951,0.09951,0.09951
R0-I1,all,observed,recall,10000,0.8536400000000002,0.0,0.8536400000000002,0.8536400000000002,0.8536400000000002
R0-I1,all,observed,inversions,10000,5.556199999999998,1.785305796991587e-15,5.5562,5.5562,5.5562
R0-I1,all,observed,agreement,10000,0.87973,1.1158161231197418e-16,0.8797300000000001,0.8797300000000001,0.8797300000000001
R0-I1,all,observed,harmful_fraction,10000,0.7001000000000002,2.2316322462394835e-16,0.7001,0.7001,0.7001
R0-I1,all,N0,loss,10000,0.1369737,0.0007149156268647042,0.13688,0.1356795,0.138113
R0-I1,all,N0,recall,10000,0.8161763000000001,0.000714915626864705,0.81627,0.815037,0.8174705
R0-I1,all,N0,inversions,10000,9.652975,0.0825240526614924,9.663599999999999,9.51345,9.777054999999999
R0-I1,all,N0,agreement,10000,0.8406459,0.0008049707881016351,0.840625,0.8394265,0.8420555
R0-I1,all,N0,harmful_fraction,10000,0.8185379999999999,0.0033193884066103773,0.8183,0.81359,0.8249099999999999
R0-I1,all,N1,loss,10000,0.13267009999999999,0.0006523392173903499,0.13265,0.1316495,0.1338605
R0-I1,all,N1,recall,10000,0.8204799000000002,0.0006523392173903548,0.8205,0.8192895,0.8215005
R0-I1,all,N1,inversions,10000,8.573886000000002,0.046747531712509914,8.575800000000001,8.49379,8.648195
R0-I1,all,N1,agreement,10000,0.8429072999999999,0.0006746474649920496,0.842945,0.841862,0.84385
R0-I1,all,N1,harmful_fraction,10000,0.7998930000000003,0.0027937612675749493,0.80025,0.795585,0.804515
R0-I1,all,N2,loss,10000,0.10788170000000001,0.0004798612067856473,0.107845,0.107199,0.108673
R0-I1,all,N2,recall,10000,0.8452683000000001,0.0004798612067856493,0.845305,0.844477,0.845951
R0-I1,all,N2,inversions,10000,6.519551,0.028809182371058176,6.52045,6.47198,6.56383
R0-I1,all,N2,agreement,10000,0.8705535000000001,0.0004900553978167141,0.870615,0.8697445,0.8712805
R0-I1,all,N2,harmful_fraction,10000,0.7277589999999999,0.0030737761792297104,0.7282,0.7223,0.7330099999999999
R0-I1,all,N3,loss,10000,0.10136989999999997,0.00044978220318619803,0.10137499999999999,0.1006755,0.102074
R0-I1,all,N3,recall,10000,0.8517801,0.00044978220318619977,0.851775,0.8510759999999999,0.8524744999999999
R0-I1,all,N3,inversions,10000,5.721265,0.02149455827304984,5.71965,5.684315,5.751865
R0-I1,all,N3,agreement,10000,0.8779549,0.00044231141047726294,0.8779399999999999,0.877196,0.87873
R0-I1,all,N3,harmful_fraction,10000,0.7099540000000001,0.0033174293321391775,0.70985,0.70489,0.71493
