model,scope,condition,metric,permutation,value
R0-I1,all,observed,loss,0,0.09951
R0-I1,all,observed,loss,1,0.09951
R0-I1,all,observed,loss,2,0.09951
R0-I1,all,observed,loss,3,0.09951
R0-I1,all,observed,loss,4,0.09951
R0-I1,all,observed,loss,5,0.09951
R0-I1,all,observed,loss,6,0.09951
R0-I1,all,observed,loss,7,0.09951
R0-I1,all,observed,loss,8,0.09951
R0-I1,all,observed,loss,9,0.09951
R0-I1,all,observed,loss,10,0.09951
R0-I1,all,observed,loss,11,0.09951
R0-I1,all,observed,loss,12,0.09951
R0-I1,all,observed,loss,13,0.09951
R0-I1,all,observed,loss,14,0.09951
R0-I1,all,observed,loss,15,0.09951
R0-I1,all,observed,loss,16,0.09951
R0-I1,all,observed,loss,17,0.09951
R0-I1,all,observed,loss,18,0.09951
R0-I1,all,observed,loss,19,0.09951
R0-I1,all,observed,loss,20,0.09951
R0-I1,all,observed,loss,21,0.09951
R0-I1,all,observed,loss,22,0.09951
R0-I1,all,observed,loss,23,0.09951
R0-I1,all,observed,loss,24,0.09951
R0-I1,all,observed,loss,25,0.09951
R0-I1,all,observed,loss,26,0.09951
R0-I1,all,observed,loss,27,0.09951
R0-I1,all,observed,loss,28,0.09951
R0-I1,all,observed,loss,29,0.09951
R0-I1,all,observed,loss,30,0.09951
R0-I1,all,observed,loss,31,0.09951
R0-I1,all,observed,loss,32,0.09951
R0-I1,all,observed,loss,33,0.09951
R0-I1,all,observed,loss,34,0.09951
R0-I1,all,observed,loss,35,0.09951
R0-I1,all,observed,loss,36,0.09951
R0-I1,all,observed,loss,37,0.09951
R0-I1,all,observed,loss,38,0.09951
R0-I1,all,observed,loss,39,0.09951
R0-I1,all,observed,loss,40,0.09951
R0-I1,all,observed,loss,41,0.09951
R0-I1,all,observed,loss,42,0.09951
R0-I1,all,observed,loss,43,0.09951
R0-I1,all,observed,loss,44,0.09951
R0-I1,all,observed,loss,45,0.09951
R0-I1,all,observed,loss,46,0.09951
R0-I1,all,observed,loss,47,0.09951
R0-I1,all,observed,loss,48,0.09951
R0-I1,all,observed,loss,49,0.09951
R0-I1,all,observed,loss,50,0.09951
R0-I1,all,observed,loss,51,0.09951
R0-I1,all,observed,loss,52,0.09951
R0-I1,all,observed,loss,53,0.09951
R0-I1,all,observed,loss,54,0.09951
R0-I1,all,observed,loss,55,0.09951
R0-I1,all,observed,loss,56,0.09951
R0-I1,all,observed,loss,57,0.09951
R0-I1,all,observed,loss,58,0.09951
R0-I1,all,observed,loss,59,0.09951
R0-I1,all,observed,loss,60,0.09951
R0-I1,all,observed,loss,61,0.09951
R0-I1,all,observed,loss,62,0.09951
R0-I1,all,observed,loss,63,0.09951
R0-I1,all,observed,loss,64,0.09951
R0-I1,all,observed,loss,65,0.09951
R0-I1,all,observed,loss,66,0.09951
R0-I1,all,observed,loss,67,0.09951
R0-I1,all,observed,loss,68,0.09951
R0-I1,all,observed,loss,69,0.09951
R0-I1,all,observed,loss,70,0.09951
R0-I1,all,observed,loss,71,0.09951
R0-I1,all,observed,loss,72,0.09951
R0-I1,all,observed,loss,73,0.09951
R0-I1,all,observed,loss,74,0.09951
R0-I1,all,observed,loss,75,0.09951
R0-I1,all,observed,loss,76,0.09951
R0-I1,all,observed,loss,77,0.09951
R0-I1,all,observed,loss,78,0.09951
R0-I1,all,observed,loss,79,0.09951
R0-I1,all,observed,loss,80,0.09951
R0-I1,all,observed,loss,81,0.09951
R0-I1,all,observed,loss,82,0.09951
R0-I1,all,observed,loss,83,0.09951
R0-I1,all,observed,loss,84,0.09951
R0-I1,all,observed,loss,85,0.09951
R0-I1,all,observed,loss,86,0.09951
R0-I1,all,observed,loss,87,0.09951
R0-I1,all,observed,loss,88,0.09951
R0-I1,all,observed,loss,89,0.09951
R0-I1,all,observed,loss,90,0.09951
R0-I1,all,observed,loss,91,0.09951
R0-I1,all,observed,loss,92,0.09951
R0-I1,all,observed,loss,93,0.09951
R0-I1,all,observed,loss,94,0.09951
R0-I1,all,observed,loss,95,0.09951
R0-I1,all,observed,loss,96,0.09951
R0-I1,all,observed,loss,97,0.09951
R0-I1,all,observed,loss,98,0.09951
R0-I1,all,observed,loss,99,0.09951
R0-I1,all,observed,recall,0,0.8536400000000002
R0-I1,all,observed,recall,1,0.8536400000000002
R0-I1,all,observed,recall,2,0.8536400000000002
R0-I1,all,observed,recall,3,0.8536400000000002
R0-I1,all,observed,recall,4,0.8536400000000002
R0-I1,all,observed,recall,5,0.8536400000000002
R0-I1,all,observed,recall,6,0.8536400000000002
R0-I1,all,observed,recall,7,0.8536400000000002
R0-I1,all,observed,recall,8,0.8536400000000002
R0-I1,all,observed,recall,9,0.8536400000000002
R0-I1,all,observed,recall,10,0.8536400000000002
R0-I1,all,observed,recall,11,0.8536400000000002
R0-I1,all,observed,recall,12,0.8536400000000002
R0-I1,all,observed,recall,13,0.8536400000000002
R0-I1,all,observed,recall,14,0.8536400000000002
R0-I1,all,observed,recall,15,0.8536400000000002
R0-I1,all,observed,recall,16,0.8536400000000002
R0-I1,all,observed,recall,17,0.8536400000000002
R0-I1,all,observed,recall,18,0.8536400000000002
R0-I1,all,observed,recall,19,0.8536400000000002
R0-I1,all,observed,recall,20,0.8536400000000002
R0-I1,all,observed,recall,21,0.8536400000000002
R0-I1,all,observed,recall,22,0.8536400000000002
R0-I1,all,observed,recall,23,0.8536400000000002
R0-I1,all,observed,recall,24,0.8536400000000002
R0-I1,all,observed,recall,25,0.8536400000000002
R0-I1,all,observed,recall,26,0.8536400000000002
R0-I1,all,observed,recall,27,0.8536400000000002
R0-I1,all,observed,recall,28,0.8536400000000002
R0-I1,all,observed,recall,29,0.8536400000000002
R0-I1,all,observed,recall,30,0.8536400000000002
R0-I1,all,observed,recall,31,0.8536400000000002
R0-I1,all,observed,recall,32,0.8536400000000002
R0-I1,all,observed,recall,33,0.8536400000000002
R0-I1,all,observed,recall,34,0.8536400000000002
R0-I1,all,observed,recall,35,0.8536400000000002
R0-I1,all,observed,recall,36,0.8536400000000002
R0-I1,all,observed,recall,37,0.8536400000000002
R0-I1,all,observed,recall,38,0.8536400000000002
R0-I1,all,observed,recall,39,0.8536400000000002
R0-I1,all,observed,recall,40,0.8536400000000002
R0-I1,all,observed,recall,41,0.8536400000000002
R0-I1,all,observed,recall,42,0.8536400000000002
R0-I1,all,observed,recall,43,0.8536400000000002
R0-I1,all,observed,recall,44,0.8536400000000002
R0-I1,all,observed,recall,45,0.8536400000000002
R0-I1,all,observed,recall,46,0.8536400000000002
R0-I1,all,observed,recall,47,0.8536400000000002
R0-I1,all,observed,recall,48,0.8536400000000002
R0-I1,all,observed,recall,49,0.8536400000000002
R0-I1,all,observed,recall,50,0.8536400000000002
R0-I1,all,observed,recall,51,0.8536400000000002
R0-I1,all,observed,recall,52,0.8536400000000002
R0-I1,all,observed,recall,53,0.8536400000000002
R0-I1,all,observed,recall,54,0.8536400000000002
R0-I1,all,observed,recall,55,0.8536400000000002
R0-I1,all,observed,recall,56,0.8536400000000002
R0-I1,all,observed,recall,57,0.8536400000000002
R0-I1,all,observed,recall,58,0.8536400000000002
R0-I1,all,observed,recall,59,0.8536400000000002
R0-I1,all,observed,recall,60,0.8536400000000002
R0-I1,all,observed,recall,61,0.8536400000000002
R0-I1,all,observed,recall,62,0.8536400000000002
R0-I1,all,observed,recall,63,0.8536400000000002
R0-I1,all,observed,recall,64,0.8536400000000002
R0-I1,all,observed,recall,65,0.8536400000000002
R0-I1,all,observed,recall,66,0.8536400000000002
R0-I1,all,observed,recall,67,0.8536400000000002
R0-I1,all,observed,recall,68,0.8536400000000002
R0-I1,all,observed,recall,69,0.8536400000000002
R0-I1,all,observed,recall,70,0.8536400000000002
R0-I1,all,observed,recall,71,0.8536400000000002
R0-I1,all,observed,recall,72,0.8536400000000002
R0-I1,all,observed,recall,73,0.8536400000000002
R0-I1,all,observed,recall,74,0.8536400000000002
R0-I1,all,observed,recall,75,0.8536400000000002
R0-I1,all,observed,recall,76,0.8536400000000002
R0-I1,all,observed,recall,77,0.8536400000000002
R0-I1,all,observed,recall,78,0.8536400000000002
R0-I1,all,observed,recall,79,0.8536400000000002
R0-I1,all,observed,recall,80,0.8536400000000002
R0-I1,all,observed,recall,81,0.8536400000000002
R0-I1,all,observed,recall,82,0.8536400000000002
R0-I1,all,observed,recall,83,0.8536400000000002
R0-I1,all,observed,recall,84,0.8536400000000002
R0-I1,all,observed,recall,85,0.8536400000000002
R0-I1,all,observed,recall,86,0.8536400000000002
R0-I1,all,observed,recall,87,0.8536400000000002
R0-I1,all,observed,recall,88,0.8536400000000002
R0-I1,all,observed,recall,89,0.8536400000000002
R0-I1,all,observed,recall,90,0.8536400000000002
R0-I1,all,observed,recall,91,0.8536400000000002
R0-I1,all,observed,recall,92,0.8536400000000002
R0-I1,all,observed,recall,93,0.8536400000000002
R0-I1,all,observed,recall,94,0.8536400000000002
R0-I1,all,observed,recall,95,0.8536400000000002
R0-I1,all,observed,recall,96,0.8536400000000002
R0-I1,all,observed,recall,97,0.8536400000000002
R0-I1,all,observed,recall,98,0.8536400000000002
R0-I1,all,observed,recall,99,0.8536400000000002
R0-I1,all,observed,inversions,0,5.5562
R0-I1,all,observed,inversions,1,5.5562
R0-I1,all,observed,inversions,2,5.5562
R0-I1,all,observed,inversions,3,5.5562
R0-I1,all,observed,inversions,4,5.5562
R0-I1,all,observed,inversions,5,5.5562
R0-I1,all,observed,inversions,6,5.5562
R0-I1,all,observed,inversions,7,5.5562
R0-I1,all,observed,inversions,8,5.5562
R0-I1,all,observed,inversions,9,5.5562
R0-I1,all,observed,inversions,10,5.5562
R0-I1,all,observed,inversions,11,5.5562
R0-I1,all,observed,inversions,12,5.5562
R0-I1,all,observed,inversions,13,5.5562
R0-I1,all,observed,inversions,14,5.5562
R0-I1,all,observed,inversions,15,5.5562
R0-I1,all,observed,inversions,16,5.5562
R0-I1,all,observed,inversions,17,5.5562
R0-I1,all,observed,inversions,18,5.5562
R0-I1,all,observed,inversions,19,5.5562
R0-I1,all,observed,inversions,20,5.5562
R0-I1,all,observed,inversions,21,5.5562
R0-I1,all,observed,inversions,22,5.5562
R0-I1,all,observed,inversions,23,5.5562
R0-I1,all,observed,inversions,24,5.5562
R0-I1,all,observed,inversions,25,5.5562
R0-I1,all,observed,inversions,26,5.5562
R0-I1,all,observed,inversions,27,5.5562
R0-I1,all,observed,inversions,28,5.5562
R0-I1,all,observed,inversions,29,5.5562
R0-I1,all,observed,inversions,30,5.5562
R0-I1,all,observed,inversions,31,5.5562
R0-I1,all,observed,inversions,32,5.5562
R0-I1,all,observed,inversions,33,5.5562
R0-I1,all,observed,inversions,34,5.5562
R0-I1,all,observed,inversions,35,5.5562
R0-I1,all,observed,inversions,36,5.5562
R0-I1,all,observed,inversions,37,5.5562
R0-I1,all,observed,inversions,38,5.5562
R0-I1,all,observed,inversions,39,5.5562
R0-I1,all,observed,inversions,40,5.5562
R0-I1,all,observed,inversions,41,5.5562
R0-I1,all,observed,inversions,42,5.5562
R0-I1,all,observed,inversions,43,5.5562
R0-I1,all,observed,inversions,44,5.5562
R0-I1,all,observed,inversions,45,5.5562
R0-I1,all,observed,inversions,46,5.5562
R0-I1,all,observed,inversions,47,5.5562
R0-I1,all,observed,inversions,48,5.5562
R0-I1,all,observed,inversions,49,5.5562
R0-I1,all,observed,inversions,50,5.5562
R0-I1,all,observed,inversions,51,5.5562
R0-I1,all,observed,inversions,52,5.5562
R0-I1,all,observed,inversions,53,5.5562
R0-I1,all,observed,inversions,54,5.5562
R0-I1,all,observed,inversions,55,5.5562
R0-I1,all,observed,inversions,56,5.5562
R0-I1,all,observed,inversions,57,5.5562
R0-I1,all,observed,inversions,58,5.5562
R0-I1,all,observed,inversions,59,5.5562
R0-I1,all,observed,inversions,60,5.5562
R0-I1,all,observed,inversions,61,5.5562
R0-I1,all,observed,inversions,62,5.5562
R0-I1,all,observed,inversions,63,5.5562
R0-I1,all,observed,inversions,64,5.5562
R0-I1,all,observed,inversions,65,5.5562
R0-I1,all,observed,inversions,66,5.5562
R0-I1,all,observed,inversions,67,5.5562
R0-I1,all,observed,inversions,68,5.5562
