model,scope,observable,queries,spearman,populated_quintiles
R0-I1,all,g10_11_pq,10000,-0.279606932764267,5
R0-I1,all,g9_12_pq,10000,-0.3682569375247107,5
R0-I1,all,relative_g10_11_pq,10000,-0.2321831557945187,5
R0-I1,all,relative_g9_12_pq,10000,-0.2950264791099746,5
R0-I1,all,count_1pct,10000,0.25337360076070514,4
R0-I1,all,count_2pct,10000,0.2795747330634167,5
R0-I1,all,count_5pct,10000,0.17455077980567968,5
R0-I1,oracle1,g10_11_pq,7136,-0.3289497008653314,5
R0-I1,oracle1,g9_12_pq,7136,-0.42944833815838573,5
R0-I1,oracle1,relative_g10_11_pq,7136,-0.31729492171281365,5
R0-I1,oracle1,relative_g9_12_pq,7136,-0.4254826843899728,5
R0-I1,oracle1,count_1pct,7136,0.3639087724686557,4
R0-I1,oracle1,count_2pct,7136,0.42030751657942295,5
R0-I1,oracle1,count_5pct,7136,0.37225214396241996,5
R1-I1,all,g10_11_pq,10000,-0.27085873691706247,5
R1-I1,all,g9_12_pq,10000,-0.3749512959345968,5
R1-I1,all,relative_g10_11_pq,10000,-0.21788350959587086,5
R1-I1,all,relative_g9_12_pq,10000,-0.2883431222278449,5
R1-I1,all,count_1pct,10000,0.2571676233909027,4
R1-I1,all,count_2pct,10000,0.2800321781930261,5
R1-I1,all,count_5pct,10000,0.20101535631446288,5
R1-I1,oracle1,g10_11_pq,7136,-0.31129422357234127,5
R1-I1,oracle1,g9_12_pq,7136,-0.43619146537304687,5
R1-I1,oracle1,relative_g10_11_pq,7136,-0.2945018060325328,5
R1-I1,oracle1,relative_g9_12_pq,7136,-0.42337909740894614,5
R1-I1,oracle1,count_1pct,7136,0.36043705646996094,4
R1-I1,oracle1,count_2pct,7136,0.4271446211784439,5
R1-I1,oracle1,count_5pct,7136,0.40394477837355103,5
R2-I1,all,g10_11_pq,10000,-0.2701079621515634,5
R2-I1,all,g9_12_pq,10000,-0.37784866880115436,5
R2-I1,all,relative_g10_11_pq,10000,-0.2215708254423872,5
R2-I1,all,relative_g9_12_pq,10000,-0.30099492699910624,5
R2-I1,all,count_1pct,10000,0.2676534405976301,4
R2-I1,all,count_2pct,10000,0.28015838378370095,5
R2-I1,all,count_5pct,10000,0.20734112406172978,5
R2-I1,oracle1,g10_11_pq,7136,-0.3227402422481993,5
R2-I1,oracle1,g9_12_pq,7136,-0.44230012692484544,5
R2-I1,oracle1,relative_g10_11_pq,7136,-0.31401075552332414,5
R2-I1,oracle1,relative_g9_12_pq,7136,-0.4412689642863925,5
R2-I1,oracle1,count_1pct,7136,0.37127558576687486,4
R2-I1,oracle1,count_2pct,7136,0.428659156080364,5
R2-I1,oracle1,count_5pct,7136,0.40939162863028017,5
R3-I1,all,g10_11_pq,10000,-0.26490374583606635,5
R3-I1,all,g9_12_pq,10000,-0.3777340180816975,5
R3-I1,all,relative_g10_11_pq,10000,-0.21283063730808596,5
R3-I1,all,relative_g9_12_pq,10000,-0.29551189855256754,5
R3-I1,all,count_1pct,10000,0.25985498629002357,4
R3-I1,all,count_2pct,10000,0.28238022524226114,5
R3-I1,all,count_5pct,10000,0.2074488324943312,5
R3-I1,oracle1,g10_11_pq,7136,-0.31983283541545704,5
R3-I1,oracle1,g9_12_pq,7136,-0.4417327696070497,5
R3-I1,oracle1,relative_g10_11_pq,7136,-0.3056779061569304,5
R3-I1,oracle1,relative_g9_12_pq,7136,-0.4359843338016166,5
R3-I1,oracle1,count_1pct,7136,0.37159219291078305,4
R3-I1,oracle1,count_2pct,7136,0.43315337960581723,5
R3-I1,oracle1,count_5pct,7136,0.42206917852340897,5
R4-I1,all,g10_11_pq,10000,-0.27286702029893883,5
R4-I1,all,g9_12_pq,10000,-0.370253452385672,5
R4-I1,all,relative_g10_11_pq,10000,-0.21470712811984713,5
R4-I1,all,relative_g9_12_pq,10000,-0.2785232772192386,5
R4-I1,all,count_1pct,10000,0.24568129662364724,4
R4-I1,all,count_2pct,10000,0.27690568876965715,5
R4-I1,all,count_5pct,10000,0.18742346878549496,5
R4-I1,oracle1,g10_11_pq,7136,-0.31411614657801473,5
R4-I1,oracle1,g9_12_pq,7136,-0.4305457208880525,5
R4-I1,oracle1,relative_g10_11_pq,7136,-0.29524463202803436,5
R4-I1,oracle1,relative_g9_12_pq,7136,-0.41846339813044714,5
R4-I1,oracle1,count_1pct,7136,0.3538628517558291,4
R4-I1,oracle1,count_2pct,7136,0.42903206776983044,5
R4-I1,oracle1,count_5pct,7136,0.3922104660729609,5
