model,scope,observable,quintile,queries,observable_min,observable_max,observable_mean,mean_loss,harmful_rate
R0-I1,all,g10_11_pq,0,2000,0.0,88.21875,39.07367913818359,0.1257,0.8045
R0-I1,all,g10_11_pq,1,2000,88.375,215.8515625,148.76325561523439,0.1194,0.785
R0-I1,all,g10_11_pq,2,2000,215.939453125,408.1015625,303.8544606933594,0.10400000000000001,0.744
R0-I1,all,g10_11_pq,3,2000,408.28125,754.9375,559.4482956542969,0.08755000000000002,0.668
R0-I1,all,g10_11_pq,4,2000,755.12109375,8609.8984375,1336.1797329101562,0.060899999999999996,0.499
R0-I1,all,g9_12_pq,0,2000,4.9375,616.2421875,396.95449920654295,0.14705000000000001,0.8525
R0-I1,all,g9_12_pq,1,2000,616.49609375,982.296875,798.1598312988282,0.11495000000000001,0.7855
R0-I1,all,g9_12_pq,2,2000,982.53125,1403.13671875,1178.7608743896485,0.09880000000000001,0.7285
R0-I1,all,g9_12_pq,3,2000,1403.33203125,2077.9375,1706.8870190429689,0.08059999999999999,0.6485
R0-I1,all,g9_12_pq,4,2000,2079.2265625,14939.49609375,3070.830366455078,0.05615,0.4855
R0-I1,all,relative_g10_11_pq,0,2000,0.0,0.00191155302990439,0.0008443344666853174,0.11910000000000003,0.779
R0-I1,all,relative_g10_11_pq,1,2000,0.001912887075394613,0.004638137334526006,0.0032097446579205215,0.1169,0.7705
R0-I1,all,relative_g10_11_pq,2,2000,0.004640103765122249,0.008670297023131126,0.00652401062717281,0.1044,0.738
R0-I1,all,relative_g10_11_pq,3,2000,0.00867146701899843,0.01586324955459077,0.011834922021526804,0.09090000000000001,0.678
R0-I1,all,relative_g10_11_pq,4,2000,0.015870594847192474,0.21691528677169816,0.02922114495529663,0.06625,0.535
R0-I1,all,relative_g9_12_pq,0,2000,6.858221569823044e-05,0.013397650601189828,0.008851174200198663,0.13640000000000002,0.818
R0-I1,all,relative_g9_12_pq,1,2000,0.01340273244566997,0.02075441711760203,0.017047895547025797,0.11475000000000002,0.77
R0-I1,all,relative_g9_12_pq,2,2000,0.020759255351813867,0.029311351396995342,0.02490235188216638,0.09870000000000002,0.715
R0-I1,all,relative_g9_12_pq,3,2000,0.029312854164644648,0.042404987516207165,0.035212391655558166,0.08394999999999998,0.6555
R0-I1,all,relative_g9_12_pq,4,2000,0.04241895117766225,0.4464445346285362,0.06693303736835414,0.06375,0.542
R0-I1,all,count_1pct,0,1478,1.0,1.0,1.0,0.06569688768606224,0.5446549391069012
R0-I1,all,count_1pct,1,2442,2.0,2.0,2.0,0.08501228501228501,0.6584766584766585
R0-I1,all,count_1pct,2,2461,3.0,3.0,3.0,0.09744006501422187,0.7098740349451442
R0-I1,all,count_1pct,3,3619,4.0,12.0,4.915446255871788,0.12450953302017133,0.7850234871511467
R0-I1,all,count_2pct,0,1125,1.0,2.0,1.7484444444444445,0.05839999999999999,0.5031111111111111
R0-I1,all,count_2pct,1,1380,3.0,3.0,3.0,0.07550724637681158,0.6144927536231884
R0-I1,all,count_2pct,2,3291,4.0,5.0,4.505925250683683,0.09313278638711638,0.70495290185354
R0-I1,all,count_2pct,3,1407,6.0,6.0,6.0,0.10739161336176262,0.7434257285003554
R0-I1,all,count_2pct,4,2797,7.0,22.0,8.40757954951734,0.1314265284233107,0.7940650697175545
R0-I1,all,count_5pct,0,1763,1.0,7.0,5.473624503686898,0.07005104934770279,0.5836642087351106
R0-I1,all,count_5pct,1,1486,8.0,9.0,8.530955585464334,0.09057873485868102,0.699192462987887
R0-I1,all,count_5pct,2,2473,10.0,12.0,11.008896077638497,0.10020218358269309,0.7270521633643349
R0-I1,all,count_5pct,3,2056,13.0,15.0,13.926070038910506,0.11104085603112843,0.7446498054474708
R0-I1,all,count_5pct,4,2222,16.0,36.0,19.166966696669668,0.11741674167416744,0.7218721872187218
R0-I1,oracle1,g10_11_pq,0,1427,0.0,91.7578125,40.87634739277659,0.14498948843728102,0.8990889978976875
R0-I1,oracle1,g10_11_pq,1,1427,91.88671875,218.81640625,151.57915049327698,0.13566923615977577,0.8661527680448493
R0-I1,oracle1,g10_11_pq,2,1428,218.8828125,415.703125,309.33422680595675,0.11890756302521008,0.8361344537815126
R0-I1,oracle1,g10_11_pq,3,1426,415.796875,774.4140625,569.4225423633634,0.10056100981767181,0.7566619915848527
R0-I1,oracle1,g10_11_pq,4,1428,775.01171875,8609.8984375,1381.7221987427783,0.07030812324929972,0.5721288515406162
