model,scope,condition,metric,observed,n0_mean,condition_mean,denominator,gap_closure,invalid_draw_denominators,draw_mean,draw_std,draw_median,draw_p05,draw_p95
R0-I1,all,N0,loss,0.09951,0.1369737,0.1369737,0.0374637,0.0,0,0.0,0.0,0.0,0.0,0.0
R0-I1,all,N1,loss,0.09951,0.1369737,0.13267009999999999,0.0374637,0.11487386456756855,0,0.11454846833341242,0.02447824951960878,0.1155010478495312,0.07455842017035354,0.153913497790636
R0-I1,all,N2,loss,0.09951,0.1369737,0.10788170000000001,0.0374637,0.776538355795076,0,0.7764753958137288,0.013200595304879327,0.7771141756428587,0.7535001061370024,0.7967750060052603
R0-I1,all,N3,loss,0.09951,0.1369737,0.10136989999999997,0.0374637,0.9503546099290788,0,0.95033619227932,0.012040489071418437,0.9505737525532536,0.9315674840401815,0.9685448512517001
R0-I1,all,N4,loss,0.09951,0.1369737,0.10074600000000002,0.0374637,0.9670080638057635,0,0.9670075192992619,0.010046209190185331,0.9666154325420688,0.9491657544291485,0.9822247042820651
R0-I1,all,N_distance,loss,0.09951,0.1369737,0.11310470000000002,0.0374637,0.6371234021199184,0,0.6370442528336978,0.019834217230601442,0.6362768231010363,0.6077646967234533,0.6697776615062244
R0-I1,all,N0,inversions,5.5562,9.652975,9.652975,4.096775,0.0,0,0.0,0.0,0.0,0.0,0.0
R0-I1,all,N1,inversions,5.5562,9.652975,8.573886000000002,4.096775,0.2633996253150339,0,0.2631096832109234,0.018516315843787944,0.26513245645814265,0.23307707846844866,0.28968029066010864
R0-I1,all,N2,inversions,5.5562,9.652975,6.519551,4.096775,0.7648513769977604,0,0.7647620698162751,0.008313039551176099,0.7651487128048633,0.7514480842479717,0.7776908013977324
R0-I1,all,N3,inversions,5.5562,9.652975,5.721265,4.096775,0.9597085512384741,0,0.9596866518735203,0.005362523661261253,0.959863912259038,0.9515840107843976,0.9684713217995036
R0-I1,all,N4,inversions,5.5562,9.652975,5.711709,4.096775,0.9620411177084414,0,0.9620210796325013,0.004384876419223835,0.9623390174674671,0.9543572855292337,0.9683543514207495
R0-I1,all,N_distance,inversions,5.5562,9.652975,6.7528559999999995,4.096775,0.7079029236411568,0,0.7077561789129113,0.01582634830014501,0.7085368425765767,0.6808392262358645,0.7311798211667987
R0-I1,oracle1,N0,loss,0.1140835201793722,0.1551258408071749,0.1551258408071749,0.04104232062780269,0.0,0,0.0,0.0,0.0,0.0,0.0
R0-I1,oracle1,N1,loss,0.1140835201793722,0.1551258408071749,0.15263046524663676,0.04104232062780269,0.06080006009328168,0,0.06044950846680737,0.025733303387093644,0.06036500363886907,0.018838090489559152,0.10349789253673371
R0-I1,oracle1,N2,loss,0.1140835201793722,0.1551258408071749,0.12381712443946188,0.04104232062780269,0.7628398172617952,0,0.7627641455577481,0.01604485482999148,0.7630241522009815,0.7329613803911798,0.7879829578007648
R0-I1,oracle1,N3,loss,0.1140835201793722,0.1551258408071749,0.11638845291479819,0.04104232062780269,0.9438400972418557,0,0.9438207971931017,0.01256153242974289,0.9440426357535197,0.9216256186360015,0.9618918918918921
R0-I1,oracle1,N4,loss,0.1140835201793722,0.1551258408071749,0.11553951793721975,0.04104232062780269,0.9645244777688999,0,0.9645207519363704,0.009867271339270902,0.9637002480676966,0.9500175149946793,0.9800861007053425
R0-I1,oracle1,N_distance,loss,0.1140835201793722,0.1551258408071749,0.12917544843049328,0.04104232062780269,0.6322837495475933,0,0.6322541579674555,0.021900275265098024,0.6285822744226819,0.5991580391518379,0.6734847923579004
R0-I1,oracle1,N0,inversions,5.039237668161435,9.19635369955157,9.19635369955157,4.157116031390136,0.0,0,0.0,0.0,0.0,0.0,0.0
R0-I1,oracle1,N1,inversions,5.039237668161435,9.19635369955157,8.12628923766816,4.157116031390136,0.25740548346580105,0,0.25711043463500605,0.021451233141080953,0.2580206440772174,0.21806744823534008,0.28788657255535116
R0-I1,oracle1,N2,inversions,5.039237668161435,9.19635369955157,6.010552130044845,4.157116031390136,0.7663489653526453,0,0.7662714477403979,0.009632207567260973,0.766594387273865,0.7517747120657234,0.7803241157932835
R0-I1,oracle1,N3,inversions,5.039237668161435,9.19635369955157,5.231422365470853,4.157116031390136,0.9537697057627829,0,0.9537507390073141,0.005837675193692123,0.9535385254874824,0.9450026389382872,0.9625733675070971
R0-I1,oracle1,N4,inversions,5.039237668161435,9.19635369955157,5.212600896860987,4.157116031390136,0.9582972360187935,0,0.9582768521318509,0.0048582448475856166,0.959159537743934,0.9499965584732663,0.9663586328619942
R0-I1,oracle1,N_distance,inversions,5.039237668161435,9.19635369955157,6.285235426008968,4.157116031390136,0.7002735193246765,0,0.7001809604623145,0.016177251217768442,0.6995481701084107,0.6741034167817149,0.728505012682489
R1-I1,all,N0,loss,0.10763000000000002,0.142874,0.142874,0.035243999999999984,0.0,0,0.0,0.0,0.0,0.0,0.0
R1-I1,all,N1,loss,0.10763000000000002,0.142874,0.15252469999999999,0.035243999999999984,-0.2738253319713991,0,-0.2742550077359023,0.028527247307068702,-0.2710553837030385,-0.3232634838161527,-0.2334905969035874
R1-I1,all,N2,loss,0.10763000000000002,0.142874,0.11683379999999997,0.035243999999999984,0.7388548405402349,0,0.7387053485888444,0.017943965659966768,0.7380064067944772,0.7114978107952918,0.7686895950719135
R1-I1,all,N3,loss,0.10763000000000002,0.142874,0.1085289,0.035243999999999984,0.9744949494949501,0,0.9745022745403716,0.012981115791752543,0.9744346865402748,0.9541204910567868,0.9969772368298806
R1-I1,all,N4,loss,0.10763000000000002,0.142874,0.10886479999999998,0.035243999999999984,0.9649642492339131,0,0.9649341136311911,0.01203205835372992,0.9629756553655793,0.9472789115646265,0.9866122545064581
