model,scope,condition,target,queries,spearman
R0-I1,all,observed,loss,10000,-0.3560533330091463
R0-I1,all,N0,loss,10000,-0.5870533035585703
R0-I1,all,N0,excess,10000,0.06522321717696862
R0-I1,all,N1,loss,10000,-0.5390786435534372
R0-I1,all,N1,excess,10000,0.09153697352572093
R0-I1,all,N2,loss,10000,-0.46716671003785865
R0-I1,all,N2,excess,10000,0.048000809170152134
R0-I1,all,N3,loss,10000,-0.4283599263381726
R0-I1,all,N3,excess,10000,-0.0031046800553565677
R0-I1,all,N4,loss,10000,-0.4002058274619228
R0-I1,all,N4,excess,10000,0.018356142586065924
R0-I1,all,N_distance,loss,10000,-0.5861617164744559
R0-I1,all,N_distance,excess,10000,0.013499133610555266
R0-I1,oracle1,observed,loss,7136,-0.42430487863109106
R0-I1,oracle1,N0,loss,7136,-0.7697477687943558
R0-I1,oracle1,N0,excess,7136,0.08606491095174365
R0-I1,oracle1,N1,loss,7136,-0.7078979758343649
R0-I1,oracle1,N1,excess,7136,0.12056138314928942
R0-I1,oracle1,N2,loss,7136,-0.5734924681739179
R0-I1,oracle1,N2,excess,7136,0.06612519546378971
R0-I1,oracle1,N3,loss,7136,-0.5187685091458982
R0-I1,oracle1,N3,excess,7136,0.006953863988695757
R0-I1,oracle1,N4,loss,7136,-0.4813695907105981
R0-I1,oracle1,N4,excess,7136,0.03659914583927924
R0-I1,oracle1,N_distance,loss,7136,-0.7647018930682489
R0-I1,oracle1,N_distance,excess,7136,0.023006891983099995
R1-I1,all,observed,loss,10000,-0.3561413334124545
R1-I1,all,N0,loss,10000,-0.6023789437847927
R1-I1,all,N0,excess,10000,0.06821776971926859
R1-I1,all,N1,loss,10000,-0.5393872253623793
R1-I1,all,N1,excess,10000,0.10974053895202165
R1-I1,all,N2,loss,10000,-0.4782816699375692
R1-I1,all,N2,excess,10000,0.07457453591228486
R1-I1,all,N3,loss,10000,-0.4382965761214936
R1-I1,all,N3,excess,10000,0.020730172520481736
R1-I1,all,N4,loss,10000,-0.41091110745460785
R1-I1,all,N4,excess,10000,0.04772402579795645
R1-I1,all,N_distance,loss,10000,-0.6105841142324715
R1-I1,all,N_distance,excess,10000,0.03463339483832328
R1-I1,oracle1,observed,loss,7136,-0.43179559092039577
R1-I1,oracle1,N0,loss,7136,-0.7755358064491218
R1-I1,oracle1,N0,excess,7136,0.07972462432266755
R1-I1,oracle1,N1,loss,7136,-0.6948901333455164
R1-I1,oracle1,N1,excess,7136,0.12531957793870505
R1-I1,oracle1,N2,loss,7136,-0.5757335858348143
R1-I1,oracle1,N2,excess,7136,0.0762013581931963
R1-I1,oracle1,N3,loss,7136,-0.5241261402542831
R1-I1,oracle1,N3,excess,7136,0.015966212824284672
R1-I1,oracle1,N4,loss,7136,-0.4919349614951411
R1-I1,oracle1,N4,excess,7136,0.048516836483591515
R1-I1,oracle1,N_distance,loss,7136,-0.7864697536579485
R1-I1,oracle1,N_distance,excess,7136,0.038023854627171234
R2-I1,all,observed,loss,10000,-0.3654316831948324
R2-I1,all,N0,loss,10000,-0.6013272719002213
R2-I1,all,N0,excess,10000,0.05891350952451252
R2-I1,all,N1,loss,10000,-0.5401661021734517
R2-I1,all,N1,excess,10000,0.10161310994644805
R2-I1,all,N2,loss,10000,-0.4822471980748846
R2-I1,all,N2,excess,10000,0.062107545114565975
R2-I1,all,N3,loss,10000,-0.44597295382437213
R2-I1,all,N3,excess,10000,0.011490022199301547
R2-I1,all,N4,loss,10000,-0.41330101600015273
R2-I1,all,N4,excess,10000,0.03447740813334682
R2-I1,all,N_distance,loss,10000,-0.6081232128110229
R2-I1,all,N_distance,excess,10000,0.021770311902540612
R2-I1,oracle1,observed,loss,7136,-0.4423994851182199
R2-I1,oracle1,N0,loss,7136,-0.7728307946359185
R2-I1,oracle1,N0,excess,7136,0.0685086148679956
R2-I1,oracle1,N1,loss,7136,-0.6967031221773045
R2-I1,oracle1,N1,excess,7136,0.1183922691056657
R2-I1,oracle1,N2,loss,7136,-0.5841049860074273
R2-I1,oracle1,N2,excess,7136,0.06515223532105092
R2-I1,oracle1,N3,loss,7136,-0.5395012084019245
R2-I1,oracle1,N3,excess,7136,0.01171237792433634
R2-I1,oracle1,N4,loss,7136,-0.4974937651188284
R2-I1,oracle1,N4,excess,7136,0.03835508272799049
R2-I1,oracle1,N_distance,loss,7136,-0.7824533493568986
R2-I1,oracle1,N_distance,excess,7136,0.02264701501027352
R3-I1,all,observed,loss,10000,-0.35079341065029546
R3-I1,all,N0,loss,10000,-0.6003600916694067
R3-I1,all,N0,excess,10000,0.07538308262054304
R3-I1,all,N1,loss,10000,-0.5364998599738042
R3-I1,all,N1,excess,10000,0.1136488996198494
R3-I1,all,N2,loss,10000,-0.47797198455346274
R3-I1,all,N2,excess,10000,0.07991773449200493
R3-I1,all,N3,loss,10000,-0.4397071343959797
R3-I1,all,N3,excess,10000,0.02683300319770322
R3-I1,all,N4,loss,10000,-0.40746402931894693
R3-I1,all,N4,excess,10000,0.04547548587544253
R3-I1,all,N_distance,loss,10000,-0.6079836257182939
R3-I1,all,N_distance,excess,10000,0.03834554692263679
R3-I1,oracle1,observed,loss,7136,-0.42824395855148034
R3-I1,oracle1,N0,loss,7136,-0.7718687666030418
R3-I1,oracle1,N0,excess,7136,0.08526354489908422
R3-I1,oracle1,N1,loss,7136,-0.6986940956384916
R3-I1,oracle1,N1,excess,7136,0.13477816568475467
R3-I1,oracle1,N2,loss,7136,-0.5861036941919554
R3-I1,oracle1,N2,excess,7136,0.09024361478625506
R3-I1,oracle1,N3,loss,7136,-0.5380536642712731
R3-I1,oracle1,N3,excess,7136,0.03243219603232349
R3-I1,oracle1,N4,loss,7136,-0.4940883030966884
R3-I1,oracle1,N4,excess,7136,0.05311821873056088
R3-I1,oracle1,N_distance,loss,7136,-0.7841839858060282
R3-I1,oracle1,N_distance,excess,7136,0.04224286856136074
R4-I1,all,observed,loss,10000,-0.37289067438322915
R4-I1,all,N0,loss,10000,-0.6026662756682881
R4-I1,all,N0,excess,10000,0.05375994863743201
R4-I1,all,N1,loss,10000,-0.5353376210429382
R4-I1,all,N1,excess,10000,0.08499628761683493
R4-I1,all,N2,loss,10000,-0.4804845627115116
R4-I1,all,N2,excess,10000,0.049116823168899246
R4-I1,all,N3,loss,10000,-0.43824721545356476
R4-I1,all,N3,excess,10000,-0.01508451703217462
R4-I1,all,N4,loss,10000,-0.41317637198636065
R4-I1,all,N4,excess,10000,0.009875131830183664
R4-I1,all,N_distance,loss,10000,-0.6075330336768091
R4-I1,all,N_distance,excess,10000,0.013150329586943756
R4-I1,oracle1,observed,loss,7136,-0.4581279316207247
R4-I1,oracle1,N0,loss,7136,-0.7732373554799015
R4-I1,oracle1,N0,excess,7136,0.05484005271657305
R4-I1,oracle1,N1,loss,7136,-0.6957668127270282
R4-I1,oracle1,N1,excess,7136,0.0940751105969306
R4-I1,oracle1,N2,loss,7136,-0.586011183147765
R4-I1,oracle1,N2,excess,7136,0.04362998780271279
R4-I1,oracle1,N3,loss,7136,-0.5327984085998828
R4-I1,oracle1,N3,excess,7136,-0.029454007141227402
R4-I1,oracle1,N4,loss,7136,-0.5000026289296468
R4-I1,oracle1,N4,excess,7136,-0.001459646659282858
R4-I1,oracle1,N_distance,loss,7136,-0.782672902317868
R4-I1,oracle1,N_distance,excess,7136,0.007579109488739299
five_model_mean,all,observed,loss,10000,-0.5215879249889216
five_model_mean,all,N0,loss,10000,-0.6066917667726259
five_model_mean,all,N0,excess,10000,0.12566845711154978
five_model_mean,all,N1,loss,10000,-0.5794782024908328
five_model_mean,all,N1,excess,10000,0.19588666290318607
five_model_mean,all,N2,loss,10000,-0.5801107993217431
five_model_mean,all,N2,excess,10000,0.12657692946307972
five_model_mean,all,N3,loss,10000,-0.5615185527127827
five_model_mean,all,N3,excess,10000,0.01624956975966562
five_model_mean,all,N4,loss,10000,-0.547110861145829
five_model_mean,all,N4,excess,10000,0.02640797886295277
five_model_mean,all,N_distance,loss,10000,-0.6153485576528753
five_model_mean,all,N_distance,excess,10000,0.04603781434623334
five_model_mean,oracle1,observed,loss,7136,-0.6584011302024309
five_model_mean,oracle1,N0,loss,7136,-0.7851131419693911
