model,group,count,signed_mean,mae,std,variance,abs_p50,abs_p90,abs_p95,distance_min,distance_max,distance_mean
R0-I1,rank_1,10000,311.8476828186035,872.4190441467285,1094.8871250715072,1198777.8166473503,688.269775390625,1862.7226562500002,2319.3312499999997,,,
R0-I1,rank_2,10000,303.5787958679199,919.6355233215332,1169.8055718516277,1368445.075935114,717.6484375,1986.8929687500004,2469.483593749998,,,
R0-I1,rank_3,10000,287.16590372924804,941.2419793640137,1200.5560457668794,1441334.8190274052,739.375,2019.809765625,2499.7281249999983,,,
R0-I1,rank_4,10000,262.2550938415527,954.2753641052246,1226.2583689390597,1503709.587393083,754.3203125,2030.4089843750003,2560.5894531249987,,,
R0-I1,rank_5,10000,265.77137595825195,953.1574368347168,1219.8327940914119,1487992.0455408609,754.02734375,2017.8056640625002,2509.2564453124983,,,
R0-I1,rank_6,10000,263.641416796875,982.8265580078125,1256.9290906211013,1579870.738849589,776.595703125,2098.4085937500004,2558.497265624999,,,
R0-I1,rank_7,10000,242.34305169677734,976.0101073120118,1246.7237303193674,1554320.0597414388,780.255859375,2055.4453125,2527.3783203125,,,
R0-I1,rank_8,10000,256.81745972900393,984.9793285278321,1266.0407860634477,1602859.271976153,769.279296875,2125.4921875,2635.5341796875,,,
R0-I1,rank_9,10000,231.8316193725586,995.1866546264648,1285.0591544640658,1651377.0304719,774.5703125,2107.72578125,2656.1302734375,,,
R0-I1,rank_10,10000,236.1647309692383,992.046156262207,1283.55953064892,1647525.0687196755,783.0078125,2128.2234375000003,2665.0869140624986,,,
R0-I1,rank_11,10000,227.69050036621093,1015.0736009033203,1305.7146974182283,1704890.8710539753,809.1044921875,2178.891015625,2703.893945312499,,,
R0-I1,rank_12,10000,235.88240969238282,987.5774670166015,1267.728823251255,1607136.3693020118,784.8701171875,2117.0730468750003,2609.830859374998,,,
R0-I1,rank_13,10000,231.83266470947265,1001.6825088989258,1293.26331816537,1672530.010112103,790.51953125,2132.913671875,2633.6759765624984,,,
R0-I1,rank_14,10000,237.8950057861328,1009.2426017578125,1303.1237549681423,1698131.520762271,798.72265625,2163.1546875,2649.8072265624983,,,
R0-I1,rank_15,10000,212.46522357177736,1006.2621544311523,1299.901164931777,1689743.038590991,784.458984375,2188.042578125,2691.0515624999994,,,
R0-I1,rank_16,10000,222.21823182373046,1021.017274597168,1308.9983160429795,1713476.591403356,819.966796875,2173.675390625,2668.8054687499994,,,
R0-I1,rank_17,10000,236.00236955566407,1021.0435490966797,1309.44330400008,1714641.7663906459,809.4921875,2195.7664062500003,2689.969140624999,,,
R0-I1,rank_18,10000,228.71434669189452,1007.2082410766601,1296.4320922667923,1680736.1698592526,791.52734375,2157.5148437500015,2640.2949218749995,,,
R0-I1,rank_19,10000,214.20610811767577,1015.6802024536133,1308.4080485856425,1711931.621603689,802.1796875,2165.3718750000003,2661.4164062499985,,,
R0-I1,rank_20,10000,222.48024729003907,1023.2852911376954,1313.841473187237,1726179.4166668088,811.353515625,2167.8828125,2658.988671874999,,,
R0-I1,rank_21,10000,207.08381447753905,1019.0658340576172,1315.3294889759466,1730091.6645697246,816.40625,2190.15,2720.2083984374976,,,
R0-I1,rank_22,10000,211.71718979492186,1036.6435178710938,1336.386971460513,1785930.1374894017,819.6103515625,2216.6140625000003,2728.2322265624994,,,
R0-I1,rank_23,10000,225.29208592529298,1042.3143656616212,1342.8449693748719,1803232.6117754008,831.5625,2230.58046875,2728.496874999998,,,
R0-I1,rank_24,10000,229.58161245117188,1040.5472064697265,1330.0509148314945,1769035.4360440955,831.76171875,2198.6863281250003,2700.6937499999967,,,
R0-I1,rank_25,10000,227.97893677978516,1026.6100514770508,1328.3406981106752,1764489.010257156,799.5390625,2203.1669921875005,2725.3164062499995,,,
R0-I1,rank_26,10000,207.18440646972655,1039.9858295166016,1342.7388031881521,1802947.493587151,830.5302734375,2230.725,2769.1468749999995,,,
R0-I1,rank_27,10000,212.4094598022461,1031.2524537963868,1333.228869420781,1777499.2182570137,811.8515625,2187.6070312500005,2689.973632812499,,,
R0-I1,rank_28,10000,201.0338349243164,1036.5869700317382,1338.2747870431244,1790979.4056353203,822.2890625,2217.773046875,2712.4039062499996,,,
R0-I1,rank_29,10000,219.58762834472657,1036.5415318847656,1335.6046402753277,1783839.7551249873,824.2841796875,2216.368359375,2717.8570312499987,,,
R0-I1,rank_30,10000,200.73591834716797,1040.5850541870118,1349.1550784801852,1820219.4257888747,816.61328125,2219.283203125001,2721.507421874995,,,
R0-I1,rank31_40,100000,212.65555923339844,1050.5075273242187,1356.626112505567,1840434.4091319677,830.6298828125,2240.9582031250006,2776.0804687499995,,,
R0-I1,rank41_100,600000,180.55197319335937,1086.9847684224446,1406.6355213138863,1978623.4898219886,864.150390625,2310.59453125,2855.46875,,,
R0-I1,rank101plus,9353047,108.27841312987215,1354.0328234155136,1766.6486760556481,3121047.544609174,1079.6875,2861.854687500003,3537.875,,,
R0-I1,rank1_5,50000,286.12377044311523,928.1458695544434,1183.4027853482567,1400442.152370012,729.20703125,1985.8076171874993,2476.250488281249,,,
R0-I1,rank6_10,50000,246.1596557128906,986.2097609472656,1267.8084341199199,1607338.2256256032,777.0947265625,2099.92265625,2607.3681640624995,,,
R0-I1,rank1_10,100000,266.1417130780029,957.1778152508545,1226.4947907000462,1504289.4716143503,754.099609375,2045.46875,2538.0960937499995,,,
R0-I1,rank11_20,100000,226.93871076049805,1010.8072891369629,1300.773653887652,1692012.0986482333,800.193359375,2163.5167968750006,2661.640625,,,
R0-I1,rank21plus,10153047,114.62134232232312,1332.1198630207684,1740.180791065286,3028229.1855926043,1059.28125,2820.609375,3490.6875,,,
R0-I1,pooled_distance_quantile_1,1035268,81.70985167187828,823.772751458908,1065.8877548396242,1136116.7059170548,660.45703125,1745.515625,2141.7369140624996,433.0,49672.0,37625.55852301047
R0-I1,pooled_distance_quantile_2,1035290,88.8526465222003,1025.5783848947215,1307.3631858340523,1709198.4996741628,845.203125,2131.328125,2586.21484375,49673.0,61402.0,55946.7919037178
R0-I1,pooled_distance_quantile_3,1035331,99.43967922079388,1126.8811986328226,1436.3546198043057,2063114.5938331718,928.54296875,2341.61328125,2837.12890625,61403.0,70165.0,65925.25303308797
