scope,L,fraction,policy,selected_queries,recall,recall_gain,exact_distance_evals_per_query,recovery_fraction,recall_gain_per_exact_eval,random_mean_recall,random_recall_p025,random_recall_p975,gap_vs_random_recall,recovery_vs_random,selector_efficiency,exceeds_random_p975,random_std
all,16,0.1,GAP,1000,0.86376,0.0132,1.6,0.1309134186254091,0.008249999999999999,0.8595929999999999,0.8591847499999999,0.86006575,0.004167000000000032,0.04132698601606696,0.2945500812893211,True,
all,16,0.1,ORACLE-QUERY,1000,0.87374,0.02318,1.6,0.22989189725280174,0.014487499999999999,0.8595929999999999,0.8591847499999999,0.86006575,0.01414700000000002,0.1403054646434595,1.0,True,
all,16,0.1,FULL-LOSS-SELECTOR,1000,0.87209,0.02153,1.6,0.2135277199246256,0.01345625,0.8595929999999999,0.8591847499999999,0.86006575,0.012497000000000091,0.12394128731528405,0.883367498409562,True,
all,16,0.1,RANDOM,1000,0.8595929999999999,0.009032999999999958,1.6,0.08958643260934204,0.005645624999999974,0.8595929999999999,0.8591847499999999,0.86006575,,,,,0.00021010579345759326
all,16,0.25,GAP,2500,0.88125,0.03069,4.0,0.3043736983040761,0.0076725,0.8731715,0.8726495,0.873721,0.008078499999999988,0.08012000396707318,0.310371323741283,True,
all,16,0.25,ORACLE-QUERY,2500,0.8992,0.04864,4.0,0.4823961122681742,0.01216,0.8731715,0.8726495,0.873721,0.02602850000000001,0.2581424179311714,1.0,True,
all,16,0.25,FULL-LOSS-SELECTOR,2500,0.89873,0.04817,4.0,0.4777348011504512,0.0120425,0.8731715,0.8726495,0.873721,0.02555850000000004,0.25348110681344876,0.9819428703152325,True,
all,16,0.25,RANDOM,2500,0.8731715,0.022611500000000007,4.0,0.22425369433700293,0.005652875000000002,0.8731715,0.8726495,0.873721,,,,,0.00030594901205886695
all,16,0.5,GAP,5000,0.9062,0.05564,8.0,0.5518198948725578,0.006955,0.8957735999999998,0.89496,0.89643525,0.010426400000000169,0.10340573242090814,0.3667858047448886,True,
all,16,0.5,ORACLE-QUERY,5000,0.9242,0.07364,8.0,0.7303381929981156,0.009205,0.8957735999999998,0.89496,0.89643525,0.028426400000000185,0.2819240305464662,1.0,True,
all,16,0.5,FULL-LOSS-SELECTOR,5000,0.92206,0.0715,8.0,0.7091143508876325,0.0089375,0.8957735999999998,0.89496,0.89643525,0.026286400000000154,0.26070018843598286,0.9247178678974468,True,
all,16,0.5,RANDOM,5000,0.8957735999999998,0.045213599999999854,8.0,0.44841416245164983,0.005651699999999982,0.8957735999999998,0.89496,0.89643525,,,,,0.0003984554016081432
all,32,0.1,GAP,1000,0.86605,0.01549,3.2,0.15362491322027175,0.0048406249999999994,0.8606256000000001,0.8601395,0.861051,0.005424399999999885,0.05379748090845864,0.3577062066418676,True,
all,32,0.1,ORACLE-QUERY,1000,0.87579,0.02523,3.2,0.2502231478726569,0.007884374999999999,0.8606256000000001,0.8601395,0.861051,0.015164399999999856,0.15039571556084355,1.0,True,
all,32,0.1,FULL-LOSS-SELECTOR,1000,0.8757699999999999,0.02521,3.2,0.250024794208073,0.007878125,0.8606256000000001,0.8601395,0.861051,0.015144399999999836,0.1501973618962594,0.998681121574212,True,
all,32,0.1,RANDOM,1000,0.8606256000000001,0.010065600000000119,3.2,0.09982743231181314,0.003145500000000037,0.8606256000000001,0.8601395,0.861051,,,,,0.00021613370347490493
all,32,0.25,GAP,2500,0.88595,0.03539,8.0,0.3509868094813051,0.00442375,0.8757605,0.8751395,0.87635575,0.010189499999999962,0.10105623326390918,0.3393163389333817,True,
all,32,0.25,ORACLE-QUERY,2500,0.90579,0.05523,8.0,0.5477536447485867,0.00690375,0.8757605,0.8751395,0.87635575,0.03002949999999993,0.29782306853119045,1.0,True,
all,32,0.25,FULL-LOSS-SELECTOR,2500,0.90576,0.0552,8.0,0.5474561142517108,0.0069,0.8757605,0.8751395,0.87635575,0.029999499999999957,0.29752553803431475,0.9990009823673396,True,
all,32,0.25,RANDOM,2500,0.8757605,0.02520050000000007,8.0,0.2499305762173963,0.0031500625000000088,0.8757605,0.8751395,0.87635575,,,,,0.0003316514386636687
all,32,0.5,GAP,5000,0.91354,0.06298,16.0,0.6246156897748685,0.00393625,0.9009435,0.9001675,0.90161725,0.01259650000000001,0.12492809679658842,0.42161899820929566,True,
all,32,0.5,ORACLE-QUERY,5000,0.93082,0.08026,16.0,0.7959932559754042,0.00501625,0.9009435,0.9001675,0.90161725,0.029876499999999973,0.2963056629971236,1.0,True,
all,32,0.5,FULL-LOSS-SELECTOR,5000,0.9308,0.08024,16.0,0.7957949023108202,0.005015,0.9009435,0.9001675,0.90161725,0.029856499999999953,0.2961073093325394,0.999330577544223,True,
all,32,0.5,RANDOM,5000,0.9009435,0.050383500000000025,16.0,0.4996875929782805,0.0031489687500000016,0.9009435,0.9001675,0.90161725,,,,,0.0004165524085765367
all,64,0.1,GAP,1000,0.8661,0.01554,6.4,0.15412079738173162,0.0024281249999999997,0.8606374999999999,0.8601395,0.86106625,0.005462500000000037,0.05417534463949258,0.35931590198980656,True,
all,64,0.1,ORACLE-QUERY,1000,0.87584,0.02528,6.4,0.25071903203411683,0.0039499999999999995,0.8606374999999999,0.8601395,0.86106625,0.015202500000000008,0.15077357929187749,1.0,True,
all,64,0.1,FULL-LOSS-SELECTOR,1000,0.87584,0.02528,6.4,0.25071903203411683,0.0039499999999999995,0.8606374999999999,0.8601395,0.86106625,0.015202500000000008,0.15077357929187749,1.0,True,
all,64,0.1,RANDOM,1000,0.8606374999999999,0.010077499999999961,6.4,0.09994545274223902,0.001574609374999994,0.8606374999999999,0.8601395,0.86106625,,,,,0.00021863384361932574
all,64,0.25,GAP,2500,0.88602,0.03546,16.0,0.351681047307349,0.00221625,0.8757874999999999,0.8751647499999999,0.87637625,0.010232500000000089,0.10148269364276592,0.34048748024291076,True,
all,64,0.25,ORACLE-QUERY,2500,0.90584,0.05528,16.0,0.5482495289100466,0.003455,0.8757874999999999,0.8751647499999999,0.87637625,0.030052500000000038,0.29805117524546304,1.0,True,
all,64,0.25,FULL-LOSS-SELECTOR,2500,0.90584,0.05528,16.0,0.5482495289100466,0.003455,0.8757874999999999,0.8751647499999999,0.87637625,0.030052500000000038,0.29805117524546304,1.0,True,
all,64,0.25,RANDOM,2500,0.8757874999999999,0.02522749999999996,16.0,0.25019835366458354,0.0015767187499999974,0.8757874999999999,0.8751647499999999,0.87637625,,,,,0.0003332859814851831
all,64,0.5,GAP,5000,0.91362,0.06306,32.0,0.6254091044332044,0.001970625,0.9009954,0.9002074999999999,0.90167725,0.012624599999999986,0.12520678369532862,0.4221624766758294,True,
all,64,0.5,ORACLE-QUERY,5000,0.9309,0.08034,32.0,0.7967866706337399,0.002510625,0.9009954,0.9002074999999999,0.90167725,0.029904599999999948,0.2965843498958638,1.0,True,
all,64,0.5,FULL-LOSS-SELECTOR,5000,0.9309,0.08034,32.0,0.7967866706337399,0.002510625,0.9009954,0.9002074999999999,0.90167725,0.029904599999999948,0.2965843498958638,1.0,True,
all,64,0.5,RANDOM,5000,0.9009954,0.05043540000000002,32.0,0.5002023207378758,0.0015761062500000006,0.9009954,0.9002074999999999,0.90167725,,,,,0.000419584739397599
shard0,16,0.1,GAP,250,0.86048,0.01324,1.6,0.12874367950213925,0.008275,0.8564284000000001,0.855739,0.857202,0.004051599999999933,0.03939712174251199,0.2827039548968688,True,
shard0,16,0.1,ORACLE-QUERY,250,0.87076,0.02352,1.6,0.22870478413068843,0.0147,0.8564284000000001,0.855739,0.857202,0.014331599999999889,0.13935822637106077,1.0,True,
shard0,16,0.1,FULL-LOSS-SELECTOR,250,0.8692,0.02196,1.6,0.21353558926487748,0.013725,0.8564284000000001,0.855739,0.857202,0.012771599999999883,0.12418903150524974,0.8911496273968003,True,
shard0,16,0.1,RANDOM,250,0.8564284000000001,0.009188400000000096,1.6,0.08934655775962755,0.00574275000000006,0.8564284000000001,0.855739,0.857202,,,,,0.0003804216692890241
