scope,feature,quintile,queries,min,max,mean_ranking_loss,harmful_fraction,available_rerank_gain,top16_gain,top32_gain,top64_gain
all,g9_12_pq,1,2000,12.1640625,626.7734375,0.14640000000000003,0.847,0.14640000000000003,0.1258,0.14604999999999999,0.1464
all,g9_12_pq,2,2000,627.140625,977.45703125,0.11555000000000001,0.7795,0.11555000000000001,0.1049,0.1155,0.11555
all,g9_12_pq,3,2000,977.47265625,1403.35546875,0.10165,0.742,0.10165,0.0913,0.1016,0.10164999999999999
all,g9_12_pq,4,2000,1403.521484375,2035.2109375,0.08435000000000001,0.6665,0.08435000000000001,0.07780000000000001,0.0843,0.08435000000000001
all,g9_12_pq,5,2000,2035.34375,12956.173828125,0.0562,0.4925,0.0562,0.052500000000000005,0.05620000000000001,0.05620000000000001
all,g9_12_rel,1,2000,0.00029516461778125117,0.013295422161633949,0.131,0.7945,0.131,0.11455,0.13095,0.131
all,g9_12_rel,2,2000,0.01329970468372277,0.0205014317394704,0.11725000000000002,0.7685,0.11725000000000002,0.1044,0.11699999999999999,0.11725000000000001
all,g9_12_rel,3,2000,0.020508873872307178,0.028941572170505667,0.1029,0.7305,0.1029,0.09315,0.10285,0.10289999999999999
all,g9_12_rel,4,2000,0.028944014742066784,0.0424712478898644,0.08795000000000001,0.6815,0.08795000000000001,0.07944999999999999,0.08785,0.08795
all,g9_12_rel,5,2000,0.042511221256220436,0.44330385158886787,0.06505,0.5525,0.06505,0.060750000000000005,0.065,0.06505
shard0,g9_12_pq,1,500,12.1640625,613.798828125,0.1534,0.86,0.1534,0.132,0.1532,0.1534
shard0,g9_12_pq,2,500,615.53125,960.609375,0.118,0.77,0.118,0.10600000000000001,0.11779999999999999,0.118
shard0,g9_12_pq,3,500,962.0234375,1402.287109375,0.1024,0.76,0.1024,0.0896,0.1022,0.1024
shard0,g9_12_pq,4,500,1403.521484375,2014.8828125,0.0848,0.674,0.0848,0.07980000000000001,0.0848,0.0848
shard0,g9_12_pq,5,500,2015.951171875,12956.173828125,0.055600000000000004,0.472,0.055600000000000004,0.0518,0.055600000000000004,0.055600000000000004
shard0,g9_12_rel,1,500,0.00029516461778125117,0.012959919156997667,0.13539999999999996,0.796,0.13539999999999996,0.119,0.13520000000000001,0.13540000000000002
shard0,g9_12_rel,2,500,0.01296459722915319,0.02044707884027087,0.12380000000000001,0.792,0.12380000000000001,0.1076,0.1238,0.1238
shard0,g9_12_rel,3,500,0.020447157879544566,0.028908528908281748,0.10480000000000002,0.728,0.10480000000000002,0.09419999999999999,0.1046,0.1048
shard0,g9_12_rel,4,500,0.028921798176765295,0.04232099435127453,0.08620000000000001,0.674,0.08620000000000001,0.0782,0.0862,0.0862
shard0,g9_12_rel,5,500,0.04235408311421606,0.37117305273165974,0.064,0.546,0.064,0.0602,0.0638,0.064
shard1,g9_12_pq,1,500,18.158203125,627.82421875,0.148,0.856,0.148,0.1252,0.1476,0.148
shard1,g9_12_pq,2,500,628.2265625,992.91796875,0.1174,0.788,0.1174,0.1072,0.11739999999999999,0.11739999999999999
shard1,g9_12_pq,3,500,993.671875,1406.453125,0.09720000000000001,0.714,0.09720000000000001,0.0886,0.0972,0.0972
shard1,g9_12_pq,4,500,1406.6328125,2021.3515625,0.0848,0.652,0.0848,0.078,0.0848,0.0848
shard1,g9_12_pq,5,500,2022.09765625,12090.40625,0.0606,0.536,0.0606,0.0566,0.0606,0.0606
shard1,g9_12_rel,1,500,0.0006686330921038962,0.01339716265932066,0.13240000000000002,0.802,0.13240000000000002,0.1152,0.13240000000000002,0.13240000000000002
shard1,g9_12_rel,2,500,0.013402977412138872,0.020643857101980693,0.1154,0.768,0.1154,0.1038,0.1152,0.11539999999999999
shard1,g9_12_rel,3,500,0.020644339816353968,0.028959385619331902,0.10280000000000002,0.724,0.10280000000000002,0.093,0.1028,0.1028
shard1,g9_12_rel,4,500,0.02900614138281286,0.042968247404235056,0.08979999999999999,0.678,0.08979999999999999,0.08120000000000001,0.0896,0.0898
shard1,g9_12_rel,5,500,0.04300261803329999,0.28640246566707755,0.0676,0.574,0.0676,0.0624,0.06760000000000001,0.06760000000000001
shard2,g9_12_pq,1,500,15.54296875,619.08203125,0.1438,0.85,0.1438,0.1232,0.14379999999999998,0.14379999999999998
shard2,g9_12_pq,2,500,619.81640625,992.09765625,0.1186,0.818,0.1186,0.10880000000000001,0.1186,0.1186
shard2,g9_12_pq,3,500,993.50390625,1406.4375,0.09559999999999999,0.726,0.09559999999999999,0.0878,0.09559999999999999,0.09559999999999999
shard2,g9_12_pq,4,500,1406.65625,2075.03125,0.086,0.696,0.086,0.0784,0.0858,0.086
