scope,L,fraction,replicate,recall,recall_gain,exact_distance_evals_per_query
all,16,0.1,0,0.85968,0.00912,1.6
all,16,0.1,1,0.85956,0.009,1.6
all,16,0.1,2,0.8597199999999999,0.00916,1.6
all,16,0.1,3,0.85951,0.00895,1.6
all,16,0.1,4,0.85956,0.009,1.6
all,16,0.1,5,0.85953,0.00897,1.6
all,16,0.1,6,0.8597899999999999,0.00923,1.6
all,16,0.1,7,0.85935,0.00879,1.6
all,16,0.1,8,0.85978,0.00922,1.6
all,16,0.1,9,0.86018,0.00962,1.6
all,16,0.1,10,0.85966,0.0091,1.6
all,16,0.1,11,0.85926,0.0087,1.6
all,16,0.1,12,0.8593999999999999,0.00884,1.6
all,16,0.1,13,0.85964,0.00908,1.6
all,16,0.1,14,0.85947,0.00891,1.6
all,16,0.1,15,0.85957,0.00901,1.6
all,16,0.1,16,0.8596699999999999,0.00911,1.6
all,16,0.1,17,0.85941,0.00885,1.6
all,16,0.1,18,0.85953,0.00897,1.6
all,16,0.1,19,0.8596,0.00904,1.6
all,16,0.1,20,0.85969,0.00913,1.6
all,16,0.1,21,0.85948,0.00892,1.6
all,16,0.1,22,0.85946,0.0089,1.6
all,16,0.1,23,0.85983,0.00927,1.6
all,16,0.1,24,0.8596699999999999,0.00911,1.6
all,16,0.1,25,0.85919,0.00863,1.6
all,16,0.1,26,0.85936,0.0088,1.6
all,16,0.1,27,0.86008,0.00952,1.6
all,16,0.1,28,0.86005,0.00949,1.6
all,16,0.1,29,0.85999,0.00943,1.6
all,16,0.1,30,0.85957,0.00901,1.6
all,16,0.1,31,0.8594999999999999,0.00894,1.6
all,16,0.1,32,0.8596199999999999,0.00906,1.6
all,16,0.1,33,0.85948,0.00892,1.6
all,16,0.1,34,0.8597,0.00914,1.6
all,16,0.1,35,0.85953,0.00897,1.6
all,16,0.1,36,0.85991,0.00935,1.6
all,16,0.1,37,0.85959,0.00903,1.6
all,16,0.1,38,0.85938,0.00882,1.6
all,16,0.1,39,0.85982,0.00926,1.6
all,16,0.1,40,0.85965,0.00909,1.6
all,16,0.1,41,0.85977,0.00921,1.6
all,16,0.1,42,0.85932,0.00876,1.6
all,16,0.1,43,0.8596199999999999,0.00906,1.6
all,16,0.1,44,0.85922,0.00866,1.6
all,16,0.1,45,0.85985,0.00929,1.6
all,16,0.1,46,0.85954,0.00898,1.6
all,16,0.1,47,0.85948,0.00892,1.6
all,16,0.1,48,0.85954,0.00898,1.6
all,16,0.1,49,0.85988,0.00932,1.6
all,16,0.1,50,0.8597,0.00914,1.6
all,16,0.1,51,0.8596699999999999,0.00911,1.6
all,16,0.1,52,0.85961,0.00905,1.6
all,16,0.1,53,0.85973,0.00917,1.6
all,16,0.1,54,0.8598,0.00924,1.6
all,16,0.1,55,0.85951,0.00895,1.6
all,16,0.1,56,0.8593,0.00874,1.6
all,16,0.1,57,0.85915,0.00859,1.6
all,16,0.1,58,0.85974,0.00918,1.6
all,16,0.1,59,0.85951,0.00895,1.6
all,16,0.1,60,0.85977,0.00921,1.6
all,16,0.1,61,0.85948,0.00892,1.6
all,16,0.1,62,0.85954,0.00898,1.6
all,16,0.1,63,0.85987,0.00931,1.6
all,16,0.1,64,0.85961,0.00905,1.6
all,16,0.1,65,0.8597,0.00914,1.6
all,16,0.1,66,0.85975,0.00919,1.6
all,16,0.1,67,0.85946,0.0089,1.6
all,16,0.1,68,0.85947,0.00891,1.6
all,16,0.1,69,0.86004,0.00948,1.6
all,16,0.1,70,0.85949,0.00893,1.6
all,16,0.1,71,0.85963,0.00907,1.6
all,16,0.1,72,0.85969,0.00913,1.6
all,16,0.1,73,0.8594499999999999,0.00889,1.6
all,16,0.1,74,0.85965,0.00909,1.6
all,16,0.1,75,0.85969,0.00913,1.6
all,16,0.1,76,0.85943,0.00887,1.6
all,16,0.1,77,0.85938,0.00882,1.6
all,16,0.1,78,0.85947,0.00891,1.6
all,16,0.1,79,0.85966,0.0091,1.6
all,16,0.1,80,0.85956,0.009,1.6
all,16,0.1,81,0.85937,0.00881,1.6
all,16,0.1,82,0.85971,0.00915,1.6
all,16,0.1,83,0.8596199999999999,0.00906,1.6
all,16,0.1,84,0.8591,0.00854,1.6
all,16,0.1,85,0.85973,0.00917,1.6
all,16,0.1,86,0.85975,0.00919,1.6
all,16,0.1,87,0.85961,0.00905,1.6
all,16,0.1,88,0.86018,0.00962,1.6
all,16,0.1,89,0.8592299999999999,0.00867,1.6
