scope,L,fraction,policy,metric,recall,random_mean,random_p975,advantage,exceeds_random_p975,candidate_recoverable_gap
all,16,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86391,0.8597288000000001,0.86022525,0.004181199999999885,True,0.10133
all,16,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87384,0.8597288000000001,0.86022525,0.01411119999999988,True,0.10133
all,16,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87218,0.8597288000000001,0.86022525,0.012451199999999885,True,0.10133
all,16,0.25,GAP,"tie-aware recall, unchanged primary selections",0.88147,0.8733745999999999,0.87393,0.008095400000000086,True,0.10133
all,16,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.89931,0.8733745999999999,0.87393,0.025935400000000164,True,0.10133
all,16,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.89883,0.8733745999999999,0.87393,0.025455400000000128,True,0.10133
all,16,0.5,GAP,"tie-aware recall, unchanged primary selections",0.90657,0.8960863999999998,0.89675525,0.010483600000000148,True,0.10133
all,16,0.5,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.92437,0.8960863999999998,0.89675525,0.028283600000000186,True,0.10133
all,16,0.5,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.92222,0.8960863999999998,0.89675525,0.0261336000000002,True,0.10133
all,32,0.1,GAP,"tie-aware recall, unchanged primary selections",0.86621,0.8607662,0.8612,0.005443799999999999,True,0.10133
all,32,0.1,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.87589,0.8607662,0.8612,0.01512379999999991,True,0.10133
all,32,0.1,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.87587,0.8607662,0.8612,0.0151038,True,0.10133
all,32,0.25,GAP,"tie-aware recall, unchanged primary selections",0.8862,0.8759742000000001,0.87658775,0.01022579999999984,True,0.10133
all,32,0.25,ORACLE-QUERY,"tie-aware recall, unchanged primary selections",0.90592,0.8759742000000001,0.87658775,0.0299457999999998,True,0.10133
all,32,0.25,FULL-LOSS-SELECTOR,"tie-aware recall, unchanged primary selections",0.90589,0.8759742000000001,0.87658775,0.029915799999999826,True,0.10133
