method,replicate,amortized_us_per_query,refine_final_us_per_query,mean_batch_completion_us,p95_batch_completion_us,qps,same_streaming_results
scalar-deferred32,0,182.53224628122368,0.5712414397979232,5832.846578475336,6096.9087500000005,5478.484050754081,True
scalar-deferred32,1,182.3576565394331,0.5676577322481056,5827.267535874441,6068.89075,5483.729167049038,True
scalar-deferred32,2,182.3816538731406,0.5754769856862195,5828.034374439461,6090.5647500000005,5483.007631324426,True
scalar-deferred32,3,182.36354848442326,0.5762724529890542,5827.455813901346,6073.56225,5483.551994413049,True
scalar-deferred32,4,181.88892927308444,0.5778603003087285,5812.289282511209,6050.894,5497.860721905839,True
scalar-deferred32,5,182.8910705865843,0.5757147067078304,5844.312865470852,6136.8905,5467.735503940745,True
scalar-deferred32,6,182.22350091215267,0.5653900505192254,5822.980571748879,6066.89325,5487.766369290016,True
indexed-batch32,0,183.11689412012348,0.6583595986528206,5851.529091928251,6104.651250000001,5460.992579657924,True
indexed-batch32,1,182.08714341846758,0.6570834268874545,5818.623246636771,6060.701499999999,5491.8759294379615,True
indexed-batch32,2,181.97039552343531,0.6585992141453832,5814.892549327355,6050.744000000001,5495.399386936067,True
indexed-batch32,3,182.43601606792026,0.6618192534381139,5829.771526905829,6097.9865,5481.37380739395,True
indexed-batch32,4,182.1747163205164,0.6581264383946113,5821.421652466368,6054.70275,5489.235938979643,True
indexed-batch32,5,182.26594821779398,0.650945130507999,5824.3369820627795,6052.54625,5486.488341777785,True
indexed-batch32,6,182.5773619842829,0.6532900645523434,5834.288257847534,6075.42925,5477.130292232421,True
