policy,components,replicate,mean_us,median_us,p90_us,p95_us,p99_us,qps,stream_qps,stream_us_per_query,scratch_bytes
NATIVE,0,0,161.59055444849847,163.487,183.1008,189.6077,203.86598,6188.480529774506,6186.622298843849,161.63909023294974,4024576
NATIVE,0,1,161.5579458321639,163.4345,183.1373,189.74235000000002,203.37944,6189.7296035124145,6187.861522916785,161.60671926747122,4024576
NATIVE,0,2,160.94057598933483,162.9555,181.9006,188.11545,202.65787999999998,6213.473475242612,6211.636527797082,160.98817043222002,4024576
NATIVE,0,3,161.56369751613806,163.50650000000002,183.128,188.8957,203.18056999999996,6189.509248512422,6187.67804870463,161.61151115632896,4024576
NATIVE,0,4,161.58077820656752,163.46249999999998,183.28279999999998,189.369,203.20329,6188.854956012055,6187.0584798540485,161.62769484984565,4024576
NATIVE,0,5,161.9069618299186,163.948,183.45669999999998,189.54184999999998,203.46839,6176.386664895167,6174.596094712413,161.95391320516418,4024576
NATIVE,0,6,162.40831532416505,164.3125,184.4113,190.55079999999995,205.16127,6157.320196345932,6155.483066617869,162.45678676676957,4024576
NATIVE,1,0,161.51997074094865,163.27249999999998,183.0774,189.31905,204.23519,6191.184875855598,6189.203474248833,161.57167948358125,4024576
NATIVE,1,1,162.13814559360088,163.9445,183.6804,189.95794999999998,204.32882999999998,6167.580098680166,6165.631584442287,162.18938584058378,4024576
NATIVE,1,2,161.37715731125454,163.433,182.75730000000001,189.23385,202.90337,6196.663869045979,6194.702968952052,161.42824038731408,4024576
NATIVE,1,3,162.2961569604266,164.239,184.2337,190.54505,204.90545,6161.5753492168915,6159.65810291285,162.34667302834688,4024576
NATIVE,1,4,162.21029301150716,164.195,183.7809,189.7813,204.48525,6164.836900510748,6162.908517960659,162.2610488352512,4024576
NATIVE,1,5,161.7344719337637,163.619,183.3634,189.58459999999997,202.71520999999998,6182.973784398525,6181.071779353634,161.7842399663205,4024576
NATIVE,1,6,162.1139190289082,163.8705,183.9697,190.77334999999994,204.44275,6168.501791765824,6166.628970341844,162.16315345214704,4024576
GAP,0,0,182.67554869492,184.9715,208.48940000000002,215.93879999999996,231.42418999999998,5474.186376579959,5472.7362052414865,182.72395425203482,4024576
GAP,0,1,182.49182928711758,184.96800000000002,208.26340000000002,215.6496,231.38897,5479.697386487822,5478.246911664058,182.54014762840302,4024576
GAP,0,2,182.4595892506315,184.7415,208.1745,215.52925,231.3908,5480.665631809423,5479.246553819672,182.50684472354757,4024576
GAP,0,3,182.38800617457198,184.8315,208.4024,215.2573,231.25495999999998,5482.816666370341,5481.362088172194,182.43640611843952,4024576
GAP,0,4,182.43030276452427,184.8515,207.942,215.19244999999998,230.67542,5481.545471591805,5480.114390581979,182.4779427448779,4024576
GAP,0,5,182.25064468144822,184.5275,208.3193,215.69774999999998,231.76317,5486.949040689965,5485.631713331449,182.29441060903733,4024576
GAP,0,6,182.29378676676956,184.5805,208.5492,215.93834999999996,230.54243999999997,5485.650486154093,5484.336057220369,182.33747705585182,4024576
GAP,1,0,183.03172754701095,185.4185,209.0298,216.66925,232.30259999999998,5463.533636501104,5458.019339790704,183.2166465057536,4024576
GAP,1,1,182.6343238142015,184.961,208.6925,216.37389999999994,231.84096,5475.422029745762,5473.8958355423565,182.68524466741508,4024576
GAP,1,2,182.53389671625035,185.10000000000002,208.2436,215.32515,230.10825,5478.434515395811,5476.87283153669,182.58594470951445,4024576
GAP,1,3,182.28458174291328,184.635,207.943,215.2526,230.57095999999999,5485.927501045366,5484.4326303878715,182.33426634858267,4024576
GAP,1,4,182.32715282065675,184.65449999999998,207.9527,214.80425,230.23723999999999,5484.646606551435,5483.140363104442,182.37723891383666,4024576
GAP,1,5,181.2730094021892,183.6135,206.85,213.85199999999998,228.61167999999998,5516.541063106129,5515.100572131085,181.32035616053886,4024576
GAP,1,6,181.55082977827672,183.844,207.0476,214.46205,230.21117999999993,5508.0993087240295,5506.710535531753,181.59661626438395,4024576
RANDOM,0,0,170.99349122930113,169.378,207.29809999999998,217.36235,234.92734999999993,5848.175815411632,5846.51313804664,171.0421197024979,4024576
RANDOM,0,1,171.0611083356722,169.47899999999998,207.2167,217.25519999999997,235.06323,5845.86414603199,5844.2276846512705,171.109007718215,4024576
RANDOM,0,2,171.22661422958183,169.55349999999999,207.25599999999997,218.05194999999998,236.21946999999997,5840.213593543309,5838.57648590092,171.27462531574517,4024576
RANDOM,0,3,171.07502441762557,169.4125,207.51379999999997,218.27769999999998,234.83062999999999,5845.3886147566245,5843.763846661997,171.1225891804659,4024576
RANDOM,0,4,171.47485496772381,169.65449999999998,207.7916,218.29904999999997,234.44137,5831.758832443549,5830.130787035139,171.52273877350547,4024576
RANDOM,0,5,171.257913064833,169.49450000000002,206.60479999999998,217.69105,235.53588,5839.146245005512,5837.583529954877,171.30375863036767,4024576
RANDOM,0,6,170.66175659556552,169.1845,206.3952,216.59645,234.22072,5859.543578763234,5857.969605703568,170.70761156328936,4024576
RANDOM,1,0,172.05952119000844,170.38549999999998,208.6217,219.3458,238.77175999999997,5811.942245821328,5810.192202470774,172.1113459163626,4024576
RANDOM,1,1,170.83005732528767,169.0595,207.1545,217.3955,234.17515,5853.770792196367,5852.014336998237,170.88133118158854,4024576
RANDOM,1,2,171.0187972214426,169.112,207.25769999999997,217.62595,235.17341,5847.310449185046,5845.544470448983,171.07046316306483,4024576
RANDOM,1,3,170.91441502946952,169.20499999999998,206.9571,217.357,234.65340999999998,5850.881564481131,5849.112691389983,170.96610251192817,4024576
RANDOM,1,4,171.3662326690991,169.71300000000002,207.68030000000002,218.47445,236.02933,5835.455354445221,5833.701528436801,171.41775168397416,4024576
RANDOM,1,5,171.6449733370755,170.067,207.9733,218.02495,235.7105,5825.978941056464,5824.31796757438,171.69392288801572,4024576
RANDOM,1,6,171.4425167695762,169.77100000000002,207.37589999999997,217.74854999999994,235.21596,5832.8588429673455,5831.159493685445,171.49247951164747,4024576
ALL16,0,0,184.85194351669944,187.31150000000002,210.8245,218.18184999999997,234.08182,5409.734844955311,5408.393909087575,184.89777497895034,4024576
ALL16,0,1,184.73655837777153,187.0565,210.78209999999999,217.9329,234.43541,5413.113726818921,5411.747226772404,184.78320551501545,4024576
ALL16,0,2,184.47510630087004,186.8345,210.46689999999998,217.74625,234.26156,5420.785601115459,5419.420045539852,184.5215893207971,4024576
ALL16,0,3,184.61982416502948,186.94549999999998,210.6079,218.04649999999998,233.84557999999998,5416.536412179181,5415.176127912035,184.66620039292732,4024576
ALL16,0,4,185.16915724108895,187.56349999999998,211.4745,218.76389999999998,233.74229999999997,5400.467415305061,5399.100517733433,185.21603676676955,4024576
ALL16,0,5,184.30462987650856,186.725,210.35479999999998,218.07915,233.87195999999994,5425.799670198409,5424.522209895479,184.34803311815887,4024576
ALL16,0,6,184.39757297221442,186.6455,210.9045,217.909,234.5948,5423.064869463781,5421.799935442386,184.4405938815605,4024576
ALL16,1,0,185.06089145383103,187.511,210.9074,218.3589,234.52497,5403.626839490719,5402.200326351425,185.10975891103004,4024576
ALL16,1,1,184.69752371596968,187.0565,211.0527,217.87714999999997,233.92335,5414.2577544126325,5412.816868082588,184.74669000841988,4024576
ALL16,1,2,184.6063666853775,187.164,210.4117,217.4129,233.26333,5416.931268163077,5415.478959928539,184.65587391243335,4024576
ALL16,1,3,184.51730746561887,186.97750000000002,210.2911,217.4955,233.79431,5419.545807031301,5418.027876157913,184.56900238563009,4024576
ALL16,1,4,183.90987545607632,186.409,210.0006,217.00884999999997,231.83398999999997,5437.445909416825,5436.096336261058,183.95553318832444,4024576
ALL16,1,5,184.15998568621944,186.808,210.272,217.2848,232.35094999999998,5430.061238731022,5428.729526252418,184.2051616615212,4024576
ALL16,1,6,183.44618699129947,185.801,209.08509999999998,216.57869999999997,231.71185,5451.18989062132,5449.857350786868,183.49104125736739,4024576
