replicate,recall,refined_queries,exact_evals
0,0.8725231546449623,3556,56896
1,0.872979230985125,3556,56896
2,0.8728038170081392,3556,56896
3,0.8727196182991862,3556,56896
4,0.8726073533539154,3556,56896
5,0.8722074094863881,3556,56896
6,0.8725652539994387,3556,56896
7,0.8731195621667135,3556,56896
8,0.8727406679764245,3556,56896
9,0.8732177939938256,3556,56896
10,0.8726073533539154,3556,56896
11,0.8731686780802695,3556,56896
12,0.8730493965759192,3556,56896
13,0.8730213303396015,3556,56896
14,0.8730353634577604,3556,56896
15,0.8727476845355039,3556,56896
16,0.8734282907662084,3556,56896
17,0.8737019365703059,3556,56896
18,0.8731686780802695,3556,56896
19,0.8726073533539154,3556,56896
20,0.8725161380858827,3556,56896
21,0.8730914959303958,3556,56896
22,0.8724600056132474,3556,56896
23,0.8726494527083919,3556,56896
24,0.8722284591636262,3556,56896
25,0.8726634858265507,3556,56896
26,0.8724249228178502,3556,56896
27,0.8721232107774347,3556,56896
28,0.8727897838899804,3556,56896
29,0.8725652539994387,3556,56896
