phase,mode,replicate,clock_level,component,mean_us
primary,BOUNDED_ALL16,0,1,t_search_including_retention,168.24145614650575
primary,BOUNDED_ALL16,0,1,t_candidate_finalize,0.24458953129385352
primary,BOUNDED_ALL16,0,1,t_exact16,2.10271288240247
primary,BOUNDED_ALL16,0,1,t_final_topk,0.38136037047431937
primary,BOUNDED_ALL16,1,1,t_search_including_retention,168.93280493965761
primary,BOUNDED_ALL16,1,1,t_candidate_finalize,0.24380662363177097
primary,BOUNDED_ALL16,1,1,t_exact16,2.0642112685938816
primary,BOUNDED_ALL16,1,1,t_final_topk,0.3875199971933764
primary,BOUNDED_ALL16,2,1,t_search_including_retention,168.4819000140331
primary,BOUNDED_ALL16,2,1,t_candidate_finalize,0.24560945832163905
primary,BOUNDED_ALL16,2,1,t_exact16,2.101981897277575
primary,BOUNDED_ALL16,2,1,t_final_topk,0.38206609598652824
primary,BOUNDED_ALL16,3,1,t_search_including_retention,169.3624038731406
primary,BOUNDED_ALL16,3,1,t_candidate_finalize,0.24655571147909067
primary,BOUNDED_ALL16,3,1,t_exact16,2.121498596688184
primary,BOUNDED_ALL16,3,1,t_final_topk,0.3857849424642156
primary,BOUNDED_ALL16,4,1,t_search_including_retention,168.7385410468706
primary,BOUNDED_ALL16,4,1,t_candidate_finalize,0.24536254560763401
primary,BOUNDED_ALL16,4,1,t_exact16,2.1237285293292167
primary,BOUNDED_ALL16,4,1,t_final_topk,0.3809518664047151
primary,BOUNDED_ALL16,5,1,t_search_including_retention,168.78518825428011
primary,BOUNDED_ALL16,5,1,t_candidate_finalize,0.2457878192534381
primary,BOUNDED_ALL16,5,1,t_exact16,2.065298414257648
primary,BOUNDED_ALL16,5,1,t_final_topk,0.3841077041818692
primary,BOUNDED_ALL16,6,1,t_search_including_retention,168.83778669660398
primary,BOUNDED_ALL16,6,1,t_candidate_finalize,0.2454619702497895
primary,BOUNDED_ALL16,6,1,t_exact16,2.070989054167836
primary,BOUNDED_ALL16,6,1,t_final_topk,0.3850377490878473
primary,BOUNDED,0,1,t_search_including_retention,168.4820837777154
primary,BOUNDED,0,1,t_candidate_finalize,0.24384303957339323
primary,BOUNDED,0,1,t_exact16,0.01695600617457199
primary,BOUNDED,0,1,t_final_topk,0.21768095705865845
primary,BOUNDED,1,1,t_search_including_retention,168.64813941902892
primary,BOUNDED,1,1,t_candidate_finalize,0.24556300870053327
primary,BOUNDED,1,1,t_exact16,0.016667836093179907
primary,BOUNDED,1,1,t_final_topk,0.21686598372158297
primary,BOUNDED,2,1,t_search_including_retention,168.44669765646927
primary,BOUNDED,2,1,t_candidate_finalize,0.24430837777154085
primary,BOUNDED,2,1,t_exact16,0.016180395733932082
primary,BOUNDED,2,1,t_final_topk,0.21370333988212184
primary,BOUNDED,3,1,t_search_including_retention,168.20665948638785
primary,BOUNDED,3,1,t_candidate_finalize,0.24263373561605392
primary,BOUNDED,3,1,t_exact16,0.01638163064833006
primary,BOUNDED,3,1,t_final_topk,0.21430143137805222
primary,BOUNDED,4,1,t_search_including_retention,168.51547635419593
primary,BOUNDED,4,1,t_candidate_finalize,0.2466140190850407
primary,BOUNDED,4,1,t_exact16,0.016462391243334273
primary,BOUNDED,4,1,t_final_topk,0.21245684816166155
primary,BOUNDED,5,1,t_search_including_retention,168.4405221021611
primary,BOUNDED,5,1,t_candidate_finalize,0.24571337356160539
primary,BOUNDED,5,1,t_exact16,0.01648498456357003
primary,BOUNDED,5,1,t_final_topk,0.21305936008981194
primary,BOUNDED,6,1,t_search_including_retention,168.53528845074374
primary,BOUNDED,6,1,t_candidate_finalize,0.24301066516980072
primary,BOUNDED,6,1,t_exact16,0.016783258490036486
primary,BOUNDED,6,1,t_final_topk,0.21546779399382543
primary,FULL_ALL16,0,1,t_search_including_retention,182.00005276452427
primary,FULL_ALL16,0,1,t_candidate_finalize,3.1348405837777156
primary,FULL_ALL16,0,1,t_exact16,2.1224668116755545
primary,FULL_ALL16,0,1,t_final_topk,0.3978210777434746
primary,FULL_ALL16,1,1,t_search_including_retention,180.48279609879313
primary,FULL_ALL16,1,1,t_candidate_finalize,3.1391690289082232
primary,FULL_ALL16,1,1,t_exact16,2.1170653241650292
primary,FULL_ALL16,1,1,t_final_topk,0.3942044625315745
primary,FULL_ALL16,2,1,t_search_including_retention,181.71275021049678
primary,FULL_ALL16,2,1,t_candidate_finalize,3.155583567218636
primary,FULL_ALL16,2,1,t_exact16,2.1253111142295817
primary,FULL_ALL16,2,1,t_final_topk,0.3985936710637104
primary,FULL_ALL16,3,1,t_search_including_retention,180.6320678501263
primary,FULL_ALL16,3,1,t_candidate_finalize,3.143199480774628
primary,FULL_ALL16,3,1,t_exact16,2.1381880437833285
primary,FULL_ALL16,3,1,t_final_topk,0.3982265646926747
primary,FULL_ALL16,4,1,t_search_including_retention,181.18070776031436
primary,FULL_ALL16,4,1,t_candidate_finalize,3.144001543642997
primary,FULL_ALL16,4,1,t_exact16,2.1269651277013755
primary,FULL_ALL16,4,1,t_final_topk,0.3954381139489194
primary,FULL_ALL16,5,1,t_search_including_retention,180.65111408925065
primary,FULL_ALL16,5,1,t_candidate_finalize,3.1339306062307046
primary,FULL_ALL16,5,1,t_exact16,2.114555711479091
primary,FULL_ALL16,5,1,t_final_topk,0.39439854055571155
primary,FULL_ALL16,6,1,t_search_including_retention,181.06351747123213
primary,FULL_ALL16,6,1,t_candidate_finalize,3.144203550378894
primary,FULL_ALL16,6,1,t_exact16,2.106887033398821
primary,FULL_ALL16,6,1,t_final_topk,0.3962648049396576
primary,FULL,0,1,t_search_including_retention,183.0562849424642
primary,FULL,0,1,t_candidate_finalize,3.153476775189447
primary,FULL,0,1,t_exact16,0.019634647768734213
primary,FULL,0,1,t_final_topk,0.22643179904574795
primary,FULL,1,1,t_search_including_retention,181.38098259893349
primary,FULL,1,1,t_candidate_finalize,3.1468975582374403
primary,FULL,1,1,t_exact16,0.019314552343530734
primary,FULL,1,1,t_final_topk,0.2242857142857143
