phase,mode,replicate,clock_level,mean_us,median_us,p90_us,p95_us,p99_us,service_qps,stream_qps,full_scratch_bytes
primary,BOUNDED_ALL16,0,0,172.45139847039013,174.1495,196.19150000000002,203.63394999999997,218.77943999999997,5798.735231316201,5793.843240533307,0
primary,BOUNDED_ALL16,0,1,170.97011893067642,173.04649999999998,193.5354,200.0268,213.94541999999998,5848.975284420735,5847.19255820927,0
primary,BOUNDED_ALL16,1,0,172.50633784731968,174.09449999999998,196.0585,204.68970000000002,221.96990999999994,5796.888464962202,5795.3049064044735,0
primary,BOUNDED_ALL16,1,1,171.62834282907662,173.6535,194.8828,201.18205,216.51318999999998,5826.543468964754,5824.81065215019,0
primary,BOUNDED_ALL16,2,0,172.9908795256806,174.6295,197.26069999999999,204.9959,220.94202999999996,5780.651573897278,5779.067321134174,0
primary,BOUNDED_ALL16,2,1,171.21155746561885,173.236,194.0501,200.35139999999998,215.23802999999998,5840.727196239722,5838.990495867959,0
primary,BOUNDED_ALL16,3,0,171.56527645242775,173.5285,194.4767,201.6329,217.17781,5828.685271738444,5827.103195988044,0
primary,BOUNDED_ALL16,3,1,172.1162431237721,173.9665,195.1619,201.943,216.86996,5810.026885614048,5808.28698568308,0
primary,BOUNDED_ALL16,4,0,172.49706841145098,174.155,196.58769999999998,203.55204999999998,219.02473999999998,5797.199971043777,5795.623416433687,0
primary,BOUNDED_ALL16,4,1,171.48858398821218,173.3995,194.4298,200.76064999999997,216.25475999999998,5831.291953922357,5829.522774339621,0
primary,BOUNDED_ALL16,5,0,172.20823652820656,173.9375,196.0041,203.34394999999998,218.72368,5806.92317719778,5805.349623486539,0
primary,BOUNDED_ALL16,5,1,171.48038219197306,173.4765,194.2376,201.1258,215.89479,5831.5708608608975,5829.838052878825,0
primary,BOUNDED_ALL16,6,0,172.29147340724109,174.131,195.852,203.31609999999998,218.96233,5804.117755939812,5802.538074857751,0
primary,BOUNDED_ALL16,6,1,171.53927547010946,173.4205,194.4254,201.11974999999998,215.18489,5829.568751876004,5827.847108935289,0
primary,BOUNDED,0,0,168.43089124333426,170.473,190.86540000000002,197.6248,212.28461,5937.153170764187,5935.48499548187,0
primary,BOUNDED,0,1,168.96056378052205,171.0845,191.47959999999998,197.96089999999998,212.34238,5918.540857255834,5916.73056115714,0
primary,BOUNDED,1,0,169.008617457199,171.086,191.7046,198.24279999999996,213.63089,5916.858057567671,5915.191214904104,0
primary,BOUNDED,1,1,169.1272362475442,171.2855,191.7289,198.42384999999996,211.88529999999997,5912.7082200784225,5910.914683713014,0
primary,BOUNDED,2,0,169.50213177097953,171.4305,192.3407,198.85475,213.49238999999997,5899.630816154786,5897.963559360969,0
primary,BOUNDED,2,1,168.92088976985684,171.098,191.57989999999998,198.24425,212.25517,5919.930929575564,5918.1621112516295,0
primary,BOUNDED,3,0,168.5306194920011,170.6325,191.2064,197.4537,211.57956,5933.6398514067205,5931.994046104359,0
primary,BOUNDED,3,1,168.6799762840303,170.756,191.29930000000002,197.44835,212.54178,5928.385941412268,5926.5755704262865,0
primary,BOUNDED,4,0,169.07191032837497,171.18,191.6618,198.19004999999999,212.68791,5914.643053702885,5913.002795583666,0
primary,BOUNDED,4,1,168.99100961268593,171.032,191.707,198.12284999999997,212.98872999999998,5917.474558510072,5915.707264018692,0
primary,BOUNDED,5,0,170.61800428010105,172.555,194.20340000000002,200.77015,215.29333,5861.046166958528,5859.456433890766,0
primary,BOUNDED,5,1,168.9157798203761,170.94650000000001,191.589,198.10809999999998,212.67899,5920.1100161476525,5918.33972435331,0
primary,BOUNDED,6,0,168.5995592899242,170.7075,191.28959999999998,197.89319999999998,212.02741999999998,5931.213605845775,5929.571235566394,0
primary,BOUNDED,6,1,169.01055016839743,170.98000000000002,191.4944,198.3166,212.16799999999998,5916.790395650613,5914.991289100401,0
primary,FULL_ALL16,0,0,187.43873891383663,189.866,213.9776,221.51054999999997,237.59839,5335.076440413356,5333.730996436566,4024576
primary,FULL_ALL16,0,1,187.65518123772102,190.27249999999998,214.2899,221.596,237.57701,5328.922939426879,5327.462150067282,4024576
primary,FULL_ALL16,1,0,186.94908953129382,189.47899999999998,213.0116,220.48345,237.10627,5349.049853664079,5347.703337134458,4024576
primary,FULL_ALL16,1,1,186.13323491439797,188.6485,211.9431,219.40344999999996,235.78285999999997,5372.495677410305,5371.047112689592,4024576
primary,FULL_ALL16,2,0,186.5803131490317,189.028,212.7253,219.60035,236.01412,5359.62226197598,5358.276864572531,4024576
primary,FULL_ALL16,2,1,187.3922385630087,189.6845,214.1668,221.55284999999998,237.49448999999996,5336.400310217546,5334.977428735046,4024576
primary,FULL_ALL16,3,0,186.26976101599777,188.709,212.3552,219.47579999999994,235.54442,5368.557915925576,5367.218614539997,4024576
primary,FULL_ALL16,3,1,186.31168193937694,188.825,212.2134,219.11545,235.65595999999996,5367.349967488271,5365.913697462588,4024576
primary,FULL_ALL16,4,0,187.05980381700815,189.538,213.5067,220.87474999999998,238.29572,5345.883934414115,5344.485517112309,4024576
primary,FULL_ALL16,4,1,186.8471125456076,189.317,213.3359,220.76799999999997,236.46045999999998,5351.969245743146,5350.544307921611,4024576
primary,FULL_ALL16,5,0,186.5208860510805,189.002,212.4287,219.70465,235.97797,5361.3298819851225,5359.979533121992,4024576
primary,FULL_ALL16,5,1,186.29399894751612,188.781,212.62040000000002,219.86409999999998,235.85756,5367.859435352644,5366.43712425955,4024576
primary,FULL_ALL16,6,0,186.1363780522032,188.73250000000002,212.03779999999998,219.1658,234.89197000000001,5372.404956324783,5371.05764839687,4024576
primary,FULL_ALL16,6,1,186.71087285994946,189.17950000000002,213.1126,220.81845,236.66239000000002,5355.874484878516,5354.443025340047,4024576
primary,FULL,0,0,185.02333483019927,187.549,211.7664,218.56384999999997,234.31094,5404.7236848137345,5403.372934080574,4024576
primary,FULL,0,1,186.45582816446813,188.925,213.78740000000002,221.525,238.53984999999997,5363.200549129118,5361.759704885797,4024576
primary,FULL,1,0,183.99277476845353,186.37,210.2619,217.52444999999997,233.64777999999998,5434.996027743232,5433.599445797867,4024576
primary,FULL,1,1,184.7714804238002,187.29399999999998,211.265,217.9857,233.07997,5412.090641403938,5410.644072087326,4024576
primary,FULL,2,0,185.96557556834128,187.7975,213.6266,221.86344999999997,240.8846,5377.339311019451,5375.938386887675,4024576
primary,FULL,2,1,185.42780550098232,187.6685,212.3729,220.23329999999999,239.66770999999997,5392.934448521543,5391.485566781859,4024576
primary,FULL,3,0,184.0384434465338,186.73149999999998,210.1731,216.97779999999997,233.46002,5433.647347112651,5432.280097988408,4024576
primary,FULL,3,1,184.5595273645804,186.9715,211.45850000000002,218.75415,234.46430999999998,5418.306029927092,5416.876481945396,4024576
primary,FULL,4,0,184.7700647628403,187.253,211.53740000000002,218.80184999999994,234.30160999999995,5412.1321074576645,5410.779892756042,4024576
primary,FULL,4,1,184.4399049256245,187.02249999999998,210.9768,218.2749,233.34091,5421.820188007853,5420.378123242688,4024576
