policy,workers,metric,mean,std,min,max
NATIVE,1,recall_at_10,0.8503087285994949,0.0,0.8503087285994949,0.8503087285994949
NATIVE,1,qps,6118.503324288362,14.93455724892673,6096.041648084681,6130.99788940075
NATIVE,1,mean_latency_us,163.31150828655626,0.3994824494663978,162.97854115211896,163.9133374263261
NATIVE,1,median_latency_us,165.2353,0.3848084913304378,164.925,165.84050000000002
NATIVE,1,p90_latency_us,185.1444,0.6704767259196969,184.5466,186.1029
NATIVE,1,p95_latency_us,191.49094999999997,0.7513322608872696,190.7883,192.53754999999995
NATIVE,1,p99_latency_us,205.55755600000003,0.9562762331199157,204.52737,206.97758000000002
NATIVE,1,allocated_core_utilization,0.9980706999217841,6.31385928686105e-05,0.9979957074331199,0.9981364243524695
NATIVE,1,last_worker_drain_fraction,0.0,0.0,0.0,0.0
BOUNDED_ALL16,1,recall_at_10,0.9399733370754983,0.0,0.9399733370754983,0.9399733370754983
BOUNDED_ALL16,1,qps,5687.775369128796,32.385137633127954,5651.467940742503,5726.322659301455
BOUNDED_ALL16,1,mean_latency_us,175.69775635349424,1.0008202443355423,174.5093513892787,176.82132998877353
BOUNDED_ALL16,1,median_latency_us,177.52130000000002,0.7720152686313934,176.612,178.4015
BOUNDED_ALL16,1,p90_latency_us,200.25150000000002,1.8255611739955542,198.084,202.44420000000002
BOUNDED_ALL16,1,p95_latency_us,207.76769,2.413960153047277,204.87119999999996,210.54919999999996
BOUNDED_ALL16,1,p99_latency_us,223.71420199999997,2.9530773867475872,220.05818000000002,226.94644
BOUNDED_ALL16,1,allocated_core_utilization,0.9979861356792574,5.9778123043813544e-05,0.9978958221326029,0.9980361307842769
BOUNDED_ALL16,1,last_worker_drain_fraction,0.0,0.0,0.0,0.0
NATIVE,2,recall_at_10,0.8503087285994948,0.0,0.8503087285994948,0.8503087285994948
NATIVE,2,qps,11892.920615236835,22.074449136283675,11861.1617510835,11919.38275710565
NATIVE,2,mean_latency_us,167.83867882402473,0.2479004670520406,167.57113768243056,168.1289237300028
NATIVE,2,median_latency_us,169.89389999999997,0.25358760813571807,169.64350000000002,170.1905
NATIVE,2,p90_latency_us,190.01454,0.30445574062579683,189.5832,190.37030000000001
NATIVE,2,p95_latency_us,196.07442,0.2925421008162835,195.759,196.52965
NATIVE,2,p99_latency_us,209.776066,0.4106892953072871,209.17774,210.25679
NATIVE,2,allocated_core_utilization,0.9970816276913951,0.0007994860903931708,0.9961195965275361,0.9979049434940431
NATIVE,2,last_worker_drain_fraction,0.0023580774855016646,0.0015859011709682333,0.0007587679847843865,0.004238224166603517
BOUNDED_ALL16,2,recall_at_10,0.9399733370754981,0.0,0.9399733370754981,0.9399733370754981
BOUNDED_ALL16,2,qps,10988.411228564346,21.10700457031485,10954.46333586432,11009.06925553319
BOUNDED_ALL16,2,mean_latency_us,181.49675213303397,0.2868080568795841,181.13943602652256,181.86329576550665
BOUNDED_ALL16,2,median_latency_us,183.29889999999997,0.287148785475411,182.892,183.6035
BOUNDED_ALL16,2,p90_latency_us,207.09476,0.516472848269878,206.4523,207.68630000000002
BOUNDED_ALL16,2,p95_latency_us,214.71022,0.7323917160577531,213.73119999999997,215.48565
BOUNDED_ALL16,2,p99_latency_us,230.819998,1.4103465115601892,229.02472,232.72372
BOUNDED_ALL16,2,allocated_core_utilization,0.9960608201259232,0.0016086366409634172,0.9937860447187153,0.9974952889183051
BOUNDED_ALL16,2,last_worker_drain_fraction,0.004243237242945056,0.00321417105432257,0.0013757477853699632,0.00883758668290395
NATIVE,4,recall_at_10,0.8503087285994949,0.0,0.8503087285994949,0.8503087285994949
NATIVE,4,qps,23076.25884701203,52.151814493004764,23015.635363921974,23147.04770860627
NATIVE,4,mean_latency_us,171.77865640611842,0.30982955604273854,171.39334896856582,172.07324971933764
NATIVE,4,median_latency_us,173.9351,0.18474928957915168,173.6905,174.10250000000002
NATIVE,4,p90_latency_us,194.33656000000002,0.7095371963470288,193.40460000000002,195.0123
NATIVE,4,p95_latency_us,200.46958999999998,0.9174805988412106,199.28384999999994,201.30659999999997
NATIVE,4,p99_latency_us,214.253132,1.1491507892004487,212.97941,215.39193
NATIVE,4,allocated_core_utilization,0.9899370503195037,0.0006039045353752982,0.9890635516833352,0.9907354519126212
NATIVE,4,last_worker_drain_fraction,0.013212805887191027,0.0009044351635397696,0.01201535806940297,0.01448332817953686
BOUNDED_ALL16,4,recall_at_10,0.9399733370754981,0.0,0.9399733370754981,0.9399733370754981
BOUNDED_ALL16,4,qps,21218.672985729027,80.9634877146204,21137.555784795404,21352.108702557653
BOUNDED_ALL16,4,mean_latency_us,186.38787371596968,0.30829609265688795,185.94694332374405,186.70669781434188
BOUNDED_ALL16,4,median_latency_us,188.21710000000002,0.29542012456838235,187.794,188.508
BOUNDED_ALL16,4,p90_latency_us,212.57464,0.45626836730152887,211.87,213.07330000000002
BOUNDED_ALL16,4,p95_latency_us,220.44875000000002,0.6107888669581327,219.46165,221.03924999999998
BOUNDED_ALL16,4,p99_latency_us,236.82297,0.8245253365118612,235.65888,237.68251
BOUNDED_ALL16,4,allocated_core_utilization,0.987545336491371,0.0026255385656410272,0.9854495036713691,0.9914379713640785
BOUNDED_ALL16,4,last_worker_drain_fraction,0.01669637991508491,0.0035438002522118965,0.012145168047558316,0.019512636217203328
NATIVE,8,recall_at_10,0.8503087285994949,0.0,0.8503087285994949,0.8503087285994949
NATIVE,8,qps,45165.50186977678,33.60786625060403,45127.45877809725,45203.7902363153
NATIVE,8,mean_latency_us,175.2084817358967,0.08254178393324328,175.09698221302273,175.29439220811113
NATIVE,8,median_latency_us,177.67350000000002,0.0707080264185104,177.564,177.735
NATIVE,8,p90_latency_us,197.50618000000003,0.13159941869173056,197.321,197.6802
NATIVE,8,p95_latency_us,203.36637000000002,0.162698342800419,203.20895,203.604
NATIVE,8,p99_latency_us,216.94213800000003,0.5113076854204343,216.43258,217.71451000000002
NATIVE,8,allocated_core_utilization,0.9878715898353179,0.0007317169581868466,0.9868287522742026,0.9886409782812583
NATIVE,8,last_worker_drain_fraction,0.015626889968127285,0.0017618017156521733,0.013789310869537557,0.017946400657184634
BOUNDED_ALL16,8,recall_at_10,0.9399733370754981,0.0,0.9399733370754981,0.9399733370754981
BOUNDED_ALL16,8,qps,41682.04035553404,216.523471489207,41434.707898054156,41921.78116294298
BOUNDED_ALL16,8,mean_latency_us,189.19777175133316,0.4267286048599464,188.71161470319953,189.6878538450744
BOUNDED_ALL16,8,median_latency_us,191.41330000000002,0.30136203310968895,191.033,191.7475
BOUNDED_ALL16,8,p90_latency_us,214.86238000000003,0.8601342813770441,213.9456,215.804
BOUNDED_ALL16,8,p95_latency_us,222.56301,1.3995308389778525,221.17189999999997,224.07965000000002
BOUNDED_ALL16,8,p99_latency_us,240.50793800000002,1.9103862984014623,238.754,243.01116000000002
BOUNDED_ALL16,8,allocated_core_utilization,0.9843559554992375,0.0035745491067336217,0.9805921331456543,0.9889074630980301
BOUNDED_ALL16,8,last_worker_drain_fraction,0.02451621262453243,0.006512717661137744,0.014942878494482902,0.03258071742645676
