workers,replicate,throughput_penalty,mean_latency_overhead,p95_latency_overhead,p99_latency_overhead,p99_ratio
1,0,0.06943651067178414,0.07472339788662152,0.08180349633599082,0.08131106171752789,1.0813110617175279
1,1,0.07422213350260953,0.08026953727177455,0.09340561624699095,0.0988655094305626,1.0988655094305626
1,2,0.06064902606093381,0.06464400108816748,0.06405841354063146,0.06319814928747358,1.0631981492874736
1,3,0.07000260690484894,0.07536542918126798,0.08396484211407995,0.09240293854069503,1.092402938540695
1,4,0.07763935216023865,0.08426348581721954,0.10188079284431528,0.10605226477439977,1.1060522647743998
2,0,0.07695105523904677,0.08072984336309363,0.09380956160109744,0.0990590636404054,1.0990590636404054
2,1,0.07808464100144896,0.08232417209295662,0.0995175577348939,0.1096158173988333,1.1096158173988333
2,2,0.0755903959641635,0.08096911449135358,0.08955030622242743,0.08926194488177996,1.08926194488178
2,3,0.07637253707871605,0.0821643761118962,0.09651152692851928,0.10086804647569081,1.1008680464756908
2,4,0.07326697698494766,0.08069398193612631,0.09583795625749092,0.10280094985604493,1.102800949856045
4,0,0.0799158408671864,0.08297058553809777,0.09494097355251396,0.09941573177444174,1.0994157317744417
4,1,0.0832166107714396,0.0890479834813982,0.10916790296855483,0.11598820749855587,1.1159882074985559
4,2,0.07605144023372201,0.08422336307557265,0.09883975791259081,0.10602179304134118,1.1060217930413412
4,3,0.0798313476678566,0.0829428218464725,0.09568017143998286,0.09901225175892137,1.0990122517589214
4,4,0.08347062603698296,0.08606232263815605,0.0997679485069296,0.10639428396513306,1.106394283965133
8,0,0.08182935578538231,0.0824556140135353,0.10191229387979917,0.11751041400600748,1.1175104140060075
8,1,0.07978237200313032,0.07866621255140083,0.0921628634827174,0.10856895944224298,1.108568959442243
8,2,0.07117087878939687,0.07815273407743462,0.08816747215182397,0.09663797787294914,1.0966379778729491
8,3,0.07251117244105032,0.07661867130129929,0.08717637401259326,0.10015055843139198,1.100150558431392
8,4,0.08033588776134215,0.08333022904015808,0.1025678248915709,0.12033500443065237,1.1203350044306524
