policy,workers,replicate,queries,recall_at_10,qps,mean_latency_us,median_latency_us,p90_latency_us,p95_latency_us,p99_latency_us,max_latency_us,allocated_core_utilization,last_worker_drain_fraction,exact_evals_per_query,nominal_extra_FP32_bytes_per_query,elapsed_us
BOUNDED_ALL16,1,0,57008,0.9399733370754983,5705.282789024689,175.15685152960987,177.1445,199.1986,206.39544999999993,221.75351,313.929,0.9980265201855993,0.0,16,8192,9992142.74
BOUNDED_ALL16,1,1,57008,0.9399733370754983,5656.811703346297,176.6547667695762,178.2525,201.81130000000002,209.95929999999998,226.38658,322.748,0.9978958221326029,0.0,16,8192,10077761.642
BOUNDED_ALL16,1,2,57008,0.9399733370754983,5726.322659301455,174.5093513892787,176.612,198.084,204.87119999999996,220.05818000000002,290.742,0.9980361307842769,0.0,16,8192,9955429.233
BOUNDED_ALL16,1,3,57008,0.9399733370754983,5698.991753229037,175.34648209023294,177.196,199.71940000000004,207.0633,223.4263,293.093,0.9979544266448791,0.0,16,8192,10003172.924
BOUNDED_ALL16,1,4,57008,0.9399733370754983,5651.467940742503,176.82132998877353,178.4015,202.44420000000002,210.54919999999996,226.94644,298.115,0.9980177786489292,0.0,16,8192,10087290.7
BOUNDED_ALL16,2,0,57008,0.9399733370754981,10984.735619245152,181.13943602652256,182.892,206.787,214.31759999999997,230.43723,320.936,0.9937860447187153,0.00883758668290395,16,8192,5189747.116
BOUNDED_ALL16,2,1,57008,0.9399733370754981,10954.46333586432,181.86329576550665,183.6035,207.5436,215.48565,232.72372,306.689,0.9949577635032226,0.006373154696074154,16,8192,5204088.804
BOUNDED_ALL16,2,2,57008,0.9399733370754981,11001.657646126936,181.44559714426046,183.405,206.4523,213.73119999999997,229.02472,317.219,0.9969504065204746,0.002412637198716435,16,8192,5181764.588
BOUNDED_ALL16,2,3,57008,0.9399733370754981,11009.06925553319,181.33951566446814,183.12349999999998,207.0046,214.652,230.27709,307.528,0.9971145969688983,0.0022170598516607783,16,8192,5178276.081
BOUNDED_ALL16,2,4,57008,0.9399733370754981,10992.130286052125,181.69591606441202,183.47050000000002,207.68630000000002,215.36465,231.63723000000002,336.591,0.9974952889183051,0.0013757477853699632,16,8192,5186255.85
BOUNDED_ALL16,4,0,57008,0.9399733370754981,21204.605416972732,186.28465575007016,188.0915,212.4573,220.34624999999997,236.51237,311.166,0.9863414023920435,0.019107111819670567,16,8192,2688472.569
BOUNDED_ALL16,4,1,57008,0.9399733370754981,21220.82884893124,186.65558107634018,188.481,212.84,221.03924999999998,237.68251,345.424,0.9890382440215584,0.013570186996917876,16,8192,2686417.218
BOUNDED_ALL16,4,2,57008,0.9399733370754981,21352.108702557653,185.94694332374405,187.794,211.87,219.46165,235.65888,313.578,0.9914379713640785,0.012145168047558316,16,8192,2669900.233
BOUNDED_ALL16,4,3,57008,0.9399733370754981,21178.266175388104,186.34549061535225,188.211,212.6326,220.56765000000001,236.71837,312.889,0.9854495036713691,0.01914679649407447,16,8192,2691816.201
BOUNDED_ALL16,4,4,57008,0.9399733370754981,21137.555784795404,186.70669781434188,188.508,213.07330000000002,220.82895,237.54272,311.962,0.9854595610078053,0.019512636217203328,16,8192,2697000.57
BOUNDED_ALL16,8,0,57008,0.9399733370754981,41434.707898054156,189.6062129525681,191.69150000000002,215.75830000000002,224.07965000000002,241.98851000000002,319.828,0.9805921331456543,0.03258071742645676,16,8192,1375851.379
BOUNDED_ALL16,8,1,57008,0.9399733370754981,41597.32462773012,188.98904902820655,191.261,214.455,221.95659999999998,239.93044,317.347,0.9812936072104457,0.027705982418754438,16,8192,1370472.753
BOUNDED_ALL16,8,2,57008,0.9399733370754981,41921.78116294298,188.99412822761718,191.33350000000002,214.349,221.55524999999997,238.754,322.414,0.9889074630980301,0.0228421989002557,16,8192,1359865.884
BOUNDED_ALL16,8,3,57008,0.9399733370754981,41897.66907953624,188.71161470319953,191.033,213.9456,221.17189999999997,238.85558,322.654,0.9869530818887781,0.014942878494482902,16,8192,1360648.486
BOUNDED_ALL16,8,4,57008,0.9399733370754981,41558.719009406705,189.6878538450744,191.7475,215.804,224.05165,243.01116000000002,319.113,0.9840334921532791,0.024509285882712332,16,8192,1371745.842
NATIVE,1,0,57008,0.8503087285994949,6130.99788940075,162.97854115211896,164.925,184.5466,190.7883,205.07837,296.226,0.9980785303340391,0.0,0,0,9298323.214
NATIVE,1,1,57008,0.8503087285994949,6110.333707532251,163.52841645032277,165.39350000000002,185.5883,192.02325,206.01846,331.679,0.9979957074331199,0.0,0,0,9329768.672
NATIVE,1,2,57008,0.8503087285994949,6096.041648084681,163.9133374263261,165.84050000000002,186.1029,192.53754999999995,206.97758000000002,273.519,0.9980169210166011,0.0,0,0,9351642.146
NATIVE,1,3,57008,0.8503087285994949,6127.965299195151,163.05757776101598,164.9765,184.71630000000002,191.024,204.52737,273.572,0.9981364243524695,0.0,0,0,9302924.742
NATIVE,1,4,57008,0.8503087285994949,6127.178077228978,163.07966864299746,165.041,184.7679,191.08165,205.186,291.84,0.9981259164726903,0.0,0,0,9304119.985
NATIVE,2,0,57008,0.8503087285994948,11900.49095618643,167.6084334479371,169.65550000000002,189.88160000000002,195.93684999999996,209.66774,280.267,0.9963711883946105,0.00382092266209382,0,0,4790390.599
NATIVE,2,1,57008,0.8503087285994948,11882.287488695085,168.03033735616054,170.115,190.022,195.982,209.73360000000002,285.944,0.9972963201081314,0.001878318940571521,0,0,4797729.398
NATIVE,2,2,57008,0.8503087285994948,11901.280123113514,167.85456190359247,169.865,190.21560000000002,196.16459999999998,210.25679,291.912,0.9979049434940431,0.0007587679847843865,0,0,4790072.951
NATIVE,2,3,57008,0.8503087285994948,11919.38275710565,167.57113768243056,169.64350000000002,189.5832,195.759,209.17774,278.951,0.9977160899326537,0.00109415367345508,0,0,4782797.999
NATIVE,2,4,57008,0.8503087285994948,11861.1617510835,168.1289237300028,170.1905,190.37030000000001,196.52965,210.04446,291.163,0.9961195965275361,0.004238224166603517,0,0,4806274.562
NATIVE,4,0,57008,0.8503087285994949,23046.37592821752,172.01266427518945,174.0655,195.0123,201.2403,215.12551000000002,302.509,0.9900420948597349,0.013232548032075766,0,0,2473621.023
NATIVE,4,1,57008,0.8503087285994949,23147.04770860627,171.39334896856582,173.6905,193.40460000000002,199.28384999999994,212.97941,288.837,0.9907354519126212,0.01201535806940297,0,0,2462862.682
NATIVE,4,2,57008,0.8503087285994949,23109.62929360362,171.50243174642156,173.7855,193.784,199.72124999999997,213.06893,288.155,0.9897689834646344,0.01349746137329221,0,0,2466850.475
NATIVE,4,3,57008,0.8503087285994949,23015.635363921974,172.07324971933764,174.10250000000002,194.9086,201.30659999999997,215.39193,563.51,0.9890635516833352,0.01448332817953686,0,0,2476924.886
NATIVE,4,4,57008,0.8503087285994949,23062.605940710775,171.91158732107775,174.0315,194.57330000000002,200.79594999999998,214.69988,288.164,0.9900751696771927,0.01283533378164732,0,0,2471880.244
NATIVE,8,0,57008,0.8503087285994949,45127.45877809725,175.16303717022174,177.6465,197.4789,203.35524999999998,216.54251000000002,303.347,0.9868287522742026,0.017946400657184634,0,0,1263266.347
NATIVE,8,1,57008,0.8503087285994949,45203.7902363153,175.20623787889417,177.735,197.48530000000002,203.22665,216.43258,298.624,0.9886409782812583,0.016684123638627334,0,0,1261133.186
NATIVE,8,2,57008,0.8503087285994949,45134.008189045155,175.29439220811113,177.6925,197.6802,203.604,217.71451000000002,303.85,0.9876574936442384,0.015680926326178426,0,0,1263083.034
NATIVE,8,3,57008,0.8503087285994949,45173.2331804,175.28175920923377,177.7295,197.56550000000001,203.437,217.11172,299.192,0.9885010324743873,0.014033688349108463,0,0,1261986.269
NATIVE,8,4,57008,0.8503087285994949,45189.01896502621,175.09698221302273,177.564,197.321,203.20895,216.90937,300.066,0.9877296925025026,0.013789310869537557,0,0,1261545.422
