policy,workers,replicate,speedup,parallel_efficiency
NATIVE,1,0,1.0,1.0
NATIVE,1,1,1.0,1.0
NATIVE,1,2,1.0,1.0
NATIVE,1,3,1.0,1.0
NATIVE,1,4,1.0,1.0
BOUNDED_ALL16,1,0,1.0,1.0
BOUNDED_ALL16,1,1,1.0,1.0
BOUNDED_ALL16,1,2,1.0,1.0
BOUNDED_ALL16,1,3,1.0,1.0
BOUNDED_ALL16,1,4,1.0,1.0
NATIVE,2,0,1.9410365442728272,0.9705182721364136
NATIVE,2,1,1.9446216945643586,0.9723108472821793
NATIVE,2,2,1.9522963933248036,0.9761481966624018
NATIVE,2,3,1.945080002112797,0.9725400010563985
NATIVE,2,4,1.9358278152816022,0.9679139076408011
BOUNDED_ALL16,2,0,1.925362164409554,0.962681082204777
BOUNDED_ALL16,2,1,1.936508392065479,0.9682541960327395
BOUNDED_ALL16,2,2,1.9212430560923037,0.9606215280461519
BOUNDED_ALL16,2,3,1.9317573585354766,0.9658786792677383
BOUNDED_ALL16,2,4,1.9450044486332083,0.9725022243166042
NATIVE,4,0,3.758992637733577,0.9397481594333943
NATIVE,4,1,3.788180616072203,0.9470451540180508
NATIVE,4,2,3.7909237875473583,0.9477309468868396
NATIVE,4,3,3.755836438392505,0.9389591095981262
NATIVE,4,4,3.7639849291177874,0.9409962322794468
BOUNDED_ALL16,4,0,3.716661592614524,0.929165398153631
BOUNDED_ALL16,4,1,3.751376210096939,0.9378440525242348
BOUNDED_ALL16,4,2,3.7287645096063033,0.9321911274015758
BOUNDED_ALL16,4,3,3.716142625296578,0.9290356563241445
BOUNDED_ALL16,4,4,3.740188568072865,0.9350471420182163
NATIVE,8,0,7.360540582816618,0.9200675728520773
NATIVE,8,1,7.3979249579433395,0.9247406197429174
NATIVE,8,2,7.403822151252172,0.9254777689065214
NATIVE,8,3,7.371652901874798,0.9214566127343498
NATIVE,8,4,7.375176369194575,0.9218970461493219
BOUNDED_ALL16,8,0,7.26251606279053,0.9078145078488162
BOUNDED_ALL16,8,1,7.35349288772033,0.9191866109650413
BOUNDED_ALL16,8,2,7.3208905011400365,0.9151113126425046
BOUNDED_ALL16,8,3,7.3517686800997915,0.9189710850124739
BOUNDED_ALL16,8,4,7.353614927159372,0.9192018658949215
