policy,workers,replicate,worker,cpu,tid,queries,cpu_seconds,end_offset_us,start_lag_us,visited_TLS_address,omp_max_threads
BOUNDED_ALL16,1,0,0,2,6,57008,9.972423448,9992142.74,6.819,140153080346040,1
BOUNDED_ALL16,1,1,0,2,53,57008,10.056556239,10077761.642,6.683,140152961754552,1
BOUNDED_ALL16,1,2,0,2,77,57008,9.935878072,9955429.233,5.952,140152961754552,1
BOUNDED_ALL16,1,3,0,2,113,57008,9.982710699999998,10003172.924,6.983,140152970147256,1
BOUNDED_ALL16,1,4,0,2,133,57008,10.067295457,10087290.7,5.761,140153071953336,1
BOUNDED_ALL16,2,0,0,2,11,28504,5.1347809170000005,5143882.276,5.778,140153055167928,1
BOUNDED_ALL16,2,0,1,3,12,28504,5.180215602,5189747.116,6.421,140153063560632,1
BOUNDED_ALL16,2,1,0,2,51,28504,5.194403232,5204088.804,5.698,140152953361848,1
BOUNDED_ALL16,2,1,1,3,52,28504,5.161293883,5170922.341,5.988,140152961754552,1
BOUNDED_ALL16,2,2,0,2,75,28504,5.15983602,5169262.87,5.264,140152953361848,1
BOUNDED_ALL16,2,2,1,3,76,28504,5.172088605,5181764.588,6.096,140152961754552,1
BOUNDED_ALL16,2,3,0,2,111,28504,5.157917382000001,5166795.533,5.097,140153046775224,1
BOUNDED_ALL16,2,3,1,3,112,28504,5.168751953,5178276.081,6.045,140152970147256,1
BOUNDED_ALL16,2,4,0,2,131,28504,5.169828712,5179120.87,4.766,140153080346040,1
BOUNDED_ALL16,2,4,1,3,132,28504,5.176702842999999,5186255.85,5.529,140153071953336,1
BOUNDED_ALL16,4,0,0,2,7,14252,2.632267107,2637103.623,5.805,140153080346040,1
BOUNDED_ALL16,4,0,1,3,8,14252,2.6542711700000003,2659073.186,5.828,140153071953336,1
BOUNDED_ALL16,4,0,2,4,9,14252,2.6832286439999997,2688472.569,4.716,140153063560632,1
BOUNDED_ALL16,4,0,3,5,10,14252,2.637240295,2642449.981,5.938,140153055167928,1
BOUNDED_ALL16,4,1,0,2,54,14252,2.654447968,2659407.906,5.758,140152961754552,1
BOUNDED_ALL16,4,1,1,3,55,14252,2.647760995,2652554.279,5.679,140152953361848,1
BOUNDED_ALL16,4,1,2,4,56,14252,2.681045689,2686417.218,6.285,140152970147256,1
BOUNDED_ALL16,4,1,3,5,57,14252,2.6446228200000004,2649962.034,4.789,140153046775224,1
BOUNDED_ALL16,4,2,0,2,88,14252,2.632781793,2637473.846,6.134,140153055167928,1
BOUNDED_ALL16,4,2,1,3,89,14252,2.6385835610000004,2643264.53,6.096,140153063560632,1
BOUNDED_ALL16,4,2,2,4,90,14252,2.6647280760000003,2669900.233,4.992,140153071953336,1
BOUNDED_ALL16,4,2,3,5,91,14252,2.652068453,2657315.468,6.695,140153080346040,1
BOUNDED_ALL16,4,3,0,2,114,14252,2.639851947,2644633.082,6.043,140152970147256,1
BOUNDED_ALL16,4,3,1,3,115,14252,2.6491377970000003,2653929.589,3.795,140153046775224,1
BOUNDED_ALL16,4,3,2,4,116,14252,2.6861435879999997,2691816.201,5.004,140152961754552,1
BOUNDED_ALL16,4,3,3,5,117,14252,2.6354624250000005,2640276.544,6.344,140152953361848,1
BOUNDED_ALL16,4,4,0,2,126,14252,2.639485578,2644374.979,5.313,140153055167928,1
BOUNDED_ALL16,4,4,1,3,127,14252,2.660483658,2665351.619,4.959,140153063560632,1
BOUNDED_ALL16,4,4,2,4,128,14252,2.6915111200000004,2697000.57,3.852,140153071953336,1
BOUNDED_ALL16,4,4,3,5,129,14252,2.639659635,2644564.665,5.207,140153080346040,1
BOUNDED_ALL16,8,0,0,2,28,7128,1.355856106,1358712.52,5.127,140152953361848,1
BOUNDED_ALL16,8,0,1,3,29,7128,1.355716197,1358554.931,6.443,140152961754552,1
BOUNDED_ALL16,8,0,2,4,30,7128,1.372551144,1375851.379,7.011,140152970147256,1
BOUNDED_ALL16,8,0,3,5,31,7128,1.3556412800000002,1358535.599,6.681,140153046775224,1
BOUNDED_ALL16,8,0,4,6,32,7124,1.3421396589999999,1345034.302,7.104,140153080346040,1
BOUNDED_ALL16,8,0,5,7,33,7124,1.327591963,1331025.154,6.792,140153071953336,1
BOUNDED_ALL16,8,0,6,8,34,7124,1.3492362390000001,1352031.238,5.629,140153063560632,1
BOUNDED_ALL16,8,0,7,9,35,7124,1.334459721,1337438.548,5.967,140153055167928,1
BOUNDED_ALL16,8,1,0,2,58,7128,1.34397625,1346730.489,5.999,140153046775224,1
BOUNDED_ALL16,8,1,1,3,59,7128,1.344459494,1347197.802,5.819,140152970147256,1
BOUNDED_ALL16,8,1,2,4,60,7128,1.3674220240000001,1370472.753,5.063,140152953361848,1
BOUNDED_ALL16,8,1,3,5,61,7128,1.343839425,1346661.887,7.191,140152961754552,1
BOUNDED_ALL16,8,1,4,6,62,7124,1.3444927930000001,1347310.853,6.323,140153080346040,1
BOUNDED_ALL16,8,1,5,7,63,7124,1.32913019,1332502.459,6.734,140153071953336,1
BOUNDED_ALL16,8,1,6,8,64,7124,1.343246521,1345999.888,6.514,140153063560632,1
BOUNDED_ALL16,8,1,7,9,65,7124,1.342122514,1345056.913,6.74,140153055167928,1
BOUNDED_ALL16,8,2,0,2,66,7128,1.350375602,1353242.365,6.85,140153055167928,1
BOUNDED_ALL16,8,2,1,3,67,7128,1.3570042660000001,1359865.884,6.215,140153063560632,1
BOUNDED_ALL16,8,2,2,4,68,7128,1.355769799,1358786.495,6.215,140153071953336,1
BOUNDED_ALL16,8,2,3,5,69,7128,1.3395080630000002,1342373.15,7.356,140153080346040,1
BOUNDED_ALL16,8,2,4,6,70,7124,1.340983707,1343852.734,5.478,140153046775224,1
BOUNDED_ALL16,8,2,5,7,71,7124,1.325295839,1328803.557,7.128,140152970147256,1
BOUNDED_ALL16,8,2,6,8,72,7124,1.345554751,1348437.2,5.222,140152961754552,1
BOUNDED_ALL16,8,2,7,9,73,7124,1.3437601449999999,1346824.029,7.271,140152953361848,1
