stage,ef,workers,policy,recall,qps_mean,qps_std,qps_min,qps_max,mean_latency_us_mean,mean_latency_us_std,mean_latency_us_min,mean_latency_us_max,median_latency_us_mean,median_latency_us_std,median_latency_us_min,median_latency_us_max,p90_latency_us_mean,p90_latency_us_std,p90_latency_us_min,p90_latency_us_max,p95_latency_us_mean,p95_latency_us_std,p95_latency_us_min,p95_latency_us_max,p99_latency_us_mean,p99_latency_us_std,p99_latency_us_min,p99_latency_us_max
concurrent,64,1,0,0.91685,735.4316961371833,18.436083906350166,706.9277206655433,755.4538302868531,1360.163114495,34.63225080445293,1323.41358125,1414.29598,1361.9418,33.05742558525997,1325.9995,1412.6045,1569.48428,53.741785938569265,1518.2553,1657.5804,1626.3278099999998,60.560055950482045,1571.5047999999997,1727.1323,1769.4536560000004,65.94261277064838,1703.0605600000001,1875.6962800000001
concurrent,64,1,1,0.9408400000000001,719.9672444558191,23.44115092810497,681.3174834577273,742.0817978194398,1389.9207580850002,46.62821937534752,1347.2950885750001,1467.506064225,1390.733,41.79913226521581,1350.5729999999999,1458.7345,1611.48788,80.21833080846922,1547.249,1749.4511,1672.4151200000001,94.77603482889663,1601.1218999999994,1837.1910499999994,1821.5829800000004,105.73521093340399,1740.3509300000007,2005.2124800000004
concurrent,64,8,0,0.91685,5591.485157516632,11.274078605326201,5583.4258686483645,5610.983208195575,1419.019185825,2.386235733471358,1414.790079525,1420.35780295,1422.3629,2.3575200794479017,1418.201,1423.8165,1624.09322,3.400451596773551,1618.0814,1626.2256,1677.6016099999997,3.4982596779325954,1671.60375,1680.4119999999994,1826.643624000001,2.373212825375813,1824.1613500000028,1829.743240000001
concurrent,64,8,1,0.9408400000000001,5478.564295370027,19.809638568746646,5450.295538290035,5499.484239532283,1446.58767183,1.160477632064155,1445.685859875,1447.87400805,1449.8627000000001,0.7497664302968452,1449.2469999999998,1451.016,1655.33926,1.7640115470144013,1653.9648,1657.9091,1712.3269399999997,2.3539411588333503,1709.7865,1715.0059999999996,1869.8548680000008,9.093872158960426,1859.1530800000007,1881.9331100000004
single,32,1,0,0.8775799999999999,959.6407959141973,1.3478115896486216,957.9052311000133,961.4796729501461,1041.81757639,1.4486682108460411,1039.84338275,1043.6878707249998,1035.0283,1.4351193155971238,1033.056,1036.949,1171.09406,1.6682017977451484,1168.8221999999998,1173.3471,1223.8708299999998,2.5931355748397915,1220.72055,1227.0923999999998,1353.5654520000003,3.21897091161443,1349.3127,1356.75951
single,32,1,1,0.89655,928.8783552941783,4.74664355118671,924.7630927858281,936.8298484436117,1076.3712492,5.462041113427643,1067.230131075,1081.128093325,1068.5515,5.2413602838385165,1059.862,1073.257,1219.6875799999998,6.9809300223537765,1207.9279999999999,1225.0439,1274.9362099999998,8.080068729781946,1261.57695,1282.6333499999998,1401.334702,9.06375448435818,1388.00937,1410.9481800000005
single,64,1,0,0.91685,740.0847125500958,2.783510038493372,738.2701181497523,744.9777954684013,1350.96193291,5.052070641687486,1342.0840923500002,1354.2813905,1353.9114999999997,4.998988060097749,1345.087,1356.9795,1552.21614,6.237653859665508,1541.5035,1556.8258,1604.42447,5.378369222124882,1595.2649999999999,1608.8342,1744.3403940000003,7.926727421507701,1730.2078900000004,1748.4014100000018
single,64,1,1,0.9408400000000001,726.9152622616228,1.4114405503407577,724.5938700350057,728.319163375279,1375.45712542,2.6648813368415007,1372.8098104,1379.845090475,1378.8175999999999,2.6987502524316858,1375.9524999999999,1383.148,1581.70756,3.0330574257669767,1579.1924,1586.8511,1636.37101,2.557158271010979,1633.6295999999998,1640.4618999999998,1777.7611380000005,5.713811821951073,1772.6729000000003,1787.2803000000001
single,128,1,0,0.9379900000000001,520.0899877131917,4.097500234261576,515.4175160410269,526.6168607121882,1922.5771177349998,15.063030526580679,1898.6708752,1939.903176675,1941.502,14.801130079321668,1918.22,1958.621,2293.48038,20.524760284276237,2261.249,2317.4017,2366.31786,21.182138275809233,2333.61845,2392.3699500000002,2494.8698400000007,22.69249762430629,2459.9887400000007,2523.5918100000004
single,128,1,1,0.96585,516.4185597691263,3.498153343087401,513.5729909595867,522.0843263240663,1936.2490411699996,13.036470669070527,1915.1738124499998,1946.894621125,1955.2071,13.57673339485605,1932.9655,1966.35,2306.5929800000004,17.64337379703768,2278.1362000000004,2321.2602,2379.5897099999997,17.810485791851843,2351.1347499999997,2394.5441,2507.8295620000004,18.16856045269464,2479.4169300000003,2524.4317600000004
