pq_m,ef,policy,recall,qps,qps_std,pareto
768,32,0,0.8775799999999999,959.6407959141973,1.3478115896486216,False
768,32,1,0.89655,928.8783552941783,4.74664355118671,False
768,64,0,0.91685,740.0847125500958,2.783510038493372,False
768,64,1,0.9408400000000001,726.9152622616228,1.4114405503407577,False
768,128,0,0.9379900000000001,520.0899877131917,4.097500234261576,False
768,128,1,0.96585,516.4185597691263,3.498153343087401,True
384,32,0,0.8332,1656.3703123069936,1.1279284675389956,True
384,32,1,0.89341,1568.2091247100188,4.637502059199902,True
384,64,0,0.8650000000000002,1297.418922244694,1.6740181104981293,False
384,64,1,0.93606,1233.5004941050015,13.018492840774341,True
384,128,0,0.8809800000000001,915.1418804338107,1.8519476188241355,False
384,128,1,0.9586399999999999,892.2865211627611,5.122755064010708,True
