stage,ef,workers,policy,pq_m,recall,qps_mean,qps_std,qps_min,qps_max,mean_latency_us_mean,mean_latency_us_std,mean_latency_us_min,mean_latency_us_max,median_latency_us_mean,median_latency_us_std,median_latency_us_min,median_latency_us_max,p90_latency_us_mean,p90_latency_us_std,p90_latency_us_min,p90_latency_us_max,p95_latency_us_mean,p95_latency_us_std,p95_latency_us_min,p95_latency_us_max,p99_latency_us_mean,p99_latency_us_std,p99_latency_us_min,p99_latency_us_max
concurrent,64,1,0,384,0.8650000000000002,1297.2087726902628,2.6793470388705956,1293.4292470328887,1300.9840564368108,770.6513885100001,1.5921552641234917,768.404248075,772.893196225,771.5311,1.6338454792298729,769.056,773.6179999999999,875.8961800000001,2.0319163385828625,873.4085,878.9457,907.27068,2.320770761137365,904.2591,910.4513499999999,989.5850980000001,2.9450192682001717,986.2267100000001,993.8253400000001
concurrent,64,1,1,384,0.93606,1242.1109702060983,2.2242127746283096,1239.6622936983497,1244.8154226935592,804.88182493,1.4363804171755594,803.129388825,806.4647835750001,804.019,1.3284460847170294,802.6385,805.8299999999999,923.25768,2.1004203238875503,920.6364,925.4125999999999,961.33728,2.779680769126227,957.5186999999999,964.4027499999999,1046.8740340000004,3.644210898759001,1042.03151,1051.0648900000017
concurrent,64,8,0,384,0.8650000000000002,9730.024381901938,5.25662988573255,9721.316478389741,9734.936894853505,818.10594694,0.19161044034790184,817.8460620999999,818.3642706999999,818.9463,0.21128257145351106,818.6334999999999,819.1434999999999,927.26206,0.23767552040542575,926.9605,927.5994,958.7670199999999,0.5262381371584736,957.9568999999999,959.3444000000001,1047.0989040000002,0.9972303127312617,1045.96634,1048.14504
concurrent,64,8,1,384,0.93606,9285.840928117585,8.947108183469833,9276.74829192452,9298.421904936675,856.8569053750001,0.21156870923737442,856.5309709750001,857.0600079500001,855.8299000000001,0.22887589431828456,855.5305000000001,856.0640000000001,981.9350000000001,0.4099997073169915,981.3421,982.4044,1024.17817,0.37831815744162783,1023.73745,1024.72745,1115.032286,2.3932967245579855,1112.16536,1118.04254
single,32,1,0,384,0.8332,1656.3703123069936,1.1279284675389956,1654.7992344484876,1657.8202806180693,603.50437175,0.40984493878002987,602.97647005,604.074003825,599.1262999999999,0.39255582405564937,598.674,599.644,674.56584,0.6720372035832354,673.7962,675.4901,702.5181699999999,0.4428866017390775,702.0534999999999,703.1388,772.1109700000001,1.2371505489429586,770.3510100000002,773.77128
single,32,1,1,384,0.89341,1568.2091247100188,4.637502059199902,1563.7081348928762,1574.2464873094593,637.47720835,1.8827131863051496,635.0285574,639.305475175,628.7109,1.731759271665668,626.6225,630.6345,729.7245599999999,2.8150022287735483,726.3480999999999,732.2420999999999,763.4444299999999,3.1449364857656423,758.8382999999999,766.3773499999999,832.0361260000002,3.4454804454139145,827.8935400000001,836.93451
single,64,1,0,384,0.8650000000000002,1297.418922244694,1.6740181104981293,1295.0198905360344,1299.1156205002974,770.510536625,0.9937473912116856,769.5005603500001,771.9365832249999,771.384,1.0214044252889998,770.4405,772.9325,875.6348399999999,1.3936462133554661,874.1419999999999,877.8801,906.5306799999998,1.3139082333823446,905.2914000000001,908.61925,989.6437460000001,1.6488150000925992,987.3502100000001,991.2079200000002
single,64,1,1,384,0.93606,1233.5004941050015,13.018492840774341,1210.3239953087814,1241.3058205629886,810.55969772,8.67532433870987,805.3895203750001,826.007654425,809.6741999999998,8.619614917442707,804.4159999999999,825.0215000000001,930.2977999999999,9.090090245151568,924.9142999999999,946.3847999999999,968.8356999999996,9.499508899674858,962.9231999999998,985.6177499999999,1054.3112080000003,9.369895833912375,1047.8378400000001,1070.7645100000002
single,128,1,0,384,0.8809800000000001,915.1418804338107,1.8519476188241355,912.0948830993055,916.8134283591221,1092.452981815,2.2124256741928097,1090.458178925,1096.0949154249997,1101.4134999999999,2.1787080747544487,1099.2469999999998,1104.8515,1287.53892,3.2058933828185974,1284.5633,1292.7771,1327.64779,3.9838739857392724,1323.9762500000002,1334.36165,1402.2762440000001,6.083048026518476,1398.2766100000001,1412.9537400000002
single,128,1,1,384,0.9586399999999999,892.2865211627611,5.122755064010708,883.2190404120496,895.7507058969653,1120.51123579,6.481077961021902,1116.149014525,1131.986526975,1129.931,6.612653599350252,1125.5125,1141.605,1319.41964,7.1294803319036655,1315.3983999999998,1332.1218000000001,1361.2512199999996,6.846035497333517,1356.9281,1373.2782,1439.468088,7.817214563555892,1434.2866400000003,1453.0877300000002
