all16_384_ef,native_pq_m,native_ef,recall_difference,qps_ratio,dominates
32,768,32,0.015830000000000122,1.6341626277112071,True
32,768,64,-0.023440000000000016,2.1189589490458065,False
32,768,128,-0.044580000000000064,3.015264976750181,False
32,384,32,0.060209999999999986,0.9467744700916646,False
32,384,64,0.028409999999999824,1.2087145468765206,True
32,384,128,0.012429999999999941,1.7136240382383445,True
64,768,32,0.05848000000000009,1.2853772988359806,True
64,768,64,0.01920999999999995,1.6667017615520694,True
64,768,128,-0.0019300000000000983,2.3717059032969243,False
64,384,32,0.10285999999999995,0.7447009191966145,False
64,384,64,0.07105999999999979,0.9507341637740987,False
64,384,128,0.05507999999999991,1.3478789688002009,True
128,768,32,0.08106000000000002,0.9298130352125439,False
128,768,64,0.04178999999999988,1.2056545771472924,True
128,768,128,0.020649999999999835,1.715638720687737,True
128,384,32,0.12543999999999988,0.5386998997343679,False
128,384,64,0.09363999999999972,0.6877397160348147,False
128,384,128,0.07765999999999984,0.9750253378632227,False
