replicate_id,condition_id,ef_search,mean_exact_recall,selected_matched_ef
0,radial_sigma_2p00,256,0.84059999999999924,1024
0,radial_sigma_2p00,384,0.8877999999999987,1024
0,radial_sigma_2p00,512,0.9201999999999988,1024
0,radial_sigma_2p00,768,0.94719999999999815,1024
0,radial_sigma_2p00,1024,0.96019999999999794,1024
1,radial_sigma_2p00,256,0.83959999999999901,1024
1,radial_sigma_2p00,384,0.89239999999999819,1024
1,radial_sigma_2p00,512,0.92039999999999744,1024
1,radial_sigma_2p00,768,0.94699999999999784,1024
1,radial_sigma_2p00,1024,0.9635999999999979,1024
2,radial_sigma_1p50,256,0.89159999999999873,512
2,radial_sigma_1p50,384,0.9303999999999969,512
2,radial_sigma_1p50,512,0.95039999999999736,512
2,radial_sigma_1p50,768,0.97079999999999811,512
2,radial_sigma_1p50,1024,0.98039999999999861,512
2,radial_sigma_2p00,256,0.83399999999999952,1024
2,radial_sigma_2p00,384,0.88179999999999825,1024
2,radial_sigma_2p00,512,0.91259999999999786,1024
2,radial_sigma_2p00,768,0.94419999999999771,1024
2,radial_sigma_2p00,1024,0.96039999999999792,1024
3,mean_alpha_1p00,256,0.89799999999999791,512
3,mean_alpha_1p00,384,0.93719999999999726,512
3,mean_alpha_1p00,512,0.95499999999999741,512
3,mean_alpha_1p00,768,0.97339999999999804,512
3,mean_alpha_1p00,1024,0.98119999999999896,512
3,radial_sigma_1p50,256,0.89399999999999802,512
3,radial_sigma_1p50,384,0.93219999999999825,512
3,radial_sigma_1p50,512,0.95239999999999858,512
3,radial_sigma_1p50,768,0.97079999999999855,512
3,radial_sigma_1p50,1024,0.97879999999999889,512
3,radial_sigma_2p00,256,0.82699999999999907,1024
3,radial_sigma_2p00,384,0.88039999999999918,1024
3,radial_sigma_2p00,512,0.91099999999999792,1024
3,radial_sigma_2p00,768,0.94019999999999848,1024
3,radial_sigma_2p00,1024,0.95739999999999836,1024
