ef_search,mean_exact_recall,graph_fingerprint
16,0.78163999999998801,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
32,0.88628999999997704,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
48,0.92973999999996981,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
64,0.95318999999997178,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
96,0.97441999999997753,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
128,0.98378999999998473,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
192,0.99191999999999081,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
256,0.99490999999999363,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
384,0.99747999999999615,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
512,0.99835999999999736,1b3c18f6e2dd3ccec56e74eed30458f60a65f01234bf51478af25d84b5c02d16
