group,metric,query_count,mean,median,p90,p95,p99,min,max
stable_both,boundary_margin,255,876.9686274509804,507.0,2188.9999999999995,3036.699999999999,5388.340000000007,0.0,6336.0
stable_both,relative_boundary_margin,255,0.01914776958792128,0.008671002167750541,0.053468863869252814,0.06741963766935619,0.17064995201098182,0.0,0.24173529752928893
stable_both,boundary_gap_r1,255,876.9686274509804,507.0,2188.9999999999995,3036.699999999999,5388.340000000007,0.0,6336.0
stable_both,boundary_gap_r2,255,2524.592156862745,1896.0,5150.4,6615.6,9141.880000000008,76.0,13186.0
stable_both,boundary_gap_r5,255,7356.160784313725,6092.0,13432.599999999999,15585.199999999997,25249.600000000017,1898.0,36783.0
stable_both,d1,255,41191.25882352941,42097.0,69835.0,74485.59999999999,90053.92000000004,957.0,125740.0
stable_both,dk,255,58956.313725490196,58616.0,85343.6,93085.59999999999,107494.82000000005,5786.0,141757.0
stable_both,dk_plus_1,255,59833.282352941176,59395.0,85685.4,93290.09999999999,108729.94000000006,6085.0,142046.0
stable_both,d20,255,63940.509803921566,63903.0,89947.8,98239.09999999999,113438.34000000008,8203.0,147223.0
stable_both,local_distance_concentration,255,1.3672881825690757,0.40579121158242315,2.7773846934401734,4.603114219712586,16.75682241895164,0.10238244872307604,27.13184584178499
stable_both,candidate_count,255,1055.7490196078431,1093.0,1297.0,1385.3999999999999,1477.6000000000001,371.0,1584.0
rescued_improved,boundary_margin,7871,483.44886291449626,313.0,1134.0,1523.5,2568.4000000000033,0.0,6627.0
rescued_improved,relative_boundary_margin,7871,0.010311353835923461,0.006732900894983167,0.023245667614875832,0.03246682909162481,0.0561061730474818,0.0,0.1567259483492574
rescued_improved,boundary_gap_r1,7871,483.44886291449626,313.0,1134.0,1523.5,2568.4000000000033,0.0,6627.0
rescued_improved,boundary_gap_r2,7871,1406.298945496125,1169.0,2623.0,3265.5,4916.900000000001,5.0,14903.0
rescued_improved,boundary_gap_r5,7871,4431.256892389785,4021.0,7152.0,8473.0,12176.100000000002,170.0,39738.0
rescued_improved,d1,7871,38296.998602464744,38699.0,60725.0,66696.5,77037.40000000002,433.0,111426.0
rescued_improved,dk,7871,50912.113200355736,51383.0,73814.0,80225.0,91280.1,980.0,128010.0
rescued_improved,dk_plus_1,7871,51395.562063270234,51898.0,74350.0,80787.0,92010.6,1012.0,128651.0
rescued_improved,d20,7871,54375.45407190954,54971.0,78209.0,84687.5,96200.20000000001,1262.0,131235.0
rescued_improved,local_distance_concentration,7871,0.7011279569323604,0.3430678123548537,1.2832915921288015,2.5324428470705587,6.8890320692845135,0.06377947435984055,44.199887387387385
rescued_improved,candidate_count,7871,1044.1232371998476,1087.0,1292.0,1340.0,1445.0,247.0,1637.0
persistent_harmful,boundary_margin,6906,390.0693599768317,266.0,907.0,1191.5,1855.749999999999,0.0,4564.0
persistent_harmful,relative_boundary_margin,6906,0.008665685247243588,0.005891465028225292,0.01971012517142562,0.025688336824820548,0.04338675499452391,0.0,0.09327456277548699
persistent_harmful,boundary_gap_r1,6906,390.0693599768317,266.0,907.0,1191.5,1855.749999999999,0.0,4564.0
persistent_harmful,boundary_gap_r2,6906,1238.9742253113234,1049.0,2325.5,2833.75,4165.0,5.0,9160.0
persistent_harmful,boundary_gap_r5,6906,4199.182739646684,3789.0,6877.0,8130.5,11710.34999999998,170.0,33749.0
persistent_harmful,d1,6906,36617.890529973934,36803.5,58869.0,64625.0,75836.25,433.0,111426.0
persistent_harmful,dk,6906,48998.738777874314,49669.5,71541.0,77609.5,89289.69999999998,980.0,128010.0
persistent_harmful,dk_plus_1,6906,49388.80813785114,50070.0,72011.5,77981.75,89776.65,1012.0,128651.0
persistent_harmful,d20,6906,52334.27758470895,53017.0,75784.5,82039.75,94648.69999999994,1214.0,131235.0
persistent_harmful,local_distance_concentration,6906,0.72748986067697,0.35144820296217566,1.3381248002469248,2.551944167835856,7.562606052643575,0.06377947435984055,28.097902097902097
persistent_harmful,candidate_count,6906,1020.0137561540689,1063.0,1273.0,1326.0,1422.9499999999998,247.0,1742.0
regressed,boundary_margin,408,407.1102941176471,283.5,953.3000000000002,1152.65,1865.0800000000004,0.0,2560.0
regressed,relative_boundary_margin,408,0.009378825137986064,0.005969747633056748,0.02061341259774175,0.03192734658167184,0.04613487605259271,0.0,0.06909426987060999
regressed,boundary_gap_r1,408,407.1102941176471,283.5,953.3000000000002,1152.65,1865.0800000000004,0.0,2560.0
regressed,boundary_gap_r2,408,1270.325980392157,1070.5,2303.9,3212.549999999999,4463.070000000001,38.0,5812.0
regressed,boundary_gap_r5,408,4528.448529411765,3940.5,7540.1,9077.199999999999,12369.250000000004,319.0,22318.0
regressed,d1,408,34556.55882352941,33335.0,57319.5,63753.14999999996,73564.42,813.0,94108.0
regressed,dk,408,47667.200980392154,48426.5,70275.7,76369.94999999998,88145.30000000002,1464.0,102748.0
regressed,dk_plus_1,408,48074.311274509804,48761.0,70779.40000000001,76707.59999999999,88481.49000000002,1466.0,103244.0
regressed,d20,408,51295.30637254902,52452.0,74643.7,80796.15,93890.55000000002,1794.0,110207.0
regressed,local_distance_concentration,408,0.840280115497712,0.4175297104630113,1.50774567926096,2.824143383623968,9.342735543462245,0.09305805359490954,19.54364694471387
regressed,candidate_count,408,980.2794117647059,1015.5,1243.9,1311.9499999999998,1404.46,298.0,1580.0
fully_rescued,boundary_margin,2731,675.1797876235811,452.0,1580.0,2118.0,3448.099999999994,0.0,6627.0
