state,metric,pair_count,mean,median,p90,p95,p99,min,max
corrected,exact_margin,310999,5317.883594481012,4584.0,10147.0,12180.099999999977,16562.02000000002,1.0,35468.0
corrected,relative_exact_margin,310999,0.10740094248770367,0.09448602107476285,0.19457389811496387,0.23274223558159057,0.33182016075246556,1.649103712132456e-05,2.0637488106565174
corrected,violation_32,310999,2296.8635125928263,1629.296875,5265.6640625,6745.774999999994,10086.056250000001,0.00390625,28574.7890625
corrected,violation_64,310999,-5241.112567888033,-4484.859375,-1164.4257812499998,-660.042236328127,-156.6983593749992,-35888.9140625,-0.00390625
corrected,inside_exact_rank,310999,7.4128051858687645,8.0,10.0,10.0,10.0,1.0,10.0
corrected,outside_exact_rank,310999,31.014334451236177,22.0,60.0,80.0,137.0,11.0,636.0
persistent,exact_margin,22637,1491.8109290100278,1220.0,3053.4000000000015,3753.0,5449.919999999998,1.0,12790.0
persistent,relative_exact_margin,22637,0.03273599240591032,0.026096937234449568,0.06485419974530242,0.08215239963472791,0.13600507157215355,1.4218683349921798e-05,0.5485564304461942
persistent,violation_32,22637,3122.0814601020056,2374.58984375,6902.31484375,8514.562500000004,12203.87124999998,0.015625,29336.3046875
persistent,violation_64,22637,1058.308437760782,775.791015625,2384.28515625,3013.8312500000006,4478.355312499998,0.02734375,10413.296875
persistent,inside_exact_rank,22637,8.61381808543535,9.0,10.0,10.0,10.0,1.0,10.0
persistent,outside_exact_rank,22637,14.383001281088484,13.0,20.0,23.0,31.0,11.0,104.0
new,exact_margin,33209,1824.0023788731971,1570.0,3576.2000000000007,4313.199999999997,5940.919999999998,1.0,12876.0
new,relative_exact_margin,33209,0.041511429375856994,0.03394186793665192,0.07740533067646894,0.096052295570165,0.17101589078210505,1.3402490182675942e-05,1.3534558180227472
new,violation_32,33209,-3925.45222852627,-3140.4921875,-565.44677734375,-285.39531250000005,-58.22671875000043,-27433.2734375,-0.1484375
new,violation_64,33209,913.2553381657527,655.71875,2081.11640625,2683.316015624999,3974.895312499999,0.001953125,9527.82421875
new,inside_exact_rank,33209,8.40386642175314,9.0,10.0,10.0,10.0,1.0,10.0
new,outside_exact_rank,33209,15.323647204071186,14.0,22.0,26.0,35.0,11.0,117.0
