stratum,category,descriptor,queries,mean,median,p90,p95,p99,min,max
all,Robust,d1,647,45268.23029366306,47248.0,69094.0,73863.2,82173.13999999994,2007.0,125740.0
all,Occasionally harmful,d1,1812,40681.49006622517,41790.0,63769.8,69140.0,80065.41999999985,1479.0,108215.0
all,Usually harmful,d1,3841,37241.02655558448,37662.0,58996.0,64689.0,75919.59999999999,633.0,111426.0
all,Persistently harmful,d1,3700,35673.91189189189,35700.5,58062.8,63164.99999999997,74650.59999999986,433.0,94552.0
all,Robust,dk,647,61367.67542503864,61259.0,84105.59999999999,90510.99999999997,101602.59999999999,8158.0,141757.0
all,Occasionally harmful,dk,1812,54871.75110375276,55731.5,77113.90000000001,84130.24999999997,94332.33999999997,5186.0,116590.0
all,Usually harmful,dk,3841,50388.912783129395,50931.0,71968.0,78617.0,89740.2,3735.0,128010.0
all,Persistently harmful,dk,3700,47306.04324324324,47918.5,69926.29999999999,76108.84999999996,87343.01,980.0,119008.0
all,Robust,dk_plus_1,647,62335.44976816074,62352.0,85055.6,91265.49999999997,102354.75999999998,9047.0,142046.0
all,Occasionally harmful,dk_plus_1,1812,55583.76876379691,56561.0,77648.2,84784.29999999999,96413.89999999985,5341.0,118017.0
all,Usually harmful,dk_plus_1,3841,50847.133038271284,51369.0,72565.0,79070.0,90016.6,3914.0,128651.0
all,Persistently harmful,dk_plus_1,3700,47615.51432432432,48256.0,70406.09999999999,76625.34999999999,87602.50999999992,1012.0,119842.0
all,Robust,d20,647,65858.89953632148,65341.0,88721.4,95370.49999999997,106805.17999999995,10324.0,147223.0
all,Occasionally harmful,d20,1812,58941.26600441501,59917.5,81688.90000000001,89123.4,101597.03999999998,6349.0,122360.0
all,Usually harmful,d20,3841,54027.94532673783,54590.0,76718.0,83485.0,95953.79999999996,4332.0,131235.0
all,Persistently harmful,d20,3700,50345.38675675676,51120.0,73828.0,80409.34999999995,91367.72999999998,1214.0,123586.0
all,Robust,boundary_margin,647,967.774343122102,574.0,2480.6,3228.399999999997,4861.179999999992,0.0,6627.0
all,Occasionally harmful,boundary_margin,1812,712.0176600441501,508.5,1630.8000000000002,2070.5999999999985,2907.129999999998,0.0,3897.0
all,Usually harmful,boundary_margin,3841,458.2202551418901,333.0,1049.0,1354.0,1933.3999999999987,0.0,4564.0
