stratum,descriptor,queries,spearman_harmful_frequency
all,d1,10000,-0.13146621514251938
all,dk,10000,-0.1905596945290889
all,dk_plus_1,10000,-0.19940960378148218
all,d20,10000,-0.2070136263299218
all,boundary_margin,10000,-0.28241935783810446
all,relative_boundary_margin,10000,-0.21862904591955734
all,boundary_gap_r1,10000,-0.28241935783810446
all,boundary_gap_r2,10000,-0.39683302525142744
all,boundary_gap_r5,10000,-0.34618759398427335
all,local_distance_concentration,10000,-0.03968054570824731
all,candidate_count,10000,-0.14642013612248603
all,oracle_recall,10000,0.43981919990878937
oracle1,d1,7136,0.07252590780476659
oracle1,dk,7136,-0.015495707376664336
oracle1,dk_plus_1,7136,-0.029032126952754582
oracle1,d20,7136,-0.04997850671105831
oracle1,boundary_margin,7136,-0.39794896312992917
oracle1,relative_boundary_margin,7136,-0.39359636912820845
oracle1,boundary_gap_r1,7136,-0.39794896312992917
oracle1,boundary_gap_r2,7136,-0.4878082966003286
oracle1,boundary_gap_r5,7136,-0.39698423729435295
oracle1,local_distance_concentration,7136,-0.21738930154043234
oracle1,candidate_count,7136,0.0238100487354656
oracle1,oracle_recall,7136,
