stratum,queries,a,b,harmful_jaccard,loss_spearman
oracle1,7136,0,1,0.7310112014730704,0.3667807581182727
oracle1,7136,0,2,0.7258237547892721,0.3669644146194819
oracle1,7136,0,3,0.7370199692780338,0.37030296593738954
oracle1,7136,0,4,0.7224858411143426,0.3640065045878254
oracle1,7136,1,2,0.7229265312356805,0.3606156796374133
oracle1,7136,1,3,0.726150563852484,0.35283322715604515
oracle1,7136,1,4,0.7224938875305623,0.3557435994514964
oracle1,7136,2,3,0.7310165339865279,0.3702767647875901
oracle1,7136,2,4,0.7157670021347972,0.34312472026786883
oracle1,7136,3,4,0.7245115995115995,0.35728898556052896
no_exact_boundary_ties,9829,0,1,0.6740445089501693,0.4212326534106046
no_exact_boundary_ties,9829,0,2,0.6759404862707149,0.4263048221325866
no_exact_boundary_ties,9829,0,3,0.6792566670689031,0.42144808680199547
no_exact_boundary_ties,9829,0,4,0.667189763399324,0.4193223918645456
no_exact_boundary_ties,9829,1,2,0.666946812342418,0.4152465438175975
no_exact_boundary_ties,9829,1,3,0.6730653869226155,0.41290035658872404
no_exact_boundary_ties,9829,1,4,0.6668673973262677,0.414627164086868
no_exact_boundary_ties,9829,2,3,0.675750300120048,0.4204561542571792
no_exact_boundary_ties,9829,2,4,0.6615495322619334,0.4003993998372475
no_exact_boundary_ties,9829,3,4,0.67046818727491,0.41487457988938237
