metric,scope,subset,values,mean,std,min,max,coefficient_of_variation
fixed_candidate_recall,within_subset,A,3,0.8529033333333335,0.0006671081871281383,0.8523400000000001,0.8536400000000002,0.0007821615428807542
fixed_candidate_recall,within_subset,B,3,0.8529100000000002,0.00032741411087488636,0.8525500000000001,0.8531900000000001,0.0003838788510802855
fixed_candidate_recall,within_subset,C,3,0.8523400000000002,0.0007510659092249585,0.8515400000000002,0.8530300000000001,0.00088118111226149
fixed_candidate_recall,between_subset_means,ABC,3,0.8527177777777779,0.00032718213299036473,0.8523400000000002,0.8529100000000002,0.0003836933408882556
fixed_candidate_recall,all9_model_values,ABC,9,0.8527177777777779,0.0005994743067425271,0.8515400000000002,0.8536400000000002,0.000703016076790125
ranking_recall_loss,within_subset,A,3,0.10024666666666666,0.0006671081871280999,0.09951,0.10081000000000001,0.006654667025950322
ranking_recall_loss,within_subset,B,3,0.10024000000000001,0.00032741411087489823,0.09996000000000001,0.10060000000000001,0.003266301983987412
ranking_recall_loss,within_subset,C,3,0.10081,0.0007510659092250181,0.10012,0.10161,0.007450311568544967
ranking_recall_loss,between_subset_means,ABC,3,0.10043222222222221,0.0003271821329903965,0.10024000000000001,0.10081,0.0032577406508685447
ranking_recall_loss,all9_model_values,ABC,9,0.10043222222222223,0.0005994743067425377,0.09951,0.10161,0.005968943965175895
cross_boundary_inversion_count,within_subset,A,3,5.568533333333334,0.031938900001930864,5.5446,5.6048,0.00573560363026725
cross_boundary_inversion_count,within_subset,B,3,5.505199999999999,0.04089266437883462,5.4616,5.5427,0.007428007044037387
cross_boundary_inversion_count,within_subset,C,3,5.572066666666667,0.025568991637006988,5.5426,5.5884,0.004588780638603328
cross_boundary_inversion_count,between_subset_means,ABC,3,5.5486,0.03762699976228714,5.505199999999999,5.572066666666667,0.006781350207671689
cross_boundary_inversion_count,all9_model_values,ABC,9,5.5485999999999995,0.043570201973367126,5.4616,5.6048,0.007852467644697244
global_mae,within_subset,A,3,1312.5722172795554,5.52883708284849,1309.0620972611136,1318.9454297960872,0.004212215533791801
global_mae,within_subset,B,3,1311.122218235713,2.2511428639691946,1309.6489095609738,1313.713506055931,0.001716958825545953
global_mae,within_subset,C,3,1314.400221324279,0.689652773152741,1313.6297331268318,1314.9597694697518,0.0005246900920770576
global_mae,between_subset_means,ABC,3,1312.698218946516,1.642630018360717,1311.122218235713,1314.400221324279,0.001251338650919312
global_mae,all9_model_values,ABC,9,1312.6982189465157,3.3243798204273056,1309.0620972611136,1318.9454297960872,0.0025324783506564304
random_pair_inversion_rate,within_subset,A,3,0.034502994791666665,6.071685229948705e-05,0.0344392578125,0.03456015625,0.001759756005706255
random_pair_inversion_rate,within_subset,B,3,0.034392643229166665,5.097519055465388e-05,0.0343337890625,0.0344228515625,0.0014821539075956917
random_pair_inversion_rate,within_subset,C,3,0.034451757812500004,0.00014937729326985387,0.034282421875,0.03456484375,0.004335839526181037
random_pair_inversion_rate,between_subset_means,ABC,3,0.03444913194444444,5.5222624202691895e-05,0.034392643229166665,0.034502994791666665,0.0016030193240209516
random_pair_inversion_rate,all9_model_values,ABC,9,0.03444913194444445,9.714318892923486e-05,0.034282421875,0.03456484375,0.00281990237332819
topk_agreement,within_subset,A,3,0.8792366666666668,0.0005054041287260828,0.8787200000000001,0.8797300000000001,0.0005748214876458172
topk_agreement,within_subset,B,3,0.8796766666666668,0.000682959247198013,0.8789100000000002,0.8802200000000001,0.000776375312745228
topk_agreement,within_subset,C,3,0.8787833333333336,0.000813469933884178,0.87787,0.8794300000000003,0.0009256774713723646
topk_agreement,between_subset_means,ABC,3,0.8792322222222224,0.0004466832501066744,0.8787833333333336,0.8796766666666668,0.0005080378525910951
topk_agreement,all9_model_values,ABC,9,0.8792322222222223,0.0007039491774584852,0.87787,0.8802200000000001,0.0008006407859794804
